ssc_502090_0010#0,"""...อ้า สวัสดี <%me>"""
ssc_502090_0020#0,"""มาทำธุระที่แคมป์เหรอ?"""
ssc_502090_0030#0,"""กำลังจะเข้าไปข้างในงั้นเหรอ?"""
ssc_502090_0040#0,"""เปล่าหรอก แค่มาเดินดูรอบๆ น่ะ"""
ssc_502090_0050#0,"""เปล่า ไม่ได้มาที่นี่<br>ด้วยเหตุผลอะไรเป็นพิเศษหรอก"""
ssc_502090_0060#0,"""พวก ARKS ของสเตีย (Stia) ก็ยังคง<br>ยุ่งอยู่เหมือนเคยเลยนะ?"""
ssc_502090_0070#0,"""แต่พวกเขาก็สามารถเพิ่ม<br>จำนวนคนและทรัพยากรได้แล้วล่ะ"""
ssc_502090_0080#0,"""ตั้งแต่ขอบเขตการทำงานของพวกเขาขยายลึก<br>เข้าไปในสเตีย (Stia) มากขึ้น พวกเขาก็มีเรื่องให้ต้องทำเยอะขึ้นตามไปด้วยน่ะ"""
ssc_502090_0090#0,"""แต่ก็ไม่มีใคร<br>บ่นเลยสักคนเดียวนะ"""
ssc_502090_0100#0,"""ทุกคนมีหน้าที่และ<br>ความรับผิดชอบของตัวเอง และมันก็ช่วยให้ขวัญกำลังใจยังดีอยู่น่ะ"""
ssc_502090_0110#0,"""เคยเห็นอะไรแบบนี้มาก่อนเลยล่ะ..."""
ssc_502090_0120#0,"""หมายถึงในภูมิภาคอื่นงั้นเหรอ?"""
ssc_502090_0130#0,"""...หมายถึงเมืองเอลิโอ (Aelio Town) งั้นเหรอ?"""
ssc_502090_0140#0,"""ก็มีส่วนนะ ARKS ในทุกภูมิภาค<br>ต่างก็พยายามอย่างเต็มที่เหมือนๆ กันนั่นแหละ"""
ssc_502090_0150#0,"""แต่สิ่งที่ทำให้นึกถึงมากที่สุด<br>ก็คือทุกคนที่เมืองเอลิโอ (Aelio Town) น่ะ..."""
ssc_502090_0160#0,"""นั่นสินะ..."""
ssc_502090_0170#0,"""เมืองเอลิโอ (Aelio Town) รับหน้าที่เพียงลำพังในการ<br>ป้องกัน 'แนวชายแดน' ของเอลิโอ (Aelio) น่ะ"""
ssc_502090_0180#0,"""ภูมิภาคหนึ่งซึ่งเปรียบเสมือน<br>จุดบอดสำหรับเหล่า ARKS ในเซ็นทรัลซิตี้ (Central City) เลยล่ะ"""
ssc_502090_0190#0,"""แต่ อย่างที่รู้แหละ ว่าที่นั่น<br>ไม่ได้มี ARKS อยู่เยอะนักหรอกนะในเมืองเอลิโอ (Aelio Town) น่ะ"""
ssc_502090_0200#0,"""พวกเขาใช้วิธีจัดตั้งหน่วยลาดตระเวนเล็กๆ ซ่อมบำรุง<br>อุปกรณ์กันเอง หาอาหารกันเอง..."""
ssc_502090_0210#0,"""พวกเขายุ่งอยู่กับการทำงาน<br>ตลอดทั้งวัน ทุกๆ วันเลยล่ะ"""
ssc_502090_0220#0,"""โดยที่ไม่รู้เลยว่า<br>พวก DOLLS จะบุกมาโจมตีตอนไหน"""
ssc_502090_0230#0,"""พอถูกโจมตีตอนกลางคืน<br>พวกเขาก็ต้องอดหลับอดนอนเพื่อรับมือกับมัน"""
ssc_502090_0240#0,"""แม้แต่ในสถานการณ์แบบนั้น ก็ไม่มีใคร<br>บ่นเลย ไม่มีใครไม่พอใจเลย"""
ssc_502090_0250#0,"""อันที่จริง พวกเขาค่อนข้างจะ<br>สนุกกับชีวิตประจำวันของพวกเขาด้วยซ้ำไป..."""
ssc_502090_0260#0,"""พวกเขาทุกคนต่างก็ทำหน้าที่ของตัวเอง<br>ถึงแม้ว่าในตอนนั้นฉันจะไม่รู้ตัวเลยก็เถอะ"""
ssc_502090_0270#0,"""นั่นเป็นเหตุผลที่ฉันพยายามอย่างหนักอยู่เสมอในตอนนี้น่ะ..."""
ssc_502090_0280#0,"""พวกเขาทุกคนต่างก็มีความฝัน<br>ที่จะมีชีวิตที่สงบสุขกันทั้งนั้น..."""
ssc_502090_0290#0,"""พวกเรามายืนอยู่ตรงนี้ในวันนี้ ก็เพื่อ<br>สานต่อความปรารถนาเหล่านั้นของพวกเขายังไงล่ะ"""
ssc_502090_0300#0,"""การได้เห็นเหล่า ARKS ของสเตีย (Stia)<br>มันทำให้ฉันนึกถึงเรื่องพวกนั้นขึ้นมาอีกครั้งน่ะ"""
ssc_502090_0310#0,"""...ขอโทษนะ แอบนอกเรื่องไปหน่อย"""
ssc_502090_0320#0,"""มีเรื่องราวเกิดขึ้นมากมายตั้งแต่ตอนนั้น<br>ก็เลยอดไม่ได้ที่จะคิดถึงมันน่ะ"""
ssc_502090_0330#0,"""เกี่ยวกับการเดินทางของพวกเราจนถึงตอนนี้...<br>และเกี่ยวกับการเดินทางที่อยู่ข้างหน้าพวกเราด้วย..."""
ssc_502090_0340#0,"""จะลองพยายามจัดการกับ<br>ความรู้สึกของตัวเองอีกสักพักนึงนะ"""
ssc_502090_0350#0,"""เดี๋ยว... ค่อยเจอกันนะ"""
