ssc_502060_0010#0,"""อืมมม...<br>สัญญาณนี้..."""
ssc_502060_0020#0,"""ถ้าเป็นค่าตามทฤษฎีล่ะก็<br>น่าจะประมาณ... เท่านี้ล่ะมั้ง?"""
ssc_502060_0030#0,"""...อ๊ะ<br>โผล่มาตั้งแต่เมื่อไหร่เนี่ย?"""
ssc_502060_0040#0,"""ทำให้ตกใจอีกแล้วนะ<br>เธอเนี่ยเก่งเรื่องการลบสัมผัสจริงๆ เลย"""
ssc_502060_0050#0,"""กำลังทำอะไรอยู่งั้นเหรอ?"""
ssc_502060_0060#0,"""สนใจอุปกรณ์พวกนั้นงั้นเหรอ?"""
ssc_502060_0070#0,"""ช่วงนี้กำลังศึกษาเกี่ยวกับ<br>พวก Photon Tuner อยู่น่ะ"""
ssc_502060_0080#0,"""แน่นอนว่าได้รับอนุญาตจาก<br>ผู้คนในรีเทม (Retem) แล้วล่ะนะ"""
ssc_502060_0090#0,"""กำลังเก็บข้อมูล<br>เกี่ยวกับ Photon Tuner พวกนี้อยู่น่ะ"""
ssc_502060_0100#0,"""ถามมูระ (Mura) ไว้ล่วงหน้า<br>เรียบร้อยแล้วล่ะ ไม่ต้องห่วงนะ"""
ssc_502060_0110#0,"""แต่ว่า สิ่งที่สนใจจริงๆ น่ะ<br>ไม่ใช่ตัว Tuner หรอกนะ..."""
ssc_502060_0120#0,"""แต่เป็นสิ่งที่มันใช้ถ่ายทอดต่างหากล่ะ:<br>'พลังแห่งบทเพลง (Power of Song)' ของนาเดเรห์ (Nadereh) น่ะ"""
ssc_502060_0130#0,"""พลังของเธอมีความเกี่ยวข้องอย่างใกล้ชิด<br>กับ Photon ทั้งภายในและภายนอกเลยล่ะ"""
ssc_502060_0140#0,"""ซึ่งนั่นหมายความว่า ตามทฤษฎีแล้ว<br>มันเป็นสิ่งที่คล้ายๆ กับ Technique น่ะ"""
ssc_502060_0150#0,"""แต่ว่า Technique ที่ส่งผลกระทบไปทั่วทั้งทะเลทรายน่ะ<br>ก็ต้องใช้ Photon จำนวนมหาศาลพอๆ กันเลยล่ะ"""
ssc_502060_0160#0,"""แม้แต่ Force หรือ Techter ที่แข็งแกร่งที่สุด<br>ก็ยังยากเลยล่ะที่จะใช้ Technique แบบนั้นด้วยตัวคนเดียวได้น่ะ"""
ssc_502060_0170#0,"""ก็เลยคิดว่าจะเริ่มจากการ<br>ตรวจสอบอุปกรณ์พวกนี้ดูก่อน..."""
ssc_502060_0180#0,"""แต่น่าเสียดายนะ ที่ดูเหมือนจะ<br>มาถึงทางตันซะแล้วล่ะ"""
ssc_502060_0190#0,"""จากข้อมูลที่รวบรวมมาได้จนถึงตอนนี้ การขยายสัญญาณของ Tuner<br>ไม่น่าจะมากพอที่จะอธิบายพลังของเธอได้น่ะ"""
ssc_502060_0200#0,"""ซึ่งนั่นทำให้เชื่อว่า พลังส่วนใหญ่<br>มาจากตัวนาเดเรห์ (Nadereh) เองล้วนๆ เลย"""
ssc_502060_0210#0,"""ถ้าเป็นแบบนั้นล่ะก็ แทนที่จะเป็น Technique<br>มันอาจจะเป็นพลังที่ทำงานในระดับพื้นฐานกว่านั้น..."""
ssc_502060_0220#0,"""บางที นี่อาจจะเป็น 'เวทมนตร์ (Magic)'...<br>หรืออะไรที่คล้ายๆ กันล่ะมั้ง"""
ssc_502060_0230#0,"""เวทมนตร์งั้นเหรอ?"""
ssc_502060_0240#0,"""ลองไปถามนาเดเรห์ (Nadereh) ดูไหมล่ะ"""
ssc_502060_0250#0,"""...อ๊ะ ขอโทษที ลืมมันไปเถอะ<br>มัวแต่จมอยู่กับข้อสันนิษฐานน่ะ"""
ssc_502060_0260#0,"""คงต้องตรวจสอบ<br>ให้มากกว่านี้อีกสักหน่อยล่ะนะ"""
ssc_502060_0270#0,"""นั่นก็... จริงล่ะนะ แต่คิดว่าแม้แต่ตัวเธอเอง<br>ก็คงไม่มีทฤษฎีอธิบายหรอกว่ามันทำงานยังไงน่ะ"""
ssc_502060_0280#0,"""สิ่งที่พวกเรารู้ตอนนี้ก็คือ 'พลังแห่งบทเพลง' นี้<br>ส่งต่อกันทางสายเลือด และเป็นเอกลักษณ์เฉพาะสายตระกูลของเธอเท่านั้นน่ะ"""
ssc_502060_0290#0,"""ยิ่งไปกว่านั้น พลังนี้ยังแสดงผลออกมา<br>แตกต่างจากบรรพบุรุษของเธอด้วย"""
ssc_502060_0300#0,"""จะว่าไป นาเดเรห์ (Nadereh) เคยบอกว่าตอนที่เธอร้องเพลง<br>เธอได้ใส่ 'ความหวัง' ของเธอลงไปในบทเพลงด้วยล่ะ"""
ssc_502060_0310#0,"""ตัวอย่างเช่น แทนที่จะเป็น 'ความหวัง' ที่จะทำให้ผู้คนของเธอแข็งแกร่งขึ้น<br>สิ่งที่ได้ผลจริงๆ กลับเป็น 'ความหวัง' ที่จะไม่มีใครต้องได้รับอันตรายต่างหาก"""
ssc_502060_0320#0,"""ต่างจากบรรพบุรุษของเธอ ดูเหมือนบทเพลงของเธอ<br>จะส่งผลกระทบต่อศัตรูแทน โดยทำให้พวกมันอ่อนแอลงน่ะ"""
ssc_502060_0330#0,"""ไม่ๆ ถึงจะยอมรับสมมติฐานนั้น<br>ก็ยังต้องการข้อมูลมากกว่านี้อยู่ดี"""
ssc_502060_0340#0,"""ไม่ว่ายังไง ความหวังก็ไม่ใช่สิ่งที่จะสามารถ<br>นำมาแยกย่อยออกมาเป็นตัวเลขได้หรอกนะ"""
ssc_502060_0350#0,"""ถ้าพลังของนาเดเรห์ (Nadereh) ไม่ใช่สิ่งที่<br>สามารถอธิบายได้ด้วยหลักวิทยาศาสตร์ล่ะก็..."""
ssc_502060_0360#0,"""ก็คงเรียกได้เต็มปากเลยว่า<br>เป็นพลังเหนือธรรมชาติล่ะนะ"""
