ssc_502030_0010#0,"""……やっと、来ることができたわ。"""
ssc_502030_0020#0,"""今まで、来られなくて、<br>ごめんなさい。"""
ssc_502030_0030#0,"""エアリオタウンのみんな……。"""
ssc_502030_0040#0,"""ガロア……。"""
ssc_502030_0050#0,"""………。"""
ssc_502030_0060#0,"""ここのことは、前から知っていたの。"""
ssc_502030_0070#0,"""でも、あなたたちがこれを作ろうとしていたとき、<br>アイナからの通信に出ることができなかった……。"""
ssc_502030_0080#0,"""現実と向き合うことが、<br>怖かったんだわ。"""
ssc_502030_0090#0,"""……今も、まっすぐには、<br>向き合えていない……気がするのだけれど。"""
ssc_502030_0100#0,"""……ガロアからは、日ごろから、<br>「アイナのことを頼む」とよく言われていたわ。"""
ssc_502030_0110#0,"""当時の彼にとっては、<br>あまり深い意味はなかったのかもしれない。"""
ssc_502030_0120#0,"""エアリオタウンのなかで、<br>アイナと歳の頃が近いのは私だったから。"""
ssc_502030_0130#0,"""姉のように、仲良くしてほしい、<br>ということだったのかも。"""
ssc_502030_0140#0,"""けれど、今はその言葉が……とても重い。"""
ssc_502030_0150#0,"""アイナのことを、託された。"""
ssc_502030_0160#0,"""……そう、感じるの。"""
ssc_502030_0170#0,"""自分も、アイナのことを支えていく。"""
ssc_502030_0180#0,"""マノンは、アイナのお姉さんだよ。"""
ssc_502030_0190#0,"""ありがとう。<br>そう言ってもらえると心強いわ。"""
ssc_502030_0200#0,"""そう……見えるかしら。"""
ssc_502030_0210#0,"""だとしたら、少しだけ救いになるわ。"""
ssc_502030_0220#0,"""アイナは、戦いのなかですごく強くなったわ。<br>心も、体も。"""
ssc_502030_0230#0,"""悲しみを乗り越えて、<br>どんどん前に進もうとしている。"""
ssc_502030_0240#0,"""だから、私も前を向かなくてはいけない。"""
ssc_502030_0250#0,"""アイナのためにも、<br>未熟な自分を乗り越えなくてはいけない。"""
ssc_502030_0260#0,"""そのために、ここに来たの。"""
ssc_502030_0270#0,"""ガロア……、みんな……。<br>そしてあなたにも誓うわ。"""
ssc_502030_0280#0,"""アイナのことは、<br>なにがあっても守ってみせる。"""
ssc_502030_0290#0,"""それが、<br>私が彼らにできる唯一のことだから。"""
