ssc_502080_0010#0,"""なんとなく、<br>あなたが来る気がしていたわ。"""
ssc_502080_0020#0,"""いつも、こういうタイミングで、<br>驚かされていたから。"""
ssc_502080_0030#0,"""……ええと、あなたも、<br>あの場所に興味があって来たのかしら？"""
ssc_502080_0040#0,"""ベルガナ遺跡のこと？"""
ssc_502080_0050#0,"""大勢の人たちが、暮らしてたって。"""
ssc_502080_0060#0,"""ええ……。"""
ssc_502080_0070#0,"""知っていたの？<br>誰かから聞いたのかしら。"""
ssc_502080_0080#0,"""この場所のことも、<br>ライサスは資料にまとめていたわ。"""
ssc_502080_0090#0,"""ベルガナ遺跡という名は、<br>クヴァリスの人々が付けたようね。"""
ssc_502080_0100#0,"""元々あった比較的大きな遺構を、<br>彼らが改修して、生活拠点へと作り替えた。"""
ssc_502080_0110#0,"""その人口規模は、<br>ロストセントラル……。"""
ssc_502080_0120#0,"""かつてのセントラルシティに、<br>次ぐものだったとされているわ。"""
ssc_502080_0130#0,"""それが、100年前に、<br>元の“遺跡”に戻ってしまった……。"""
ssc_502080_0140#0,"""当時のクヴァリスの技術力は、<br>今のエアリオやリテムよりも、はるかに高かった。"""
ssc_502080_0150#0,"""今では希少な乗り物も、自ら製造して、<br>日常的に利用していたようね。"""
ssc_502080_0160#0,"""そして、それらをドールズとの戦闘にも、<br>積極的に投入していた。"""
ssc_502080_0170#0,"""同様に、武器の生産や開発も盛んで、<br>相当な戦力を保有していた。"""
ssc_502080_0180#0,"""それでも、ドールズの大攻勢には抗えず、<br>壊滅的な損害を被った……。"""
ssc_502080_0190#0,"""敗因は、個々のアークスの力不足。"""
ssc_502080_0200#0,"""強力な武器に頼りすぎた結果、<br>アークス本来の力がないがしろにされた。"""
ssc_502080_0210#0,"""アークス本来の力、<br>フォトンの力がね。"""
ssc_502080_0220#0,"""どんなに強力な武器でも、<br>弾薬やエネルギーがなければ役に立たない。"""
ssc_502080_0230#0,"""最後に頼れるのは、内在するフォトンの総量と、<br>それを操る能力……。"""
ssc_502080_0240#0,"""クヴァリスのアークスは、<br>その力を発揮できなかったから……負けた。"""
ssc_502080_0250#0,"""……というようなことが、<br>ライサスの資料には、まとめられていたわ。"""
ssc_502080_0260#0,"""彼の資料は、私も一部しか見ていないけれど、<br>戦いへの言及も多くなされていた。"""
ssc_502080_0270#0,"""研究熱心な人物というだけでなく、<br>彼自身も、優秀なアークスだったのね。"""
ssc_502080_0280#0,"""アークスの根源的な力は、<br>武器の力、科学の力を凌駕する。"""
ssc_502080_0290#0,"""それは、リテムのアークスの<br>考えかたにも近似しているわ。"""
ssc_502080_0300#0,"""……今のエアリオやリテムには、<br>かつてのクヴァリスのような技術はない。"""
ssc_502080_0310#0,"""たとえ、技術力があったとしても、<br>それを大量生産する設備がない。"""
ssc_502080_0320#0,"""よって、強力な武器に頼った組織作りはできない。"""
ssc_502080_0330#0,"""だから、アークスひとりひとりが、<br>強くなるしかない。"""
ssc_502080_0340#0,"""……必然的に、<br>そういう状況にあるということね。"""
