ssc_502070_0010#0,"""อ้า มาที่นี่เหมือนกันเหรอ"""
ssc_502070_0020#0,"""ไรซัส (Rysas) ทำงานหนักมาตลอดชีวิต<br>เพื่อพยายามฟื้นฟูควาริส (Kvaris) น่ะ"""
ssc_502070_0030#0,"""เขาค้นหาตามหิมะและน้ำแข็งทุกซอกทุกมุมทั้งวันทั้งคืน<br>เพื่อค้นหาคำตอบว่า 'เกิดอะไรขึ้นกันแน่?'"""
ssc_502070_0040#0,"""การต่อสู้กับ Dark Falz ในอดีต<br>และการเปลี่ยนแปลงของสภาพอากาศอย่างฉับพลันในตอนนั้น..."""
ssc_502070_0050#0,"""มีข้อมูลจำนวนมหาศาลถูกทิ้งไว้ในเทอร์มินัล<br>อย่างที่อยู่ที่พัก (Lodge) แล้วก็ Lost Central..."""
ssc_502070_0060#0,"""โดยเฉพาะใน Lost Central ที่นอกจาก<br>ข้อมูลเกี่ยวกับสภาพของเมืองในตอนนั้นแล้ว..."""
ssc_502070_0070#0,"""...ยังมีแผนการเกี่ยวกับวิธี<br>ทำให้เมืองกลับมาใช้งานได้อีกครั้งด้วยล่ะ"""
ssc_502070_0080#0,"""ไม่ใช่เพื่อทวงคืน 'Lost Central' หรอกนะ<br>แต่เพื่อทวงคืน 'เซ็นทรัลซิตี้แห่งแรก (First Central City)' ต่างหาก"""
ssc_502070_0090#0,"""คิดว่าอิลม่า (Ilma) กับพี่น้องของเขาคงกำลัง<br>สานต่อสิ่งที่ไรซัส (Rysas) ทิ้งเอาไว้ล่ะนะ"""
ssc_502070_0100#0,"""ใครจะไปรู้ล่ะว่าจะต้องใช้เวลานานแค่ไหน"""
ssc_502070_0110#0,"""อ้อ แล้วก็มีอีกเรื่องนึง..."""
ssc_502070_0120#0,"""รายงานของไรซัส (Rysas) มีข้อมูล<br>เกี่ยวกับเซ็นทรัลแคนนอน (Central Cannon) อยู่ด้วยล่ะ"""
ssc_502070_0130#0,"""พวก ARKS ของควาริส (Kvaris) เองก็ใช้<br>ปืนใหญ่นั่นเพื่อขับไล่ Dark Falz เหมือนกัน"""
ssc_502070_0140#0,"""ตามรายงาน ดูเหมือนพวกเขาจะสามารถ<br>ทำให้มันทำงานได้เกือบ 100% เลยล่ะ"""
ssc_502070_0150#0,"""...มันเป็นรายงานที่ไม่สมบูรณ์เกี่ยวกับ<br>เซ็นทรัลแคนนอน (Central Cannon) ที่เจอในห้องสมุดน่ะ"""
ssc_502070_0160#0,"""ถึงอย่างนั้น ตอนที่อิลม่า (Ilma) ไปเจอมันเข้า<br>มันก็ทำให้เรื่องต่างๆ เริ่มขับเคลื่อนไปข้างหน้าเลยล่ะ"""
ssc_502070_0170#0,"""อิลม่า (Ilma) แบ่งปันไฟล์พวกนั้นให้กับครอว์ฟอร์ด (Crawford) แล้วพวกเขาก็<br>ช่วยกันระดมความคิดในระหว่างที่ทำงานวิจัยของตัวเองไปด้วยล่ะ"""
ssc_502070_0180#0,"""ในระหว่างกระบวนการนั้น พวกเขาก็เจอ<br>ข้อมูลใน Lost Central มากขึ้นไปอีก..."""
ssc_502070_0190#0,"""แล้วก็นะ<br>พวกเราก็รู้เรื่องหลังจากนั้นกันดีอยู่แล้ว"""
ssc_502070_0200#0,"""ในเมื่อตอนนี้พวกเรามีข้อมูลทั้งหมดอยู่กับตัวแล้ว<br>เซ็นทรัลแคนนอน (Central Cannon) ก็น่าจะได้รับการพัฒนาไปได้ไกลกว่านี้อีกแน่ๆ"""
ssc_502070_0210#0,"""...อีกครั้งแล้วสินะ ที่ไรซัส (Rysas) ได้ช่วยเหลือ<br>ในการสร้างอนาคตที่ดีกว่าน่ะ"""
ssc_502070_0220#0,"""เขาเป็นคนที่ยอดเยี่ยมมากเลยนะ"""
ssc_502070_0230#0,"""พวกเราจะสานต่อเจตนารมณ์ของเขากันเถอะ"""
ssc_502070_0240#0,"""เขาเป็น... มีคนที่ยอดเยี่ยม<br>อยู่มากมายบนฮาลฟา (Halpha) เลยนะเนี่ย"""
ssc_502070_0250#0,"""นั่นสินะ<br>พวกเราจะทำแบบนั้นแน่นอน..."""
ssc_502070_0260#0,"""ทุกคนต่อสู้อย่างหนักเพื่อเอาชีวิตรอดเลยล่ะ"""
ssc_502070_0270#0,"""ไม่ใช่แค่เพื่อตัวเองนะ<br>แต่เพื่อพวกพ้องด้วย"""
ssc_502070_0280#0,"""จากการที่ได้เดินทางไปทุกที่กับเธอและไอน่า<br>พวกเราได้พบเจอผู้คนจากทุกสาขาอาชีพเลยล่ะ"""
ssc_502070_0290#0,"""ไม่ว่าสถานการณ์ของพวกเขาจะแตกต่างกันแค่ไหน<br>แต่พวกเขาทุกคนก็มีเป้าหมายเดียวกันล่ะนะ"""
ssc_502070_0300#0,"""'ฉันสามารถทำอะไรเพื่อ<br>ผู้คนบนฮาลฟา (Halpha) ได้บ้างนะ?'..."""
ssc_502070_0310#0,"""นั่นเป็นคำถาม<br>ที่ฉันยังคงเฝ้าถามตัวเองอยู่จนถึงตอนนี้น่ะ"""
