ssc_502010_0010#0,"""...ฟู่"""
ssc_502010_0020#0,"""ฟังดูเหนื่อยๆ นะ"""
ssc_502010_0030#0,"""มีเรื่องอะไรไม่สบายใจเหรอ?"""
ssc_502010_0040#0,"""...กะ-กรี๊ด?!"""
ssc_502010_0050#0,"""...เหวอ?!"""
ssc_502010_0060#0,"""อ๊ะ ตกใจหมดเลย<br>มาที่นี่เหมือนกันเหรอเนี่ย..."""
ssc_502010_0070#0,"""สงสัยจะใจลอยไปหน่อยถึงได้<br>ไม่ทันสังเกตเห็นน่ะ บางทีอาจจะทำตัวแปลกไปจากปกตินิดหน่อยล่ะมั้ง"""
ssc_502010_0080#0,"""...มักจะมาที่นี่บ่อยๆ<br>เวลาที่อยากอยู่คนเดียวน่ะ"""
ssc_502010_0090#0,"""พอได้ยินเสียงน้ำไหล มันรู้สึกเหมือน<br>ได้คลายความเครียดทั้งหมดที่สะสมอยู่ในหัวไปเลยล่ะ"""
ssc_502010_0100#0,"""ไม่ยักรู้เลยแฮะว่าจะเป็นคนแบบนี้น่ะ"""
ssc_502010_0110#0,"""มีเรื่องอะไรหรือเปล่าล่ะ?"""
ssc_502010_0120#0,"""ก็นะ แม้แต่ฉันเองก็มีวันที่เหนื่อยล้าเหมือนกันแหละ"""
ssc_502010_0130#0,"""ก็ไม่ได้มีอะไรหรอก ...อืมมม โอเค<br>นั่นอาจจะไม่จริงซะทีเดียว"""
ssc_502010_0140#0,"""มีหลายอย่างเลยล่ะ<br>ที่หวังว่าน่าจะทำให้ออกมาแตกต่างไปจากเดิมได้น่ะ"""
ssc_502010_0150#0,"""มีคำถามว่า 'ถ้าเกิดว่า...' อยู่เต็มไปหมดเลยล่ะ ถ้าตอนนั้นฉันทำแบบนี้แทนที่จะทำแบบนั้นล่ะ?<br>ถ้าตอนนั้นฉันพูดแบบนี้แทนที่จะพูดแบบนั้นล่ะ?"""
ssc_502010_0160#0,"""มักจะมานั่งเสียใจกับการกระทำของตัวเองอยู่เสมอเลยล่ะ..."""
ssc_502010_0170#0,"""..."""
ssc_502010_0180#0,"""ถึงแม้ไอน่าจะมองมาที่ฉัน<br>เหมือนกับว่าฉันเป็นคนที่สุดยอดมากก็เถอะ"""
ssc_502010_0190#0,"""ก็แค่บังเอิญมีความรู้ที่เป็นประโยชน์เยอะก็เท่านั้นเอง แต่มัน<br>จะไม่มีความหมายอะไรเลยถ้าไม่สามารถนำมาใช้จริงได้น่ะ"""
ssc_502010_0200#0,"""ถ้าจะมีใครสุดยอดจริงๆ ล่ะก็ คนๆ นั้นก็คือเธอนั่นแหละ"""
ssc_502010_0210#0,"""ทั้งๆ ที่ต้องเจอเรื่องราวแบบนั้นมา<br>แต่ก็ยังสามารถมองไปข้างหน้าแล้วก็ก้าวต่อไปได้"""
ssc_502010_0220#0,"""ทั้งหมดนั้นโดยที่ไม่ต้องปิดกั้นตัวเอง<br>ยิ่งไม่ต้องพูดถึงเรื่องการสูญเสียความเป็นตัวเองไปด้วยความโกรธแค้นเลยล่ะ"""
ssc_502010_0230#0,"""ถ้ามีคนแบบเธอมาคอยชื่นชมแบบนั้นล่ะก็<br>จะปล่อยให้เธอต้องผิดหวังไปเฉยๆ ไม่ได้หรอกนะ"""
ssc_502010_0240#0,"""นั่นเป็นเหตุผลว่าทำไม อย่างน้อยก็ตอนที่อยู่ต่อหน้าเธอ<br>ถึงอยากจะเป็นตัวเองในเวอร์ชันที่แข็งแกร่งที่สุดยังไงล่ะ"""
ssc_502010_0250#0,"""เดี๋ยวนะ... ทำไมถึง<br>มาเล่าเรื่องทั้งหมดนี่ให้ฟังด้วยเนี่ย...?"""
ssc_502010_0260#0,"""ฮี่ฮี่ฮี่ เป็นคนที่<br>ลึกลับดีจังเลยนะ?"""
ssc_502010_0270#0,"""บางทียังไม่แน่ใจเลยด้วยซ้ำว่าปกติแล้วกำลังคิดอะไรอยู่<br>แต่กลับรู้สึกเหมือนสามารถคุยด้วยได้ทุกเรื่องเลยแฮะ"""
ssc_502010_0280#0,"""นั่นคงเป็นเหตุผลว่าทำไมไอน่าถึง<br>ไว้ใจเธอมากขนาดนั้นด้วยเหมือนกันสินะ"""
ssc_502010_0290#0,"""...หวังว่าจะช่วยเก็บเรื่องที่คุยกันวันนี้<br>เป็นความลับไม่ให้ไอน่ารู้ด้วยนะ"""
ssc_502010_0300#0,"""สักวันนึง จะยอมเปิดใจให้กับเธอ<br>แล้วบอกทุกอย่างที่อยู่ในใจให้ฟังแน่ๆ... แต่ยังไม่ใช่ตอนนี้หรอกนะ"""
ssc_502010_0310#0,"""สัญญานะ... ตกลงไหม?"""
