name_7622#0,"""켄진스"""
msn_022092_0010#0,"""응? 어쩐 일이야?<br>내게 물어볼 게 있다고?"""
msn_022092_0020#0,"""\""리미널 사인\""?"""
msn_022092_0030#0,"""으음….<br>어디선가 들어본 것 같은데."""
msn_022092_0040#0,"""…그래!<br>쿠이라야."""
msn_022092_0050#0,"""그 녀석이 전에,<br>희귀한 게 있다고 떠들었었지."""
msn_022092_0060#0,"""쿠이라는,<br>이런저런걸 조사하는 걸 좋아하는 녀석인데…."""
msn_022092_0070#0,"""그러고 보니 너는 그 녀석의 조사를<br>도와준 적이 있다고 했지?"""
msn_022092_0080#0,"""그럼 이야기가 빠르겠군.<br>그 녀석에게 물어봐."""
msn_022092_0110#0,"""\""리미널 사인\""말이죠…."""
msn_022092_0120#0,"""쿠이라라면<br>뭔가 일고 있을지도 몰라."""
msn_022092_0130#0,"""만나러 가보는 게 좋을 거야."""
