Title#0,"""MISSION : 시동"""
Explanation#0,"""이번에 새로 개발된<br>아크스 훈련용 프로그램. 제 1탄입니다.<br>삼림, 화산동굴, 사막이 무대입니다만,<br>챌린지 퀘스트라는 이름에 걸맞는<br>매우 도전적인 난이도를 보이고 있습니다.<br><br>초기 장비나 소지품은 일체 없고 모든 게<br>현지 조달입니다. 주의하세요.<br>――――――――――――――――――――<br>목표 / 5개의 미션 클리어"""
SimpleExplanation#0,"""5가지 미션을 클리어하라!"""
Area0S#0,"""미션 1"""
Area0L#0,"""아크스 쉽\u3000VR 공간 (삼림)\u3000미션 1"""
Area1S#0,"""미션 2"""
Area1L#0,"""아크스 쉽\u3000VR 공간 (화산)\u3000미션 2"""
Area2S#0,"""미션 3"""
Area2L#0,"""아크스 쉽\u3000VR 공간 (사막)\u3000미션 3"""
Area3S#0,"""미션 4"""
Area3L#0,"""아크스 쉽\u3000VR 공간 (삼림)\u3000미션 4"""
Area4S#0,"""미션 5"""
Area4L#0,"""아크스 쉽\u3000VR 공간 (화산)\u3000미션 5"""
Area5S#0,"""미션 6"""
Area5L#0,"""아크스 쉽\u3000VR 공간 (삼림)\u3000미션 6"""
Area6S#0,"""미션 7"""
Area6L#0,"""아크스 쉽\u3000VR 공간 (화산)\u3000미션 7"""
Area7S#0,"""미션 8"""
Area7L#0,"""아크스 쉽\u3000VR 공간 (사막)\u3000미션 8"""
Area8S#0,"""미션 9"""
Area8L#0,"""아크스 쉽\u3000VR 공간 (삼림)\u3000미션 9"""
Area9S#0,"""미션 10"""
Area9L#0,"""아크스 쉽\u3000VR 공간 (화산)\u3000미션 10"""
Area10S#0,"""미션 11"""
Area10L#0,"""아크스 쉽\u3000VR 공간 (삼림)\u3000미션 11"""
Area11S#0,"""미션 12"""
Area11L#0,"""아크스 쉽\u3000VR 공간 (화산)\u3000미션 12"""
Area12S#0,"""미션 13"""
Area12L#0,"""아크스 쉽\u3000VR 공간 (사막)\u3000미션 13"""
Area13S#0,"""미션 14"""
Area13L#0,"""아크스 쉽\u3000VR 공간 (삼림)\u3000미션 14"""
Area14S#0,"""미션 15"""
Area14L#0,"""아크스 쉽\u3000VR 공간 (화산)\u3000미션 15"""
Area15S#0,"""미션 16"""
Area15L#0,"""아크스 쉽\u3000VR 공간 (삼림)\u3000미션 16"""
Area16S#0,"""미션 17"""
Area16L#0,"""아크스 쉽\u3000VR 공간 (화산)\u3000미션 17"""
Area17S#0,"""미션 18"""
Area17L#0,"""아크스 쉽\u3000VR 공간 (사막)\u3000미션 18"""
Area18S#0,"""미션 19"""
Area18L#0,"""아크스 쉽\u3000VR 공간 (삼림)\u3000미션 19"""
Area19S#0,"""미션 20"""
Area19L#0,"""아크스 쉽\u3000VR 공간 (화산)\u3000미션 20"""
Area20S#0,"""인터벌 에어리어 1"""
Area20L#0,"""아크스 쉽\u3000VR 공간 (사막)\u3000인터벌 에어리어 1"""
Area21S#0,"""인터벌 에어리어 2"""
