name_7006#0,"""รัน"""
ssn_012070_0001#0,"""สวัสดี! Bruder บอกว่าคุณอยากเรียนรู้เกี่ยวกับวิธีการต่อสู้ที่หลากหลายบน Halpha สินะ"""
ssn_012070_0002#0,"""ที่จริงแล้ว มีเรื่องที่อยากจะขอร้องเกี่ยวกับเรื่องนั้นแหละ..."""
ssn_012070_0003#0,"""เพื่อที่จะสนับสนุน ARKS ในฐานะ Operator ตอนนี้กำลังค้นคว้าเกี่ยวกับศัตรูต่างๆ ด้วยตัวเองอยู่น่ะ"""
ssn_012070_0004#0,"""ช่วยให้ติดตามดูสภาพของคุณตอนที่ต่อสู้กับศัตรูต่างๆ ในฟิลด์ได้ไหม?"""
ssn_012070_0005#0,"""ได้เหรอ? ขอบคุณมากเลยนะ!"""
ssn_012070_0006#0,"""ในบรรดา Operator ทั้งหมดที่ Command ฉันเป็นคนที่มาใหม่ที่สุด เลยอยากจะตามคนอื่นให้ทันเร็วๆ น่ะ"""
ssn_012070_0007#0,"""ดังนั้นเลยคิดว่าจะเริ่มต้นจากการเพิ่มพูนความรู้เกี่ยวกับศัตรูก่อน"""
ssn_012070_0008#0,"""จึงอยากจะวัดค่าปรากฏการณ์ \""PSE Burst\"" ที่เกิดจากการเปลี่ยนแปลงของ PSE ในชั้นบรรยากาศ"""
ssn_012070_0009#0,"""เมื่อเกิด \""PSE Burst\"" มันจะทำให้ฝูงศัตรูบุกเข้ามาในบริเวณนั้น"""
ssn_012070_0010#0,"""ช่วงนี้ที่ Mt. Magnus มีความเคลื่อนไหวเพิ่มขึ้น รบกวนไปกำจัดศัตรูที่นั่น ในขณะที่ติดตามความผันผวนของ PSE ได้ไหม?"""
ssn_012070_0101#0,"""อ๋อ เข้าใจแล้ว... ไว้คุยกันคราวหน้าแล้วกันนะ"""
ssn_012070_0201#0,"""ถ้ามีอะไรที่ช่วยได้ในฐานะ Operator ก็บอกมาได้เลยนะ"""
ssn_012070_0202#0,"""อยากจะทำให้ทุกอย่างง่ายที่สุดสำหรับทุกคนน่ะ"""
ssn_012070_0301#0,"""ภารกิจนี้เต็มไปด้วยอันตรายแน่นอน พวกเราจะคอยสนับสนุนอย่างสุดความสามารถเลย!"""
ssn_012070_0302#0,"""ขอให้โชคดีนะ!"""
