ssn_011110_0001#0,"""ได้ลองไปรวบรวมของดูบ้างหรือยัง?"""
ssn_011110_0002#0,"""นอกเมืองน่ะมีทั้งผัก ผลไม้ แร่ แล้วก็เนื้อ Tames ให้เก็บเกี่ยวเพียบเลยนะ"""
ssn_011110_0003#0,"""วัตถุดิบสดใหม่กับวัสดุดีๆ พวกนั้นมีประโยชน์กับการต่อสู้ในอนาคตแน่นอน"""
ssn_011110_0004#0,"""แค่ให้ลองเก็บไปคิดดูน่ะ ทำตัวตามสบายเลยนะ!"""
ssn_011110_0101#0,"""การรวบรวมของเป็นไงบ้างล่ะ?"""
ssn_011110_0102#0,"""ส่วนตัวแล้วฉันชอบขุดแร่นะ ไม่ค่อยมีเวลาว่างเท่าไหร่หรอก แต่ถ้ามีก็จะไปสำรวจหาแร่ตามพื้นที่ต่างๆ"""
ssn_011110_0103#0,"""ที่จริงฉันตั้งใจจะแนะนำเรื่องแร่ให้ฟังเยอะเลย ว่าไงล่ะ สนใจไหม?"""
ssn_011110_0201#0,"""อย่างเช่น Monotite ที่ขึ้นชื่อเรื่องประกายสีแดงสวยงาม"""
ssn_011110_0202#0,"""แค่ดูก็เพลินแล้ว แต่มันยังเอาไปใช้ที่ Item Lab เพื่อเสริมความแข็งแกร่งให้อุปกรณ์ได้ด้วย"""
ssn_011110_0203#0,"""อุปกรณ์แต่ละชิ้นอาจจะใช้แร่ต่างชนิดกันไป เพราะงั้นอย่าลืมเช็คเมนูใน Lab ดูนะว่าต้องใช้อะไรบ้าง"""
ssn_011110_0204#0,"""Monotite ส่วนใหญ่จะหาได้ตามพื้นที่หินผาใน Central Aelio ลองไปหาดูสิ"""
ssn_011110_0301#0,"""อืม... เข้าใจล่ะ น่าเสียดายนะ"""
ssn_011110_0302#0,"""เอาไว้ถ้าอยากเรียนรู้เรื่องแร่เมื่อไหร่ก็มาหาฉันได้ตลอดนะ"""
