ssn_013200_0001#0,"""สนุกกับการรวบรวมของไหม?"""
ssn_013200_0002#0,"""นอกเมืองน่ะมีทั้งผัก ผลไม้ แร่ แล้วก็เนื้อ Tames ให้เก็บเกี่ยวเพียบเลยนะ"""
ssn_013200_0003#0,"""วัตถุดิบสดใหม่กับวัสดุดีๆ พวกนั้นมีประโยชน์กับการต่อสู้ในอนาคตแน่นอน"""
ssn_013200_0101#0,"""อยู่นี่เอง"""
ssn_013200_0102#0,"""มาเรียนรู้เรื่องแร่เพิ่มสินะ?"""
ssn_013200_0201#0,"""Photon Quartz เป็นแร่สีน้ำทะเลแหลมๆ ที่แทรกอยู่ตามหิน ส่วน Trinite เป็นแร่ที่มีลายทางวงกลมสวยงาม"""
ssn_013200_0202#0,"""หินสองชนิดนี้เอาไปใช้เสริมความแข็งแกร่งให้อาวุธได้เหมือนกัน"""
ssn_013200_0203#0,"""...แต่ส่วนตัวแล้ว ฉันว่ามันน่าจะเอาไปทำของประดับชวนคุยสวยๆ ได้อยู่นะ..."""
ssn_013200_0204#0,"""อ้อ แล้วก็ Photon Quartz นี่จำเป็นมากๆ สำหรับการทำ Multi-Weapon เลยล่ะ"""
ssn_013200_0205#0,"""มันจะหาได้ใน Northern Aelio ลองไปหาดูสิ! ...รู้งานนี่นา ฮ่าๆๆ!"""
ssn_013200_0301#0,"""อืม เข้าใจล่ะ... น่าเสียดายนะ"""
ssn_013200_0302#0,"""เอาไว้ถ้าอยากเรียนรู้เรื่องแร่เมื่อไหร่ก็บอกได้เลยนะ"""
