ssn_014210_0001#0,"""สนุกกับการรวบรวมของไหม?"""
ssn_014210_0002#0,"""นอกเมืองน่ะมีทั้งผัก ผลไม้ แร่ แล้วก็เนื้อ Tames ให้เก็บเกี่ยวเพียบเลยนะ"""
ssn_014210_0003#0,"""วัตถุดิบสดใหม่กับวัสดุดีๆ พวกนั้นมีประโยชน์กับการต่อสู้ในอนาคตแน่นอน"""
ssn_014210_0004#0,"""ดูแลตัวเองด้วยล่ะ!"""
ssn_014210_0005#0,"""อ้อ แล้วก็อย่าลืมนะว่าเช็คดูใน World Map ได้เสมอว่าแร่แต่ละอย่างหาได้จากที่ไหน"""
ssn_014210_0101#0,"""ที่ผ่านมาก็ได้ไปหาแร่ที่ Central, Northern แล้วก็ Southern Aelio มาแล้วสินะ"""
ssn_014210_0102#0,"""สุดท้ายนี้มาเรียนรู้เรื่องแร่ใน Western Aelio กันเถอะ"""
ssn_014210_0201#0,"""ใน Western Aelio จะรวบรวมได้ทั้ง Dualomite แล้วก็ Trinite เลย"""
ssn_014210_0202#0,"""เราเคยคุยเรื่องแร่สองชนิดนี้ไปแล้ว คงจะจำได้ใช่ไหมว่าหน้าตาเป็นยังไง?"""
ssn_014210_0203#0,"""ก็เหมือนเคยนั่นแหละ ออกไปลองตามหากันเลย ฮ่าๆๆ!"""
ssn_014210_0301#0,"""อืม เข้าใจล่ะ... น่าเสียดายนะ"""
ssn_014210_0302#0,"""เอาไว้ถ้าอยากเรียนรู้เรื่องแร่เมื่อไหร่ก็บอกได้เลยนะ"""
