name010#0,"""Фаин"""
text010#0,"""А теперь я научу тебя, как мгновенно<br>переключаться на различные атаки. Выслушай<br>и попробуй сделать, как я тебе объясняю."""
Text_PA#0,"""Фотон Арт: """
Text_TEC#0,"""Техника: """
Button_PATEC#0,"""<%PhotonArts>"""
Text_chargePA#0,"""Заряд PA: """
Text_chargeTEC#0,"""Зарядка техники: """
Text_chargePA2#0,"""Переключение атаки во время PA: """
Button_charge#0,"""Нажать и удерживать <pict 4space><%PhotonArts>"""
Button_charge2#0,"""Во время Фотон Арта"""
Button_charge2_2#0,"""В определённый момент <pict 4space><%NormalAttack><pict 4space> или <pict 4space><%PhotonArts>"""
Text_ura_hold#0,"""На обратную палитру: """
Text_ura_push#0,"""Смена палитры: """
Button_ura_hold#0,"""Удерживайте <pict 4space><%WeaponAction_2>"""
Button_ura_push#0,"""<%WeaponAction_2>"""
Text_uraPATEC#0,"""Обратная палитра\u3000"""
Text_uraPA#0,"""Фотон Арт: """
Text_uraTEC#0,"""Техника: """
Button_uraPA_hold#0,"""<%WeaponAction_2><pict 4space> во время удерживания <pict 4space><%NormalAttack>"""
Button_uraPA_push#0,"""При переключении на обратную палитру <pict 4space><%NormalAttack>"""
