name010#0,"""Боджи"""
text010_A#0,"""Оо! Как тебе город? Разве он не хорош?"""
text020_A#0,"""Если хочешь, чтобы я помог тебе,<br>обращайся ко мне в любое время."""
text010#0,"""О! Это ты. А? Тебе сказали что я тебя искал?"""
text020#0,"""Верно. Хочу сделать тебе подарок в качестве<br>приветствия. Я интересовался, есть ли<br>что-нибудь стоящее."""
text030#0,"""В общем, я подготовил отличный подарок,<br>но не понимаю, куда он делся..."""
text040#0,"""Помнится, я недавно положил его<br>в контейнер для предметов..."""
text050#0,"""Интересно, какой это был из контейнеров... Хм..."""
text060#0,"""Плохо дело! Не мог бы ты помочь мне найти его?"""
text010_B#0,"""Ну как? Смог(ла) найти?"""
text010_C#0,"""Ты хорошо осмотрел(а) город? Раз так,<br>тебе не плохо было бы вернуться к Гароа."""
