Title#0,"""T:Merry Christmas On Ice 2018"""
Explanation#0,"""惑星ナベリウス・凍土エリアの<br>クリスマス会場周辺において<br>ダーカ―ほか多数の反応が確認された。<br>さらに、天候変化に合わせるかのように<br>例外のエネミーも姿を現している。<br>アークス各員は至急現地へ赴き<br>原因を解明し、会場周辺の安全を確保せよ。<br>―――――――――――――――――――<br>ルーム内のクエストポイント共有／有り<br>制限時間経過でクエスト終了"""
SimpleExplanation#0,"""Defeat the enemies within the time limit!"""
NpcComMsg1#0,"""これより転送を開始します。<br>今回の作戦は、会場周辺に現れた<br>敵性存在の討伐です。"""
NpcComMsg2#0,"""多数の敵性反応の確認と<br>著しい天候変化から異常事態と認識。<br>早急な対応が求められます。"""
NpcComMsg3#0,"""転送後、速やかに敵性存在を討伐し<br>会場周辺の安全確保および異常事態の<br>要因について調査を行ってください。"""
Area0S#0,"""Tundra - Area 1"""
Area0L#0,"""Planet Naberius: Tundra - Area 1"""
Area1S#0,"""Tundra - Area 2"""
Area1L#0,"""Planet Naberius: Tundra - Area 2"""
a1#0,"""Complete a certain Client Order."""
a2#0,"""Complete a certain Client Order."""
a3#0,"""Possess a Super Hard License."""
a4#0,"""Possess a Super Hard License."""
