Title#0,"""빙상의 메리 크리스마스 2018"""
Explanation#0,"""행성 나베리우스 동토 에어리어의<br>크리스마스 행사장 주변에서<br>다커 등 다수의 반응이 확인됐다.<br>더욱이 기상 변화에 맞춘 듯<br>이례적인 에너미도 모습을 드러내고 있다.<br>각 아크스는 즉시 현지로 향해<br>원인을 규명하고 행사장 안전을 확보하라.<br>―――――――――――――――――――<br>룸 내 퀘스트 포인트 공유/있음<br>제한 시간 경과 시 퀘스트 종료"""
SimpleExplanation#0,"""시간 안에 가능한 한 많은 에너미를 격퇴하라!"""
NpcComMsg1#0,"""지금부터 전송을 시작합니다.<br>이번 작전은 행사장 주변에 나타난<br>적대 존재 토벌입니다."""
NpcComMsg2#0,"""다수의 적대 반응과<br>현저한 기상 변화로 이상 사태가 확인됐습니다.<br>조속한 대응이 필요합니다."""
NpcComMsg3#0,"""전송 후 신속히 적대 존재를 토벌하고<br>행사장 주변의 안전을 확보하며<br>이상 사태의 원인을 조사해 주세요."""
Area0S#0,"""동토 에어리어 1"""
Area0L#0,"""행성 나베리우스 동토 에어리어 1"""
Area1S#0,"""동토 에어리어 2"""
Area1L#0,"""행성 나베리우스 동토 에어리어 2"""
a1#0,"""특정 클라이언트 오더 클리어"""
a2#0,"""특정 클라이언트 오더 클리어"""
a3#0,"""슈퍼 하드 수주 허가증 소지"""
a4#0,"""슈퍼 하드 수주 허가증 소지"""
