luck1#0,"""great luck!"""
luck2#0,"""good luck."""
luck3#0,"""okay luck."""
luck4#0,"""bad luck."""
NameF#0,"""$(0) got $(1)"""
result1#0,"""{red}〇Desire\u3000[No.1-A]<br>{def}Your desires will come to fruition.<br>You should be happy."""
result2#0,"""{red}〇Health\u3000[No.2-A]<br>{def}Perfection.<br>Your body is in perfect health."""
result3#0,"""{red}〇Fashion\u3000[No.3-A]<br>{def}Your fashion will become very popular.<br>Try dancing to appeal to others."""
result4#0,"""{red}〇Amusement\u3000[No.4-A]<br>{def}Don't be afraid, you're likely going to win.<br>This is a once-in-a-lifetime chance."""
result5#0,"""{red}〇Life\u3000[No.5-A]<br>{def}Your room has wonderful energy.<br>Redecorating is fine too, though."""
result6#0,"""{red}〇Friendship\u3000[No.6-A]<br>{def}Try talking to your teammates more.<br>Your bonds will grow."""
result7#0,"""{red}〇Adventure\u3000[No.7-A]<br>{def}Do your best to clear Emergency Trials.<br>Fortune will favor you."""
result8#0,"""{red}〇Soulmate\u3000[No.8-A]<br>{def}They will appear soon without warning.<br>You will complete each other."""
result9#0,"""{red}〇Battle [No.9-A]<br>{def}Be adventurous! Fight your way.<br>Don't forget the basics, though!"""
result10#0,"""{red}〇Money [No.10-A]<br>{def}Meseta will come soon.<br>You will make a large amount."""
result11#0,"""{red}〇Commerce [No.11-A]<br>{def}Profits will be high.<br>All signs point to good things."""
result12#0,"""{red}〇Future [No.12-A]<br>{def}There are good things ahead.<br>Proceed with peace of mind."""
result13#0,"""{red}〇Study [No.13-A]<br>{def}Don't get stuck.<br>Your effort will soon pay off."""
result14#0,"""{red}〇Crafting [No.14-A]<br>{def}Your crafting outlook is bright.<br>Your efforts will pay off."""
result15#0,"""{red}〇Arts [No.15-A]<br>{def}Try using lots of special moves in battle.<br>Their usage will be rewarded."""
result16#0,"""お、最高の運勢みたいだぜ？<br>やっぱいい結果だと嬉しいよな！<br>{red}― [No.1６]ゼノ ―"""
result17#0,"""よう、相棒！\u3000最高の運勢みたいだぜ！<br>おれにも運が向いてこないかな―。<br>{red}― [No.1７]アフィン ―"""
result18#0,"""や―、見事見事。大当たりだよ―。<br>運も実力のうちってね、おめでと―。<br>{red}― [No.1８]クロト ―"""
result19#0,"""見事なもんだな、最高の運勢だぞ。<br>この勢いで、ハンタ―の修行はどうだ？<br>{red}― [No.1９]オ―ザ ―"""
result20#0,"""素晴らしい結果だな！\u3000最高の運勢だ！<br>何を隠そう私も昔、おみくじで……<br>{red}― [No.20]ジャン ―"""
result21#0,"""幸運を掴むのは、己の手だ。<br>励みにして精進するといいぞ。<br>{red}― [No.21]レギアス ―"""
result22#0,"""素晴らしい運勢みたいですよ。<br>よかったですね。根拠はないですけど。<br>{red}― [No.22]カスラ ―"""
result23#0,"""オレが書いたおみくじを引いた！<br>つまり幸運ということだ！\u3000たぶんな！<br>{red}― [No.23]ヒュ―イ ―"""
result24#0,"""やりましたよ先生！\u3000最高の運勢です！<br>お見事としか言いようがありません！<br>{red}― [No.24]ルベルト ―"""
result25#0,"""やったじゃない、すごくいいやつだよ！<br>いい結果だとやっぱり嬉しいよね。<br>{red}― [No.25]エコ― ―"""
result26#0,"""うん、いちばんいい運勢みたい。<br>なんだか、わたしも嬉しいな。<br>{red}― [No.2６]マトイ ―"""
result27#0,"""わわっ、最高の運勢ですよ！<br>私も引いてみたいです！<br>{red}― [No.2７]フ―リエ ―"""
result28#0,"""い―なぁ―！\u3000最高の運勢だって！<br>金運アップだとなおよしだね―！<br>{red}― [No.2８]パティ ―"""
result29#0,"""運勢、すっごくいいみたいだよ。<br>願い事とか叶うかもしれないね。<br>{red}― [No.2９]ティア ―"""
result30#0,"""……すごく、いい運勢みたい。<br>……いいことが、起きるといいわね。<br>{red}― [No.30]マ―ル― ―"""
result31#0,"""ふふふっ、いい運勢みたいですよお。<br>好きなだけ撃ち放題ですねえ。<br>{red}― [No.31]リサ ―"""
result32#0,"""おっ、貴様、最高の運勢みたいだぞ！<br>つまり、爆破し放題だ！\u3000喜ぶといい！<br>{red}― [No.32]クラリスクレイス ―"""
result33#0,"""結果は最高みたい！\u3000おめでとう！<br>お祝いのライブでも開いちゃおうか？<br>{red}― [No.33]ク―ナ ―"""
result34#0,"""やったな、センパイ。いい運勢だって。<br>根拠はなくても、励みになるよな。<br>{red}― [No.34]イオ ―"""
result35#0,"""す、すごいです！\u3000最高の運勢ですよ！<br>先輩は運も味方にしちゃうんですね！<br>{red}― [No.35]ロッティ ―"""
result1#1,"""{red}〇Desire\u3000[No.1-B]<br>{def}Keep trying!<br>Do your best, don't give up."""
result2#1,"""{red}〇Health\u3000[No.2-B]<br>{def}Your body is at peace.<br>There is no need for alarm."""
result3#1,"""{red}〇Fashion\u3000[No.3-B]<br>{def}Your fashion will be popular.<br>There is nothing wrong with change, though."""
result4#1,"""{red}〇Amusement\u3000[No.4-B]<br>{def}People are lucky around you.<br>The many are luckier than the one."""
result5#1,"""{red}〇Life\u3000[No.5-B]<br>{def}Your room is brimming with liveliness.<br>You should finish decorating and invite people."""
result6#1,"""{red}〇Friendship\u3000[No.6-B]<br>{def}Send a \""Good Job\"" to a friend.<br>It will improve your bond with this friend."""
result7#1,"""{red}〇Adventure\u3000[No.7-B]<br>{def}The direction you must take is clear.<br>You should take charge and lead the party."""
result8#1,"""{red}〇Soulmate\u3000[No.8-B]<br>{def}Have patience. They will come.<br>Be careful about misunderstandings."""
result9#1,"""{red}〇Battle [No.9-B]<br>{def}It will be easy to obtain victory.<br>Don't let your guard down, however."""
result10#1,"""{red}〇Money [No.10-B]<br>{def}You have a change to obtain much Meseta.<br>This may lead to conflict, however."""
result11#1,"""{red}〇Commerce [No.11-B]<br>{def}Not too good, not too bad.<br>Pay attention to maintain the status quo."""
result12#1,"""{red}〇Future [No.12-B]<br>{def}Your immediate path is clear.<br>More decisions await you in the future."""
result13#1,"""{red}〇Study [No.13-B]<br>{def}Rewards will come soon.<br>Don't give up, be confident."""
result14#1,"""{red}〇Crafting [No.14-B]<br>{def}There are those who believe in your craftsmanship.<br>Keep them in mind and craft for them."""
result15#1,"""{red}〇Arts [No.15-B]<br>{def}Use many PAs and Techniques.<br>This will determine the outcome of battle."""
result1#2,"""{red}〇Desire\u3000[No.1-C]<br>{def}With dedication, you will succeed.<br>Be mindful, but persevere."""
result2#2,"""{red}〇Health\u3000[No.2-C]<br>{def}There may be a concern.<br>Do not panic, you will heal."""
result3#2,"""{red}〇Fashion\u3000[No.3-C]<br>{def}Do not put too much faith in other people's fashion.<br>Your own choices may prove better."""
result4#2,"""{red}〇Amusement\u3000[No.4-C]<br>{def}Do not worry about profit and loss right now.<br>Greed will ruin your luck and future profits."""
result5#2,"""{red}〇Life\u3000[No.5-C]<br>{def}Visiting other people's rooms is recommended.<br>You will advance through new encounters."""
result6#2,"""{red}〇Friendship\u3000[No.6-C]<br>{def}Depend on your friends and teammates.<br>Both your bonds and fortunes will rise."""
result7#2,"""{red}〇Adventure\u3000[No.7-C]<br>{def}Don't be afraid of trying.<br>Believe in yourself and give it your all."""
result8#2,"""{red}〇Soulmate\u3000[No.8-C]<br>{def}It may time take, but they will arrive without warning.<br>Believe in them and wait, do not rush things."""
result9#2,"""{red}〇Battle [No.9-C]<br>{def}Though it may be a struggle, you will emerge victorious.<br>Be careful."""
result10#2,"""{red}〇Money [No.10-C]<br>{def}Small gains are still gains.<br>A steady income of Meseta is good."""
result11#2,"""{red}〇Commerce [No.11-C]<br>{def}Do not be mislead by other's advice.<br>Calculate the loss and gain for yourself."""
result12#2,"""{red}〇Future [No.12-C]<br>{def}Your future is uncertain.<br>Believe in yourself and you will prevail."""
result13#2,"""{red}〇Study [No.13-C]<br>{def}Idle hands are the most dangerous.<br>Believe in your results and efforts."""
result14#2,"""{red}〇Crafting [No.14-C]<br>{def}It is difficult to craft without failure.<br>Have patience and a good plan in mind."""
result15#2,"""{red}〇Arts [No.15-C]<br>{def}Experiment with new explosive combos.<br>Don't get stuck in your own ways."""
result1#3,"""{red}〇Desire\u3000[No.1-D]<br>{def}A tough road lies ahead.<br>Through hardship, you will be rewarded."""
result2#3,"""{red}〇Health\u3000[No.2-D]<br>{def}Don't neglect being prepared.<br>Be ready for anything."""
result3#3,"""{red}〇Fashion\u3000[No.3-D]<br>{def}Try to mix up your fashion.<br>Remember that change can be good."""
result4#3,"""{red}〇Amusement\u3000[No.4-D]<br>{def}Know your limits in fun.<br>There is a time to stop."""
result5#3,"""{red}〇Life\u3000[No.5-D]<br>{def}You should try changing your mind.<br>Perhaps your luck will increase."""
result6#3,"""{red}〇Friendship\u3000[No.6-D]<br>{def}Be aware of how your words come off.<br>Try being more humble to increase your fortune."""
result7#3,"""{red}〇Adventure\u3000[No.7-D]<br>{def}Things may go wrong if you go by yourself.<br>It may be wise to go with others."""
result8#3,"""{red}〇Soulmate\u3000[No.8-D]<br>{def}They will not come to you.<br>You must go forth and find them."""
result9#3,"""{red}〇Battle [No.9-D]<br>{def}Don't rest easy until the end.<br>Success comes to those who are careful."""
result10#3,"""{red}〇Money [No.10-D]<br>{def}You may want to gather more Meseta.<br>Hard times are coming."""
result11#3,"""{red}〇Commerce [No.11-D]<br>{def}Unless you rid yourself of greed, bad things will come.<br>Be ready for unexpected loss."""
result12#3,"""{red}〇Future [No.12-D]<br>{def}Doom lays on the horizon.<br>Pay attention, be alert, and be ready."""
result13#3,"""{red}〇Study [No.13-D]<br>{def}Even if you don't notice a difference, do your best.<br>Be at peace with your efforts."""
result14#3,"""{red}〇Crafting [No.14-D]<br>{def}Pay attention to your materials.<br>Make sure to double check before crafting."""
result15#3,"""{red}〇Arts [No.15-D]<br>{def}Pay attention to the gap between special moves.<br>Getting upset will only lead to failure."""
FullSize_Help#0,"""<c f0df60>A strange shrine that grants fortunes.<c>"""
Child_Menu1#0,"""Reveal your fortune"""
Child_Menu2#0,"""Return"""
