st_062060_0001#0,"""A.P.242/2/26/15:00"""
st_062060_0010#0,"""Похоже, что только драгонкины<br>на нас нападают. Интересно,<br>смог ли флот ARKS полностью<br>отвлечь врага?.."""
st_062060_0020#0,"""〔Вы, Медиум〕<br>〔слишком волнуетесь〕<br>〔Хотя в этом месте〕<br>〔присутствует опасность〕<br>〔Это также〕<br>〔священное место〕"""
st_062060_0030#0,"""〔Не каждый〕〔может так просто〕<br>〔попасть сюда〕"""
st_062060_0040#0,"""Рера, держись позади!"""
st_062060_0050#0,"""Оружие фотонёров?!<br>Вражеский флот же сейчас<br>должен сражаться с<br>Кларискрейс и остальными?!.."""
st_062060_0060#0,"""〔Как они〕〔сюда попали!〕<br>〔Прибыли〕〔и следов〕〔нет!〕"""
st_062060_0070#0,"""Значит они отследили<br>информацию о координатах<br><%me> и Матои,<br>и переместились прямо сюда!.."""
st_062060_0080#0,"""...Если задуматься, то это<br>естественно же. То же самое<br>мы делали с даркерами."""
st_062060_0090#0,"""Теперь, когда у них<br>информационное превосходство<br>над нами,.. не удивительно что<br>они так появляются."""
st_062060_0100#0,"""Выбора нет, придётся прорываться"""
st_062060_0110#0,"""Может, найдём другой способ"""
st_062060_0120#0,"""Будем игнорировать их, и нас<br>просто окружат...<br>Другого варианта нет."""
st_062060_0130#0,"""У нас нет на это времени.<br>Если нас окружат...<br>у нас не будет ни единого<br>шанса."""
st_062060_0140#0,"""...Нету выбора,<br>кроме как прорваться."""
