st_062040_0180#0,"""〔Давно не виделись〕〔<%me>〕"""
st_062040_0185#0,"""〔Мне ведома проблема, с которой столкнулись ARKS〕<br>〔Прежде всего, было бы не плохо передохнуть〕"""
st_062040_0190#0,"""Старешина драгонкинов,<br>Ро Камицу...<br>знакомая Сяо."""
st_062040_0200#0,"""〔Конечно〕"""
st_062040_0210#0,"""〔Я чувствую это дитя внутри тебя. Я слышала о тебе,<br>но это будет наша первая встреча, медиум Сяо.〕"""
st_062040_0220#0,"""Медиум?"""
st_062040_0230#0,"""Не родственница?"""
st_062040_0240#0,"""〔Согласно вашей терминологии, родственницей<br>будет вернее её называть〕"""
st_062040_0250#0,"""〔Однако я считаю, что использование этого<br>выражения облегчит вам понимание.〕"""
st_062040_0260#0,"""Я и Рера одинаковые<br>существования?.. Тогда,<br>Ро Камицу.. вы..."""
st_062040_0270#0,"""Та же, что и Сяо..."""
st_062040_0280#0,"""Копия Сион..."""
st_062040_0290#0,"""〔...Так и есть. Я клон Хроник Акаши, планеты Сион.<br>Одна из брошенных работ.〕"""
st_062040_0300#0,"""〔Я родом из промежуточного периода. В то же время было создано<br>существование, которое можно было бы назвать мне братом.〕"""
st_062040_0310#0,"""〔Однако, ни мне, ни другому клону Сион не доставало чего-то от оригинала〕"""
st_062040_0320#0,"""〔Мне недоставало способностей к рассчётам,<br>а другому - способностей к обработке.〕"""
st_062040_0330#0,"""〔Можно ли представить, насколько заманчивой<br>была перспектива нам стать единым целым?〕"""
st_062040_0340#0,"""〔В то время, фотонёры не останавливались ни перед чем,<br>чтобы увидеть, как это стало реальностью.〕"""
st_062040_0350#0,"""〔Они планировали объединить нас в идеальную имитацию Сион...<br>Эта идея, конечно же, потерпела неудачу.〕"""
st_062040_0360#0,"""〔Как результат, родилась новая звезда.<br>Так появилась планета Амдуския...〕"""
st_062040_0370#0,"""〔Легендами это было передано, как битва между<br>Небесным драконом Териото и Адским драконом Кашиной.<br>В них отображено столкновение двух клонов.〕"""
st_062040_0380#0,"""〔Однако, я не считаю это отвратительным.<br>Я даже не держу зла на фотонёров.<br>Таких чувств во мне нет.〕"""
st_062040_0390#0,"""〔Я получила здесь, что нигде бы не получила.<br>Считаю, что этого достаточно.〕"""
st_062040_0400#0,"""〔Тем не менее, я не знаю, что думает Кашина.〕"""
st_062040_0410#0,"""...Сяо сказал нам прибыть в<br>Амдускию, потому что он хотел,<br>чтобы вы стали новым<br>администратором?.."""
st_062040_0420#0,"""〔Нет, это ничего не меняет. Мои вычислительные мощности<br>не идут ни в какое сравнение с мощнотями Сяо.<br>Я была лишь имитацией〕"""
st_062040_0430#0,"""Тогда, что нам делать?.."""
st_062040_0440#0,"""Где другой клон?"""
st_062040_0450#0,"""Раз одного не достаточно, может два?.."""
st_062040_0460#0,"""〔Кашина спит. После нашего столкновения,<br>он погрузился в непробудный сон.〕"""
st_062040_0470#0,"""〔Сейчас он глубоко под землёй Амдускии.<br>Лишь сосуд поддерживает Магнетитовая гробница.〕"""
st_062040_0480#0,"""Скажите, пожалуйста.<br>Как нам добраться до места,<br>где спит Кашина?"""
st_062040_0490#0,"""〔...Ты собираешься переместить Сяо из себя в Кашину?〕"""
st_062040_0500#0,"""〔В случае провала, ты подвергнешь опасности<br>не только Сяо, но и его текущий сосуд.<br>Полагаю, что Сяо не хотел бы такого исхода.〕"""
st_062040_0510#0,"""Это единственный способ для<br>него вернуться. Вот почему<br>он сказал мне прибыть сюда."""
st_062040_0520#0,"""Кроме того...<br>\""Не в моей природе<br>оставаться мертвым.\"""""
st_062040_0530#0,"""Сяо дважды спас мою жизнь.<br>Я хочу отплатить ему."""
st_062040_0540#0,"""...Это необходимо для того,<br>чтобы всех защитить."""
st_062040_0550#0,"""...Пожалуйста, помогите нам."""
st_062040_0560#0,"""Хочу, чтобы вы нам помогли"""
st_062040_0570#0,"""...Пожалуйста"""
st_062040_0580#0,"""〔...Воля человека должна быть такой красивой〕"""
st_062040_0590#0,"""〔...Я принимаю вашу волю. Вы можете пройти к Кашине. Ко Рера, отведи их.〕"""
st_062040_0600#0,"""〔Хорошо〕<br>〔Госпожа Камицу!〕"""
st_062040_0610#0,"""Рера поведёт нас?<br>Сможешь ли ты провести<br>нас в самые глубины<br>с такими размерами?"""
st_062040_0620#0,"""〔Хи-хи-хи〕<br>〔Не беспокойтесь, Куна〕<br>〔Это не проблема!〕"""
st_062040_0630#0,"""Уменьшился?!.."""
st_062040_0640#0,"""〔Изменение〕<br>〔Размер кристалла дракона〕<br>〔Из которого мы состоим〕<br>〔Легкотня для медиумов!〕"""
st_062040_0650#0,"""〔Пока Рера с вами, вы сможете связаться<br>со мной. Отправляйтесь к Кашину〕"""
st_062040_0660#0,"""〔...Есть кое-что, чего я не понимаю.<br>Значем помогать потомкам фотонёров?<br>Потому что оригинал желает того же?〕"""
st_062040_0670#0,"""Не, Сион желает другого.<br>Желание Сион - спасти<br>только одну."""
st_062040_0680#0,"""Я по собственной воле помогал<br>Саре и давал ей советы."""
st_062040_0690#0,"""Хотя, возможно, это изначально<br>было частью планов Сион."""
st_062040_0700#0,"""〔Теперь я не понимаю ещё меньше.<br>Сяо, чего ты хочешь добиться?〕"""
st_062040_0710#0,"""А ты твёрдая, Камицу.<br>В это нет задела<br>на большее."""
st_062040_0720#0,"""Однако, говоря другими<br>словами..."""
st_062040_0730#0,"""〔Чтобы человеческая воля превзошла нашу...<br>Я тоже хочу увидеть это.〕"""
