st_062010_0001#0,"""A.P.242/2/25/10:00"""
st_062010_0010#0,"""Сара..."""
st_062010_0020#0,"""Ты в порядке?"""
st_062010_0030#0,"""Не слишком ли ты себя винишь?"""
st_062010_0040#0,"""Ты о травме? В порядке я.<br>Таким меня не сломить."""
st_062010_0050#0,"""У вас двоих всё в порядке?<br>Ну, не похоже, что у вас есть<br>время на медицинский осмотр."""
st_062010_0060#0,"""Ха-ха. Ведь не только я,<br>но и все остальные."""
st_062010_0070#0,"""У Сиерры, похоже, такой завал<br>со стороны руководства, что<br>нет времени на болтовню."""
st_062010_0080#0,"""...Сара.<br>Что находится в Амдускии?"""
st_062010_0090#0,"""Я даже не знаю.<br>Сяо только сказал туда<br>отправиться."""
st_062010_0100#0,"""...Но почему-то я понимаю.<br>Он что-то ищет..."""
st_062010_0110#0,"""<%me>, ты же<br>тоже впервые встретился(лась)<br>с Сяо на Амдускии."""
st_062010_0120#0,"""Старейшина драгонкинов?.."""
st_062010_0130#0,"""Нам придётся встретиться с Ро Камицу?.."""
st_062010_0140#0,"""...Именно. Мы собираемся<br>встретиться с Старейшиной<br>драгонкинов, Ро Камицу.<br>Иного и быть не может."""
st_062010_0150#0,"""Ты обязательно,<br>что-то там придумал...<br>...Я же права, Сяо?"""
skit01#0,"""Faint Hope"""
skit02#0,"""Тонкая нить надежды"""
