st_062090_0001#0,"""A.P.242/2/26/16:20"""
st_062090_0010#0,"""Это же..."""
st_062090_0020#0,"""Так ты справилась, Сара!"""
st_062090_0030#0,"""Это реакция на размерный перенос из окружающей среды. Кларискрейс, подорви их."""
st_062090_0040#0,"""Поняла!"""
st_062090_0050#0,"""Вы теперь можете точно<br>отслеживать наше<br>местоположение?..<br>Но этого не должно быть..."""
st_062090_0060#0,"""Наконец-то объединились силы<br>двух имитаций Сион. Спасибо<br>за быструю адаптацию, Камицу."""
st_062090_0070#0,"""〔Нет нужды в благодарностях.〕<br>〔Потому что это приведёт к будущему.〕"""
st_062090_0080#0,"""Сяо!"""
st_062090_0090#0,"""Я вас заставил ждать, народ.<br>Вы хорошо старались до<br>этого самого момента."""
st_062090_0100#0,"""Сара!?"""
st_062090_0110#0,"""Не волнуйся.<br>Она просто спит."""
st_062090_0120#0,"""Я сейчас здесь, лишь потому<br>что она хорошо постаралась."""
st_062090_0130#0,"""Не вознагради я её<br>за эти усилия...<br>Я не был бы мужчиной."""
st_062090_0140#0,"""Исчез?!"""
st_062090_0150#0,"""...В округе нет никаких<br>сигналов. Похоже, оценив<br>текущую обстановку, он<br>решил отступить."""
st_062090_0160#0,"""Сяо...<br>Ты вернулся."""
st_062090_0170#0,"""Меня поразила её речь.<br>Что ж, благодаря этому<br>я успел, так что стоит<br>поблагодарить Сару."""
st_062090_0180#0,"""Не так давно мы слышали мощный взрыв. Сосуд все ещё цел?"""
st_062090_0190#0,"""Центр Кашина был разрушен. Но разве для драконов важна форма сосуда? Так не думаете?"""
st_062090_0200#0,"""〔Верно〕〔Важна душа〕<br>〔Подходящие сосуды〕<br>〔находятся вокруг нас〕"""
st_062090_0210#0,"""〔Сяо〕<br>〔собрал разбитые кристаллы〕<br>〔чтобы создать тело〕"""
st_062090_0220#0,"""Проще говоря, плавающие здесь<br>частицы - это я. Они связаны<br>для формирования тела."""
st_062090_0230#0,"""И поскольку я использовал<br>кристаллы дракона, соединение<br>с Камицу прошло гладко.<br>Теперь мы восполнили наш пробел<br>в способностях к вычислениям."""
st_062090_0240#0,"""Это означает, что наши следующие<br>действия должны быть очевидны."""
st_062090_0250#0,"""Начинаем контратаку"""
