st_062040_0001#0,"""A.P.242/2/26/10:00"""
st_062040_0010#0,"""Ай..."""
st_062040_0020#0,"""...Сара, может ты не будешь<br>перенапрягать себя и отправишься<br>на корабль?"""
st_062040_0030#0,"""Если я, как родственница Сяо,<br>не приду лично, в этом не будет<br>смысла."""
st_062040_0040#0,"""Была бы на моём месте ты,<br>определённо сказала бы<br>\""Сейчас не выйдет<br>не перенапрягаться\""."""
st_062040_0050#0,"""Боже..."""
st_062040_0060#0,"""...Я ждала вас."""
st_062040_0070#0,"""Чего? Куночка?<br>Что ты здесь делаешь?"""
st_062040_0080#0,"""Потому что многим драгонкинам...<br>как бы так выразиться...<br>нехватает сдержанности."""
st_062040_0090#0,"""Что ты имеешь ввиду<br>под сдержанностью?"""
st_062040_0100#0,"""〔Давно не виделись!〕<br>〔<%me>！〕"""
st_062040_0110#0,"""Нет необходимости<br>в осторожности. Это своего<br>рода приветствие. Вот что<br>я имела ввиду под сдержанностью."""
st_062040_0120#0,"""У меня близкие отношения с<br>драгонкинами, поэтому я хотела<br>бы пойти с вами в качестве<br>проводника."""
st_062040_0130#0,"""Кроме того, на данный момент<br>не ясно, откуда придёт враг.<br>Лучше иметь как можно больше<br>людей."""
st_062040_0140#0,"""А ты не меняешься, Рера.<br>Ты знал, что мы придём?"""
st_062040_0150#0,"""〔Госпожа Камицу〕〔сообщила〕<br>〔когда все〕〔прибыли〕"""
st_062040_0160#0,"""〔Как медиум дракон〕〔Ко Рера〕<br>〔я пришёл, чтобы〕<br>〔встретить ARKS〕"""
st_062040_0170#0,"""〔Чтобы встретиться〕<br>〔с госпожой Камицу〕<br>〔проследуйте〕〔за мной〕"""
