st_062080_0390#0,"""...Сяо."""
st_062080_0400#0,"""Сяо."""
st_062080_0410#0,"""Сяо!"""
st_062080_0420#0,"""Сяо! Просыпайся, Сяо!<br>Все ждут тебя!"""
st_062080_0430#0,"""Мы не можем без тебя!<br>Тебе не нужно обо мне<br>беспокоиться, так что можешь<br>использовать это тело!.."""
st_062080_0440#0,"""Открой уже глаза!"""
st_062080_0450#0,"""...Извини, я сказала то, чего<br>даже не хотела своим сердцем.<br>Такими словами до тебя никто<br>не достучится."""
st_062080_0460#0,"""Я не хочу умирать.<br>И своё тело терять<br>тоже не хочу."""
st_062080_0470#0,"""И прежде всего,<br>я хочу быть собой.<br>Да, я обещала..."""
st_062080_0480#0,"""...Нет. Это не так. Это тоже<br>не правда. Я хочу быть с тобой<br>не потому, что ранее дала<br>обещание..."""
st_062080_0490#0,"""...Я не знаю как выразить эту<br>путаницу из мыслей словами.<br>Я не знаю, как это донести."""
st_062080_0500#0,"""Но я хочу быть с тобой. Вместе<br>смеяться, сердиться, ссориться..<br>многое увидеть, и веселиться..."""
st_062080_0510#0,"""Хочу прогуляться вместе с тобой."""
st_062080_0520#0,"""Сяо. Я хочу быть с тобой.<br>Я и ты не одно, а два разных<br>существования."""
st_062080_0530#0,"""Как равные, бок о бок."""
st_062080_0540#0,"""Так что... Так что, Сяо...<br>Пожалуйста, пожалуйста..."""
st_062080_0550#0,"""Вернись!!.."""
