st_062080_0001#0,"""A.P.242/2/26/16:10"""
st_062080_0010#0,"""Что случилось? Разве,<br>Страж, проявивший такую<br>устрашающую храбрость в Омеге,<br>не должен быть способен<br>на большее?"""
st_062080_0020#0,"""...Мы действительно враги?"""
st_062080_0030#0,"""Почему ты делал те вещи в Омеге?"""
st_062080_0040#0,"""О чём это ты?<br>Разве я не говорил, что всё<br>ради моей госпожи?"""
st_062080_0050#0,"""Я уже говорил об этом.<br>Всё ради моей госпожи."""
st_062080_0060#0,"""Всё сделанное мной ранее было<br>лишь ради одного - вернуть мою<br>госпожу в этот мир."""
st_062080_0070#0,"""Скрываясь в Омеге, играя роль<br>послушного рыцаря, сражаясь<br>вместе с тобой, спасая мир...<br>Я встретил мою госпожу."""
st_062080_0080#0,"""...и в конце концов, как желает<br>того моя госпожа, я уничтожу<br>этот мир."""
st_062080_0090#0,"""Это цель моей госпожи, и моя...<br>Варуны, Бога Чести."""
st_062080_0100#0,"""Бог Чести?.."""
st_062080_0110#0,"""Существование меня и Митры<br>было бы невозможно без госпожи,<br>также и моя госпожа нуждается<br>в нас обоих."""
st_062080_0120#0,"""Больше ничего не нужно.<br>На этом свете ничего не нужно."""
st_062080_0130#0,"""Как долго вы собираетесь<br>продолжать этот бесполезный бой?<br>Нет смысла пытаться выиграть<br>время."""
st_062080_0140#0,"""Чего сказал?!.."""
st_062080_0150#0,"""Коль так хотите удерживать меня<br>здесь, я буду развлекать вас<br>столько, сколько захотите...<br>В конце концов, моё намерение<br>таковым было всегда."""
st_062080_0160#0,"""Не может быть!"""
st_062080_0170#0,"""Поспеши!"""
st_062080_0180#0,"""думаешь я тебя отпущу?"""
st_062080_0190#0,"""...Я не позволю<br>тебе помешать!"""
st_062080_0200#0,"""Вперёд!"""
