st_062080_0210#0,"""Хаа!"""
st_062080_0220#0,"""Гх...хух..."""
st_062080_0230#0,"""〔Ты в порядке?!〕"""
st_062080_0240#0,"""Ах вы ж!.."""
st_062080_0250#0,"""Ха-ха... Ха-ха...<br>Это наша последняя надежда!..<br>Я не позволю вам так легко<br>забрать её у нас!"""
st_062080_0260#0,"""Хааааа!"""
st_062080_0265#0,"""Гх!.."""
st_062080_0270#0,"""Не...мешайтесь!.."""
st_062080_0275#0,"""Ха!..Ха!.."""
st_062080_0280#0,"""Гх!.."""
st_062080_0285#0,"""Нееет!"""
st_062080_0290#0,"""А...ааа...Как же!.."""
st_062080_0300#0,"""〔Как же теперь...〕"""
st_062080_0310#0,"""Прости... Прости меня!..<br>Я...Я не смогла защитить!.."""
st_062080_0320#0,"""Я старалась...<br>Старалась изо всех сил...<br>И когда уже подумала,<br>что близко... не смогла."""
st_062080_0330#0,"""Я хотела спасти Сяо... но!..<br>Я... Я!.."""
st_062080_0340#0,"""Это ещё не конец!"""
st_062080_0350#0,"""Сяо все ещё жив!"""
st_062080_0360#0,"""Сяо всё ещё...<br>во мне..."""
st_062080_0370#0,"""Верно, он в моём сердце!"""
st_062080_0380#0,"""А значит, суть всего творения...<br>в моём... сердце!"""
