st_062070_0001#0,"""A.P.242/2/26/16:00"""
st_062070_0010#0,"""〔Здесь〕<br>〔место, где спит Кашина.〕"""
st_062070_0020#0,"""Ты назвал это гробницей?..<br>Но, это же..."""
st_062070_0030#0,"""...<%me>.<br>Ты же знаешь<br>это ощущение..."""
st_062070_0040#0,"""Напоминает материнский корабль"""
st_062070_0050#0,"""Напоминает Сион"""
st_062070_0060#0,"""Если Кашин был создан как<br>имитация Сион, это вполне<br>естественно."""
st_062070_0070#0,"""Значит структура должна быть<br>аналогичной. Основная часть...<br>там."""
st_062070_0080#0,"""Теперь Сяо..."""
st_062070_0090#0,"""Ааа!"""
st_062070_0100#0,"""Сара!"""
st_062070_0110#0,"""Я собирался покончить одним<br>ударом, но, похоже, ты что-то<br>почувствовала в самый последний<br>момент."""
st_062070_0120#0,"""Это биение сердца внутри тебя.<br>Конечно же, ты, похоже, сильно<br>отличаешься от других ARKS."""
st_062070_0130#0,"""Варуна!.."""
st_062070_0140#0,"""Как ты здесь..."""
st_062070_0150#0,"""Моя госпожа попросила<br>преследовать вас."""
st_062070_0160#0,"""Вы как-то странно передвигались,<br>так что мне было разрешено<br>выждать... Судя по всему,<br>я не ошибся."""
st_062070_0170#0,"""Это место важно для вашего<br>контрнаступления, не так ли?"""
st_062070_0180#0,"""Тогда, его можно<br>уничтожить."""
st_062070_0190#0,"""Прекра!..."""
st_062070_0200#0,"""Как...же..."""
st_062070_0210#0,"""Хм?.."""
st_062070_0220#0,"""Ты совершил большую ошибку,<br>решив, что всё идёт согласно<br>твоим желаниям!"""
st_062070_0230#0,"""К-кларискрейс?!<br>Почему ты здесь?!.."""
st_062070_0240#0,"""Хьюи отправил меня!<br>Сказал идти тебе на помощь!"""
st_062070_0250#0,"""Отследить сигнал фотонёра<br>нельзя, но можно отследить<br>сигнал ARKS и перенестись<br>на место!"""
st_062070_0260#0,"""...Ясно.<br>Однако, что может сделать<br>ещё одна пылинка?"""
st_062070_0270#0,"""Фм! Не стоит слишком<br>недооценивать меня,<br>фотонёр!"""
st_062070_0280#0,"""К-кларискрейсочка!<br>Ты слишком безрассудна!<br>Успокойся!"""
st_062070_0290#0,"""Ничего страшного,<br>предшественница, я как удав!"""
st_062070_0300#0,"""Раз не понятно, что делает<br>твой противник, то можно<br>подорвать всё вокруг!"""
st_062070_0310#0,"""...Аггресивно, но эффективно.<br>Разве что проблемой может<br>стать затяжной бой."""
st_062070_0320#0,"""Неприятно признавать, но он<br>прав. Временное превосходство<br>долго не продержится."""
st_062070_0330#0,"""Сара, мы выиграем тебе время.<br>А ты беги и разбуди Сяо."""
st_062070_0340#0,"""...Я поняла.<br>Рера, веди."""
st_062070_0350#0,"""〔Сюда!〕"""
st_062070_0360#0,"""....Тщетная попытка."""
line01#0,"""Сохранён прогресс по эту часть квеста."""
