un_062120_0010#0,"""Ну и ну, <%me>.<br>Сяо же вернулся?<br>Хорошо же."""
un_062120_0020#0,"""И благодаря старейшине<br>драгонкинов, его рассчётная<br>мощность даже больше, чем<br>раньше."""
un_062120_0030#0,"""Теперь, в какой-то мере, мы<br>можем посоревноваться<br>с фотонёрами."""
un_062120_0040#0,"""Но даже если мы можем<br>соревноваться в информационной<br>войне, мы ничего не можем<br>сделать Шиве."""
un_062120_0050#0,"""И на чьей же ты стороне?..<br>Ну, даже исходя из того, что<br>я слышала о ней, это довольно<br>невероятно."""
un_062120_0060#0,"""К тому же, нам не только с Шивой<br>иметь дело, но и с двумя её<br>последователями...<br>Да кто же они такие?"""
un_062120_0070#0,"""Аа, ну...<br>знаешь ли..."""
un_062120_0080#0,"""Хм? Аврора?<br>Ты что-то знаешь?"""
un_062120_0090#0,"""...Ну да.<br>Эта пара похожа<br>на жертв фотонёров."""
un_062120_0100#0,"""Жертв?.."""
un_062120_0110#0,"""Да, в начале был один сосуд.<br>Совершенный сосуд,<br>предназначенный для содержания<br>фотонов."""
un_062120_0120#0,"""Сосуд обладал некоторыми<br>знаниями. Для поддержания<br>сосуда с такими знаниями...<br>было создано два бога."""
un_062120_0130#0,"""Это были...<br>\""Богиня Лжи, Митора\"" и<br>\""Бог Чести, Варуна\""."""
un_062120_0140#0,"""Варуна, говоришь?..<br>Вроде как..."""
un_062120_0150#0,"""Вспомнила! Точно...<br>Когда нас призвали в Омегу,<br>там же был этот Варуна!"""
un_062120_0160#0,"""Ты тогда тоже была там, но...<br>не заметила?"""
un_062120_0170#0,"""Тогда я была чем-то озабочена,<br>и я не запоминаю лиц<br>каждого парня."""
un_062120_0180#0,"""Но, наверное, он меня узнал.<br>Хотя я была в другой форме."""
un_062120_0190#0,"""Сейчас, когда ты упомянула, его<br>не было, когда мы уезжали<br>в королевскую столицу Эпик<br>из южной крепости."""
un_062120_0200#0,"""Он казался из тех, кто никогда<br>не покидает сторону принцессы,<br>но сказал, что у него есть дела<br>в другом месте, и ушёл.<br>Должно быть, это произошло<br>потому, что ты была там."""
un_062120_0205#0,"""Возвращаясь к истории,<br>эти трое были созданы<br>одновременно с последним<br>клоном Хроники Акаши...<br>Тогда родилась [Глубокая Тьма]."""
un_062120_0210#0,"""Итак, в качестве последней<br>попытки, знания были удалены<br>из \""Высшего Сосуда\"", а сам<br>сосуд стал [Глубокой Тьмой]"""
un_062120_0220#0,"""В троём вместе с<br>\""Богиней Лжи, Миторой\"" и <br>\""Богом Чести, Варуной\"",<br>они были очень близки, и всех<br>их бросили в подпространство."""
un_062120_0230#0,"""...Фотонёры создали их из<br>прихоти и также небрежно<br>выбросили.<br>Это делает этих детей...<br>жертвами."""
un_062120_0240#0,"""Однако... Мы не фотонёры.<br>Им незачем с нами сражаться."""
un_062120_0250#0,"""Да. Я понимаю откуда всё пришло,<br>но я не собираюсь им<br>сочувствовать."""
un_062120_0260#0,"""Так что, <%me>!<br>Отдубасить их или нет,<br>решать лишь тебе!"""
