name01#0,"""프로스티"""
text00#0,"""의뢰품, 확인했습니다.<br>협력에 감사드립니다."""
text01#0,"""의뢰품, 확인.<br>노고에 감사드립니다."""
text02#0,"""납품 확인.<br>의뢰 완료입니다."""
text03#0,"""성과, 확인했습니다.<br>감사드립니다."""
text04#0,"""납품, 확인했습니다.<br>도움에 진심으로 감사드립니다."""
text05#0,"""의뢰품, 확인.<br>감사를 표합니다."""
text06#0,"""의뢰품, 확인했습니다.<br>도움에 감사드립니다."""
text07#0,"""납품에 감사드립니다.<br>다음에도 잘 부탁드립니다."""
text08#0,"""의뢰 달성으로 인식.<br>협력에 감사드립니다."""
text09#0,"""납품 확인.<br>의뢰 달성으로 인식합니다."""
text00#1,"""의뢰품, 예상 이상으로 인식.<br>감사드립니다."""
text01#1,"""의뢰품, 확인.<br>예상 이상으로 판단합니다.<br>협력에 감사드립니다."""
text02#1,"""납품 확인.<br>걸작으로 판정.<br>노고에 감사드립니다."""
text03#1,"""성과, 확인했습니다.<br>예상 밖의 일품으로 인식.<br>노고에 감사드립니다."""
text04#1,"""납품, 확인했습니다.<br>최고의 물건으로 인식합니다.<br>도움에 진심으로 감사드립니다."""
text05#1,"""의뢰품, 확인.<br>일급품으로 인식.<br>감사를 표합니다."""
text06#1,"""의뢰품, 일급품으로 인식.<br>더없이 기쁘게 생각합니다."""
text07#1,"""좋은 작품으로 인식.<br>감사드립니다.<br>다음에도 잘 부탁드립니다."""
text08#1,"""의뢰품, 회수.<br>예상 이상의 작품으로 인식.<br>도움에 깊이 감사드립니다."""
text09#1,"""납품품, 회수.<br>기대치 이상의 완성도로 판단.<br>노고에 깊이 감사드립니다."""
