name01#0,"""키파스"""
text00#0,"""오, 다 됐군!<br>다음에도 잘 부탁해."""
text01#0,"""수고했어.<br>도움됐어."""
text02#0,"""여어, 수고했어.<br>정말 고맙다."""
text03#0,"""문제없이 잘됐네.<br>또 부탁할게!"""
text04#0,"""고맙다.<br>정말 도움됐어."""
text05#0,"""왔군, 왔어.<br>수고했어, 신세 졌다."""
text06#0,"""괜찮은 것 같은데?<br>다음에도 부탁할게."""
text07#0,"""잘 만들었어, 고맙다.<br>다음에도 부탁하지."""
text08#0,"""확실히 받았어.<br>미안했군."""
text09#0,"""오, 기다리고 있었어.<br>도움됐어, 고맙다."""
text00#1,"""좋네!<br>열심히 했잖아!<br>도움됐어, 고맙다."""
text01#1,"""오오, 잘 만들었네.<br>대단한데!<br>고맙다."""
text02#1,"""이게 바로 수작이군!<br>고맙다.<br>다음에도 잘 부탁해."""
text03#1,"""헤에, 잘 만들었네.<br>기대 이상이었어.<br>또 부탁할게."""
text04#1,"""느낌 좋은데!<br>이야, 정말 도움됐어.<br>다음에도 잘 부탁해, 고맙다."""
text05#1,"""굉장한데.<br>이거 잘 만들었어.<br>수고했어!"""
text06#1,"""도움됐어!<br>정말 예상 이상이야.<br>다음에도 꼭 잘 부탁해!"""
text07#1,"""이게 바로 최고라는 거군.<br>빈말이 아니라 정말 좋아!<br>다음에도 꼭 부탁할게."""
text08#1,"""이렇게 좋은 물건이 되다니!<br>이야, 최고야.<br>너한테 감사하고 있어."""
text09#1,"""훌륭한 완성도네.<br>부탁한 것 이상이야, 이거!<br>정말 신세 졌어."""
