name01#0,"""위티아"""
text00#0,"""고마워어!<br>도움됐어."""
text01#0,"""오케이, 오케이!<br>다음에도 부탁해."""
text02#0,"""다 됐구나!<br>고마워, 고마워!"""
text03#0,"""좋아, 좋아, 기다렸어!<br>고마워!"""
text04#0,"""응응, 수고했어!<br>정말 고마워!"""
text05#0,"""잘됐네, 아주 잘됐어!<br>다음에도 부탁해!"""
text06#0,"""수고했어!<br>응응, 고마워!"""
text07#0,"""기다렸어!<br>좋아, 좋아, 잘됐네!"""
text08#0,"""잘했어, 잘했어!<br>고마워."""
text09#0,"""수고했어, 수고했어!<br>의뢰한 그대로야, 고마워!"""
text00#1,"""굉장해, 굉장해!<br>부탁한 것보다 느낌이 좋아!<br>고마워어!"""
text01#1,"""와우!\u3000솜씨 좋은데!<br>맡기길 잘했어!<br>다음에도 꼭 부탁해."""
text02#1,"""좋네, 좋아!<br>최고야!<br>고마워."""
text03#1,"""멋져!<br>굉장해, 굉장해.<br>다음에도 부탁해!"""
text04#1,"""열심히 했네, 장하다!<br>도움됐어!<br>다음에도 부탁해!"""
text05#1,"""어라, 어라!<br>굉장한데, 멋져!<br>부탁하길 잘했어!"""
text06#1,"""뭐어!?<br>느낌 좋아, 좋아!<br>원한 것 이상이야."""
text07#1,"""오오!?<br>굉장해, 굉장해!<br>정말 고마워!"""
text08#1,"""와후!<br>이렇게 잘되다니!<br>최고야!"""
text09#1,"""걸작, 걸작이야!<br>고마워!<br>정말 도움됐어!"""
