name01#0,"""재스퍼"""
text00#0,"""음, 잘 만들었군.<br>감사를 표하지."""
text01#0,"""잘 마무리됐군.<br>다음에도 부탁하마."""
text02#0,"""음, 훌륭하다.<br>진심으로 감사한다."""
text03#0,"""잘 가져왔구나.<br>그대에게 감사하고 있다."""
text04#0,"""오, 다 됐나.<br>잘 마무리됐군. 감사한다."""
text05#0,"""음, 잘 만들었군.<br>고맙다."""
text06#0,"""훌륭한 물건이다.<br>실로 고마운 일이군."""
text07#0,"""확실히 받았다.<br>감사를 표하지."""
text08#0,"""훌륭한 솜씨다.<br>진심으로 감사한다."""
text09#0,"""좋은 물건이군.<br>고맙다. 다음에도 부탁하지."""
text00#1,"""훌륭한 완성도다.<br>더없이 감사한다."""
text01#1,"""훌륭하게 만들었군.<br>다음에도 부탁하마."""
text02#1,"""음, 더없이 잘 만들어졌군.<br>감사를 다 표현할 수 없구나."""
text03#1,"""당당한 완성도다.<br>앞으로의 활약도 기대하지."""
text04#1,"""신묘한 기술이란 이런 것이군.<br>참으로 훌륭하게 만들었다.<br>감사를 표하지."""
text05#1,"""정성을 다한 게 보이는 물건이다.<br>감사를 다 표현할 수 없군.<br>고맙다."""
text06#1,"""온 힘을 다해 만든 일품이군.<br>실로 고맙다."""
text07#1,"""주옥같은 일품이란 바로 이것이군.<br>훌륭하다고 할 만하다.<br>더없이 기쁘다."""
text08#1,"""오, 이거야말로 일품이군.<br>노고에 감사하지."""
text09#1,"""실로 훌륭한 솜씨다.<br>주옥같은 일품이란 바로 이것이군.<br>감사를 다 표현할 수 없구나."""
