name_7245#0,"""เซียมมี่"""
name_7224#0,"""ซิเตร"""
ssn_019100_002_0001#0,"""ย-ยินดีต้อนรับ... ขอบคุณมากที่มา ขอแนะนำตัวอีกครั้งนะ"""
ssn_019100_002_0002#0,"""ชื่อเซียมมี่ เป็นคนพัฒนาอุปกรณ์ใหม่ๆ อยู่ที่แผนกวิจัยและพัฒนาเทคโนโลยี"""
ssn_019100_002_0003#0,"""ซึ่งนำมาสู่คำขอในครั้งนี้..."""
ssn_019100_002_0004#0,"""ตอนนี้กำลังทดลองเพิ่มพลังของอาวุธอยู่... แต่มาถึงทางตันเพราะขาดวัตถุดิบน่ะ"""
ssn_019100_002_0005#0,"""เมื่อไม่นานมานี้ได้ยินเรื่องแร่ชนิดใหม่ที่เรียกว่า Greenillcite..."""
ssn_019100_002_0006#0,"""ดูเหมือนจะเป็นแร่ที่กลายพันธุ์มาจาก Tetracite"""
ssn_019100_002_0007#0,"""เขาว่ากันว่า... มันมีคุณค่าในฐานะวัตถุดิบมากกว่าแร่ทั่วไปเสียอีก"""
ssn_019100_002_0008#0,"""ดังนั้นเลยอยากจะทำการทดสอบพลังงาน Photon ของแร่นี้ดู"""
ssn_019100_002_0009#0,"""อ-และก็... เอ่อ... คิดว่าพอจะช่วยไปหามาให้หน่อยได้ไหม...?"""
ssn_019100_002_0010#0,"""อ้อ ช่างมันเถอะ ...เว้นแต่ว่า?"""
ssn_019100_002_1001#0,"""ย-ยินดีต้อนรับกลับมา... ขอ... ขอ Greenillcite ที่รวบรวมมาได้ไหม?"""
ssn_019100_002_1101#0,"""ข-ขอบคุณมากเลย"""
ssn_019100_002_1102#0,"""มันสวยจังเลยนะ บอกได้เลยว่ามันจะต้องใช้ได้ดีแน่ๆ... หึหึ ฮี่ฮี่ฮี่..."""
ssn_019100_002_1103#0,"""ได้เวลาทดสอบแล้ว... เอาล่ะนะ"""
ssn_019100_002_1104#0,"""ยอดเยี่ยม! มหัศจรรย์!"""
ssn_019100_002_1105#0,"""ดูนี่สิ! ผลลัพธ์นี้มันเหลือเชื่อจริงๆ!"""
ssn_019100_002_1106#0,"""...อา ขอโทษที ไม่ได้ตั้งใจจะ... ตื่นเต้นขนาดนี้"""
ssn_019100_002_1107#0,"""นั่น... ม-ไม่สมกับเป็นตัวเองเลย..."""
ssn_019100_002_1108#0,"""ค-คือตัวเลขพวกนี้... มันดีกว่าผลลัพธ์ครั้งก่อนๆ ถึงห้าสิบเปอร์เซ็นต์เลย... การพัฒนาหลังจากนี้น่าจะราบรื่นขึ้นแล้วล่ะ"""
