name_7009#0,"""오란제"""
msn_011064_001_0010#0,"""아 오셨군요.<br>저는 오란제."""
msn_011064_001_0020#0,"""그럼 바로 말씀드릴게요."""
msn_011064_001_0030#0,"""\""푸드 스탠드\""는<br>아직 사용한 적이… 없겠지요?"""
msn_011064_001_0040#0,"""아크스로서 싸우기 위해선<br>무기와 방어구도 필요하지만, 평소의 식사도 매우 중요합니다."""
msn_011064_001_0050#0,"""균형 잡힌 식사를 해서<br>보다 나은 컨디션으로 돌즈와 싸울 수 있어요."""
msn_011064_001_0060#0,"""그러려면 우선 식재료 모으기부터.<br>그래… 테임즈의 고기는 어떠려나?"""
msn_011064_001_0070#0,"""테임즈란 센트럴 시티 근처에 있는 얌전한 생물.<br>디안, 사니, 바트, 모벨이나 타우벨 같은 녀석들이 있어요."""
msn_011064_001_0080#0,"""대략적인 위치정보를 보낼 테니<br>그걸 이용해서 찾아보세요."""
msn_011064_001_0101#0,"""에아리오 타운에선 큰일이었네요.<br>그래도 무사해서 다행이에요."""
msn_011064_001_0102#0,"""우선은, 편히 쉬어주세요."""
msn_011064_001_0201#0,"""임무에 진지하게 임하는 것도 좋지만<br>너무 무리는 하지 않으시길."""
msn_011064_001_0202#0,"""만약의 경우,<br>스스로의 안전을 최우선으로 생각해 주세요."""
