name_7429#0,"""Cristobal"""
ssn_015030_0001_001#0,"""ทำได้ดีมาก ขอขอบคุณจากใจจริงเลย"""
ssn_015030_0001_002#0,"""เราติดค้างเธอไว้มากเลยล่ะ อยากจะขอขอบคุณอีกครั้งสำหรับความช่วยเหลือทั้งหมดที่มอบให้จนถึงตอนนี้นะ"""
ssn_015030_0001_003#0,"""เราอาจจะยังไม่มีอะไรให้มากนัก แต่ก็สามารถใช้แคมป์ของเราต่อไปได้ตามสบายเลยนะ"""
ssn_015030_0001_004#0,"""ภารกิจบังคับให้เราต้องอยู่ใน Kvaris ไปอีกระยะหนึ่งน่ะ"""
ssn_015030_0001_005#0,"""แวะมาได้ตลอดเวลาเลยนะถ้าอยู่แถวนี้ ยินดีต้อนรับเสมอ"""
ssn_015030_0001_006#0,"""หวังว่าจะคอยช่วยเหลือเราต่อไปนะ"""
ssn_015030_0001_007#0,"""เธอคือ ARKS ในอุดมคติเลยล่ะ"""
ssn_015030_0001_008#0,"""ใช้แคมป์นี้ได้ตามสบายเลย พึ่งพาพวกเราได้ เหมือนกับที่เราพึ่งพาเธอนั่นแหละ"""
ssn_015030_0001_009#0,"""เป็น ARKS ที่กล้าหาญและน่ายกย่องมาก"""
ssn_015030_0001_010#0,"""เฮ้ ได้ยินว่าสามารถตามหา Ilma จนพบได้อย่างปลอดภัยสินะ"""
ssn_015030_0001_011#0,"""ข้อมูลที่ Ilma นำมาด้วยก็มาถึงหูเราแล้วเหมือนกัน"""
ssn_015030_0001_012#0,"""ดูเหมือนเราจะต้องเตรียมการหลายๆ อย่างด้วยตัวเองแล้วล่ะ"""
ssn_015030_0001_013#0,"""อย่างไรก็ตาม ก่อนอื่นเราต้องมุ่งเน้นไปที่การระดมทุนที่จำเป็นก่อน"""
ssn_015030_0001_014#0,"""เพราะงั้น! เราเลยจัดตั้งโครงการฝึกอบรมภาคสมัครใจภายในกองกำลังอิสระขึ้นมา"""
ssn_015030_0001_015#0,"""มันโหดกว่าภารกิจปกติมาก และมีเป้าหมายที่ความยากสูงกว่าด้วย"""
ssn_015030_0001_016#0,"""คิดว่าไงล่ะ สนใจไหม? ส่วนตัวฉันคิดว่ามันน่าจะเป็นประสบการณ์ที่มีค่ามากสำหรับเธอเลยนะ"""
ssn_015030_0001#0,"""เฮ้ ได้ยินว่าสามารถตามหา Ilma จนพบได้อย่างปลอดภัยสินะ"""
ssn_015030_0002#0,"""ข้อมูลที่ Ilma นำมาด้วยก็มาถึงหูเราแล้วเหมือนกัน"""
ssn_015030_0003#0,"""ดูเหมือนเราจะต้องเตรียมการหลายๆ อย่างด้วยตัวเองแล้วล่ะ"""
ssn_015030_0004#0,"""อย่างไรก็ตาม ก่อนอื่นเราต้องมุ่งเน้นไปที่การระดมทุนที่จำเป็นก่อน"""
ssn_015030_0005#0,"""เพราะงั้น! เราเลยจัดตั้งโครงการฝึกอบรมภาคสมัครใจภายในกองกำลังอิสระขึ้นมา"""
ssn_015030_0006#0,"""มันโหดกว่าภารกิจปกติมาก และมีเป้าหมายที่ความยากสูงกว่าด้วย"""
ssn_015030_0007#0,"""คิดว่าไงล่ะ สนใจไหม? ส่วนตัวฉันคิดว่ามันน่าจะเป็นประสบการณ์ที่มีค่ามากสำหรับเธอเลยนะ"""
ssn_015030_0101#0,"""มันต้องเป็นการต่อสู้ที่เหน็ดเหนื่อยแน่ๆ แต่ฉันมั่นใจว่าเธอมีสิ่งนั้นอยู่ในตัวนะ"""
ssn_015030_0102#0,"""จะรอฟังข่าวดีนะ"""
ssn_015030_0201#0,"""อา น่าเสียดายจัง"""
