name_7429#0,"""Cristobal"""
ssn_014870_0001_001#0,"""ทำได้เยี่ยมเลย เดี๋ยวจะรีบตรวจสอบดูนะ"""
ssn_014870_0001_002#0,"""...เอาล่ะ ดูเรียบร้อยดี"""
ssn_014870_0001_003#0,"""เราต้องการแค่ข้อมูล เพราะงั้นของที่รวบรวมมาสามารถเก็บไว้ได้เลยนะ"""
ssn_014870_0001_004#0,"""คิดว่าไงล่ะ? ไม่ใช่งานง่ายๆ เลยใช่ไหม?"""
ssn_014870_0001_005#0,"""มันเป็นภารกิจของเราที่ต้องทำเรื่องแบบนี้ซ้ำแล้วซ้ำเล่า"""
ssn_014870_0001_006#0,"""มันจะรวดเร็วกว่านี้มากถ้าเรามีรถบรรทุกขนส่ง และคนมากกว่านี้สำหรับภารกิจนี้"""
ssn_014870_0001_007#0,"""แต่ไม่มีทางที่พวกเขาจะมีรถบรรทุกเหลือให้สำหรับกลุ่มเล็กๆ อย่างเราหรอก"""
ssn_014870_0001_008#0,"""สิ่งที่เราทำได้ก็คือก้าวไปข้างหน้าด้วยสองขาของตัวเอง"""
ssn_014870_0001_009#0,"""ยังไงก็เถอะ ขอบคุณที่ช่วยเหลือนะ"""
ssn_014870_0001_010#0,"""ถ้ามีอะไรเดี๋ยวจะติดต่อไปนะ หวังว่าจะพึ่งพาได้อีกนะ"""
ssn_014870_0001_011#0,"""ถ้ามีคนที่ขยันขันแข็งอย่างคุณอยู่ในทีม อะไรๆ คงจะง่ายขึ้นเยอะเลย"""
ssn_014870_0001_012#0,"""แต่บ่นไปก็ช่วยอะไรไม่ได้ ต้องทำทุกอย่างเท่าที่ทำได้ในฐานะหัวหน้าน่ะนะ"""
ssn_014870_0001#0,"""เฮ้ ได้ยินเรื่องผลงานของเธอที่นี่แล้วนะ"""
ssn_014870_0002#0,"""ดูเหมือนจะปรับตัวเข้ากับภูมิภาคนี้ได้แล้ว และคุ้นเคยกับงานทุกประเภทที่เราทำอยู่แถวนี้แล้วสินะ"""
ssn_014870_0003#0,"""ภารกิจของเรากำลังไปได้สวย เรากำลังค่อยๆ ขยายขอบเขตของสิ่งต่างๆ ด้วย"""
ssn_014870_0004#0,"""ถึงแม้เราจะขาดแคลนคนอยู่เสมอ คิดว่าคงไม่มีทางตามงานได้ทันหรอก"""
ssn_014870_0005#0,"""ว่าไงล่ะ? สนใจจะมาช่วยกันอีกสักครั้งไหม"""
ssn_014870_0006#0,"""ช่วยแสดงให้เห็นหน่อยว่าเรียนรู้อะไรมาบ้างที่นี่ จะช่วยเราได้มากเลยล่ะ"""
ssn_014870_0101#0,"""พื้นที่ส่วนกลางของ Kvaris เต็มไปด้วยศัตรูที่แข็งแกร่งกว่าทางตอนใต้มาก"""
ssn_014870_0102#0,"""ระวังตัวด้วยล่ะ"""
ssn_014870_0201#0,"""ไม่เป็นไร ไม่ต้องห่วงนะ ถ้าเปลี่ยนใจก็กลับมาได้เสมอ"""
ssn_014870_0301#0,"""ทำได้เยี่ยมเลย"""
ssn_014870_0302#0,"""ได้ดูวิธีการต่อสู้ผ่านทาง Mag แล้ว มันยอดเยี่ยมมากเลยล่ะ"""
ssn_014870_0303#0,"""ไม่ค่อยมี ARKS ที่สามารถต่อสู้ได้ดีขนาดนี้หรอกนะ"""
ssn_014870_0304#0,"""Kvaris อาจทำให้แข็งแกร่งขึ้นไปอีก"""
ssn_014870_0305#0,"""ทำให้คิดถึงเขาเลย..."""
ssn_014870_0306#0,"""อา ขอโทษที แค่พึมพำกับตัวเองน่ะ"""
ssn_014870_0307#0,"""พอมองดูเธอแล้ว ก็นึกถึงอดีตขึ้นมาเลย ตอนที่ฉันยังหนุ่มน่ะ"""
ssn_014870_0308#0,"""หึ ตอนนี้ฟังดูเหมือนคนแก่ที่กำลังโหยหาอดีตเลย ฉันยังเป็น ARKS ที่กำลังอยู่ในช่วงที่แข็งแกร่งที่สุดนะ"""
ssn_014870_0309#0,"""ยังไงก็เถอะ ขอบคุณอีกครั้งสำหรับความช่วยเหลือน่ะ หวังว่าจะยังคงช่วยเราต่อไปนะ"""
ssn_014870_1001#0,"""เป็นไงบ้าง? เริ่มคิดถึงบ้านแล้วหรือยัง?"""
ssn_014870_1002#0,"""สมาชิกทุกคนที่มาจาก Retem ต่างก็บ่นว่าคิดถึงทะเลทรายกันทั้งนั้นแหละ"""
ssn_014870_1003#0,"""เธอน่าจะกลับไปที่ Aelio บ้างและพักผ่อนซะหน่อยนะ"""
ssn_014870_1004#0,"""แต่เอ่อ ไม่เกี่ยวกันหรอกนะ... ว่าไงล่ะ สนใจจะช่วยเราเพิ่มอีกหน่อยไหม?"""
ssn_014870_1005#0,"""ตอนนี้เรากำลังจะเริ่มการเดินทางไปยังพื้นที่ตอนเหนือของ Kvaris แล้ว เราต้องการคนช่วยให้มากที่สุดเท่าที่จะหาได้เลย"""
ssn_014870_1101#0,"""ยิ่งเราขยายการปฏิบัติงานมากเท่าไหร่ มันก็ยิ่งทำงานให้เสร็จได้ยากขึ้นเท่านั้น เป็นปัญหาใหญ่เลยล่ะ"""
ssn_014870_1102#0,"""เราฝากความหวังไว้ที่เธอเลยนะ ส่งรายละเอียดไปที่ Mag ให้แล้ว"""
ssn_014870_1201#0,"""อา สงสัยจะยุ่งอยู่สินะ ไว้คราวหน้าละกัน"""
ssn_014870_1301#0,"""ทำได้เยี่ยมเลย เดี๋ยวจะรวบรวมข้อมูลให้นะ"""
ssn_014870_1302#0,"""...ทุกอย่างเรียบร้อยดี"""
ssn_014870_1303#0,"""ไม่ผิดหวังเลยสำหรับ ARKS ที่รอดชีวิตจากการโจมตีของ DOLLS ที่ Aelio Town สมบูรณ์แบบมาก"""
ssn_014870_1304#0,"""หืม? ทำไมถึงตกใจล่ะ? ไม่รู้เหรอว่าฉันรู้?"""
ssn_014870_1305#0,"""อาจจะไม่รู้ตัว แต่เธอดังมากเลยนะในหมู่ ARKS น่ะ"""
ssn_014870_1306#0,"""ทุกคนต่างก็ยกย่องความกล้าหาญในการต่อสู้ และความสำเร็จทั้งหมดที่ทำไว้ ฉันแค่อยากเห็นว่าข่าวลือมันจริงแค่ไหนน่ะ"""
ssn_014870_1307#0,"""บอกตามตรง ฉันทดสอบเธอด้วยภารกิจพวกนั้นแหละ"""
ssn_014870_1308#0,"""แต่หลังจากที่ได้เห็นผลงานที่ทำได้แล้ว ก็ไม่มีความสงสัยอะไรหลงเหลืออยู่ในใจอีกต่อไป"""
ssn_014870_1309#0,"""เธอเป็น ARKS ที่ยอดเยี่ยมกว่าที่ข่าวลือบอกไว้ซะอีก"""
ssn_014870_1310#0,"""หวังว่าจะคอยช่วยเหลือเราที่นี่ต่อไปนะ ขอบคุณสำหรับทุกความช่วยเหลือเลย"""
ssn_014870_2001#0,"""คนที่อยากเจอพอดีเลย ทุกอย่างกำลังวุ่นวายไปหมด พอจะช่วยอีกสักครั้งได้ไหม?"""
ssn_014870_2002#0,"""คราวนี้จะต่างไปจากครั้งก่อนหน่อยนะ ฉันจนปัญญาแล้วจริงๆ"""
ssn_014870_2003#0,"""มันไม่ง่ายหรอก แต่ถ้าช่วยได้ จะเป็นพระคุณอย่างยิ่งเลยล่ะ"""
ssn_014870_2101#0,"""อยากจะไปเองนะ แต่ทิ้งแคมป์ไปไหนไม่ได้เลย"""
ssn_014870_2102#0,"""ขอโทษที่ต้องให้มารับภาระนี้นะ แต่เชื่อใจเธอนะ"""
ssn_014870_2201#0,"""เข้าใจล่ะ... คงจะมีเหตุผลของตัวเองสินะ"""
