name_7429#0,"""Cristobal"""
ssn_014700_0001#0,"""ไม่ใช่เรื่องง่ายเลยนะที่จะเอาชีวิตรอดในสถานที่แบบนี้"""
ssn_014700_0002#0,"""ทุกคนต้องร่วมมือกันและช่วยเหลือกัน"""
ssn_014700_0101#0,"""ยินดีต้อนรับสู่แคมป์กองหน้าของ Kvaris ฉันคือหัวหน้ากองกำลัง ชื่อ Cristobal"""
ssn_014700_0102#0,"""เราได้รับข่าวการมาถึงแล้ว อาจจะไม่มีอะไรให้มากนัก แต่ตามสบายเลยนะ ใช้สิ่งอำนวยความสะดวกของเราได้เต็มที่"""
ssn_014700_0103#0,"""แต่มีบางอย่างอยากให้ช่วยจัดการหน่อย ถ้าพอจะมีเวลา"""
ssn_014700_0104#0,"""ยินดีจะช่วยหรือเปล่า?"""
ssn_014700_0201#0,"""ถ้าปล่อยให้มอนสเตอร์อันตรายพวกนี้เดินเพ่นพ่านไปมา ก็ไม่รู้ว่าจะเกิดอะไรขึ้นบ้าง"""
ssn_014700_0202#0,"""ถ้าบังเอิญเจอเข้าล่ะก็ ช่วยจัดการให้เร็วที่สุดเลยนะ"""
ssn_014700_0301#0,"""เข้าใจล่ะ... แต่ยังไงก็ยังยินดีให้พักที่นี่นะถ้าต้องการ ไม่ต้องห่วง ไม่ได้จะไล่ออกไปหรอกนะ"""
ssn_014700_0401#0,"""ทำงานได้เร็วดีนี่ ดูออกเลยว่าเป็น ARKS ที่ยอดเยี่ยมคนนึงเลย"""
ssn_014700_0402#0,"""ทีมสำรวจของเราประกอบด้วยสมาชิกจากทั้ง Aelio และ Retem"""
ssn_014700_0403#0,"""มันถูกตั้งขึ้นมาแบบค่อนข้างเร่งด่วน เลยทำให้ที่นี่ขาดแคลนคนอยู่เสมอ"""
ssn_014700_0404#0,"""ถ้ามี ARKS ที่เก่งๆ อยู่ด้วย เราก็อาจจะทำงานสำเร็จลุล่วงได้บ้าง"""
ssn_014700_0405#0,"""ถ้าเห็นใครในทีมที่ต้องการความช่วยเหลือ คิดว่าจะพอช่วยพวกเขาได้ไหม?"""
ssn_014700_0406#0,"""ยังมีอีกหลายอย่างเกี่ยวกับที่นี่ที่เรายังไม่รู้ ทำไมเราไม่คอยช่วยเหลือซึ่งกันและกันล่ะ?"""
ssn_014700_0407#0,"""อย่างที่บอกไปก่อนหน้านี้ แคมป์เปิดอยู่เสมอ สามารถใช้ทุกอย่างที่จำเป็นได้ตามสบายเลยนะ"""
ssn_014700_0408#0,"""หวังว่าจะได้ร่วมงานด้วยกันอีกนะ"""
ssn_014700_1001#0,"""เฮ้ เป็นไงบ้าง? เริ่มคุ้นชินกับที่ Kvaris หรือยัง?"""
ssn_014700_1002#0,"""การสำรวจของเรากำลังดำเนินไปได้ด้วยดี เฮ้ ทำไมไม่มาร่วมด้วยล่ะ?"""
ssn_014700_1003#0,"""น่าจะเป็นการเปลี่ยนบรรยากาศที่ดีนะ ที่จะได้เข้าถึง Kvaris จากมุมมองที่ต่างออกไปบ้าง"""
ssn_014700_1004#0,"""นี่เป็นโอกาสดีเลยที่จะได้เรียนรู้ทุกอย่างเกี่ยวกับภารกิจของเรา"""
ssn_014700_1101#0,"""อาจจะเป็นแค่การรวบรวมไอเทม แต่มันไม่ง่ายอย่างที่คิดนะ ต้องแสดงให้เห็นแล้วล่ะว่าสามารถทำอะไรได้บ้าง"""
ssn_014700_1102#0,"""ส่งพิกัดและจำนวนไอเทมไปที่ Mag ให้แล้ว ขอให้โชคดีนะ"""
ssn_014700_1201#0,"""สงสัยคงจะยุ่งอยู่สินะ ไว้คราวหน้าถ้าว่างก็แวะมาหาได้เสมอ"""
