linewindow#0,"""<br>『フォトンアーツ／テクニックディスク』について<br>"""
text00#0,"""『フォトンアーツ／テクニックディスク』について"""
text01#0,"""フォトンアーツ／テクニックディスクの習得について、説明します。<br><br>フォトンアーツ及びテクニックは、初期に登録されているもの以外は<br>「ディスク」を「習得」することで使用できるようになります。"""
text02#0,"""First, select the Photon Arts/Technique Disk you want to learn from your Inventory, then select 'use', and you will be able to learn them."""
text03#0,"""After you learned it, go back to the main menu and select 'Equip Weapon'.<br><br>Select an empty PA/Tech slot on your weapon, then select what PA or Tech you want to use."""
text04#0,"""Once you've done this, make sure to choose ones that you have already learn from the list of available Photon Arts and Techniques."""
11_voice_NPC_5003_104#0,"""フォトンアーツってさ、習得しただけで<br>使えるようになると思ってたら<br>大間違いなんだよな。"""
text102#0,"""武器パレットにセッティングして<br>ようやく使えるようになるって<br>ついこの前まで知らなかったんだよ。"""
text103#0,"""いやあ、あの時は赤っ恥かいたぜ……<br>まあ、恥は掻き捨て。間違えた方が<br>覚えるからいいんだけどさ。"""
text104#0,"""相棒、お前は大丈夫か？<br>覚えただけで満足してたりしないよな？"""
text105#0,"""……なんだか話してたら<br>おれも気になってきた。ちょっと<br>武器パレットいじってみようぜ。"""
