TitleLogo_Enter#0,"""Druk enter toets"""
TitleLogo_Start#0,"""Druk start toets"""
TitleLogo_PS4#0,"""Druk een toets"""
TitleLogo_CopyRight#0,"""(C)SEGA"""
Title_IdSelect#0,"""Selecteer login ID"""
Title_IdSelect_v#0,"""Selecteer login ID"""
Title_Login#0,"""Schip Selectie"""
Title_StartMenuSelect#0,"""Start Menu（Huidig schip：$(0)）"""
Title_StartMenuSelect_Vita#0,"""Start Menu"""
Title_CharacterSelect#0,"""Karakter Selectie（Huidig schip：$(0)）"""
Title_CharacterSelect_Vita#0,"""Karakter Selectie"""
Title_CharacterMake#0,"""Karakter Creatie"""
Title_BenchmarkMenu#0,"""Maatstaf"""
Title_ShipList#0,"""Schip Lijst"""
Title_CharacterList#0,"""Karakter Lijst"""
Title_StartMenu#0,"""Start Menu"""
Title_FirstPlay#0,"""Voor nieuwe spelers"""
Title_RecommandShip#0,"""Start het spel voor de eerste keer"""
Title_IdSelect#1,"""<c f0df60>Log in Sega ID en start het spel. Om het e-mail adress to veranderen, etc, selecteer verander gebruiker informatie.<c>"""
Title_IdSelect_v#1,"""<c f0df60>ゲームの開始には[オンラインログイン]から“PlayStation Network”にサインインする必要があります。<c>"""
Title_Login#1,"""<c f0df60>Gelieve een schip te selecteren. Je SEGA ID is hetzelfde op PC, PlayStation®Vita, en PlayStation®4 versies van het spel.<c>"""
Title_Login_Hangame#0,"""<c f0df60>Gelieve schip naam te selecteren<c>"""
Title_ID#0,"""<c f0df60>PC版、PlayStation®Vita版、PlayStation®4版で同じSEGA IDを使用できます。<c>"""
Title_StartMenuSelect#1,"""<c f0df60>Selecteer een optie<c>"""
Title_CharacterSelect#1,"""<c f0df60>Selecteer een karakter<c>"""
Title_CharacterMake#1,"""<c f0df60>Selecteer een optie<c>"""
Title_BenchmarkMenu#1,"""<c f0df60>Selecteer een optie<c>"""
Connecting#0,"""<c f0df60>Geduld Alstublieft<c>"""
IpEdit#0,"""接続先のIPアドレスを入力してください"""
Disconnect#0,"""Server verbinding time out"""
PSN_Connect_Error#0,"""“PlayStation Network”に接続することが<br>できませんでした。<br>時間をおいて、再度お試しください。<br>状況が改善されない場合は、<br>ファンタシースターオンライン2プレイヤーズサイト、<br>または、プレイステーション® オフィシャルサイトの<br>障害・メンテナンス情報をご確認ください。"""
UseAgreement_Title#0,"""Phantasy Star Online 2 - Gebruiksvoorwaarden"""
