Title#0,"""ダークブラストの基礎"""
Explanation#0,"""課題１：ダークブラストの使用<br>課題２：連続攻撃の使用<br>課題３：魔神壁の破壊<br>課題４：ダークネスウォールの使用<br>課題５：アルティメットインパクトの使用<br>課題６：実戦訓練"""
SimpleExplanation#0,"""Complete six tasks!"""
Training1#0,"""ダークブラストを使用する"""
Training2#0,"""通常攻撃の３段目をエネミーに当てる"""
Training2_1#0,"""通常攻撃の５段目をエネミーに当てる"""
Training3#0,"""ＰＡで魔神壁を破壊する"""
Training4#0,"""ダークネスウォールで攻撃を防ぐ"""
Training5#0,"""アルティメットインパクトを使用する"""
Training6#0,"""Defeat the Enemies"""
Retry_1#0,"""Task 1"""
Retry_2#0,"""Task 2"""
Retry_3#0,"""Task 3"""
Retry_4#0,"""Task 4"""
Retry_5#0,"""Task 5"""
Retry_6#0,"""Task 6"""
