name01#0,"""Xiera"""
text01#0,"""スキル「ダークネスウォール」は<br>エネミーの行動に影響を与える<br>特殊なスキルです。"""
text02#0,"""「ダークネスウォール」を使用すると<br><red>エネミーの注意を引き付けて<c><br>侵攻を遅らせる事ができちゃいます！"""
text101#0,"""課題４：<yellow>「ダークネスウォール」を使用して<br>エネミーの注意を引き付ける"""
train_title#0,"""課題４：<yellow>「ダークネスウォール」を使用して<br>エネミーの注意を引き付ける"""
tut_title#0,"""ダークネスウォールの使用について"""
text100#0,"""・<%SubPalette1>でダークネスウォールを発動"""
text101#1,"""・<%SubPaletteLeft><%SubPaletteRight>でサブパレット選択変更<br>・<%SubPalette>でダークネスウォールを発動"""
text100_v#0,"""・サブパレットから<br>\u3000ダークネスウォールを選択"""
tut_win_title#0,"""Darkness Wall"""
tut_win_text100#0,"""This explains the Dark Blast skill, <c ffff00>Darkness Wall<c>.<br><br>Darkness Wall is a skill that deploys a huge wall of Photons in front of you.<br><br>Enemies that approach the wall while it is deployed will be drawn to it."""
