name01#0,"""Pudding"""
11_voice_NPC_5082_104#0,"""<%me>さん。<br>装備管理官のプリンと申します。"""
text02#0,"""こうしてご連絡させていただいたのは<br>他でもありません。アークスの新たな<br>訓練用施設の案内のためです。"""
text03#0,"""これを、エクストリームクエストと<br>呼称しています。このクエストの<br>受注には専用パスが必要です。"""
text04#0,"""パスは私が管理しております。<br>アークス活動再開時に自動で受け取るか<br>お時間のある時に取りに来てください。"""
text05#0,"""では、今後とも<br>よろしくお願いいたします。"""
linewindow#0,"""<br>『エクストリームクエスト』について<br>"""
text00#0,"""Extreme Quests"""
text01#0,"""This will explain 'Extreme Quests'.<br><br>'Extreme Quests' are training programs prepared to give you the ability to achieve tasks under difficult circumstances.<br><br>You can use the Campship in the hangar of the ARKS Ship to get there.<br>Simply use the gate there to dive into VR Space.<br><br>In VR Space, several areas known as 'Stages' are set up in a row.<br>The stages expand at fixed intervals."""
text02#1,"""In order to start an Extreme Quest you need an Extreme Pass.<br><br>You can have Officer Pudding attach one Extreme Pass to your Account. <yellow>You can only get one pass every 22 hours.<c>"""
text03#1,"""エクストリームクエストでは倒したエネミーが<br>「<yellow>原石<c>」や「<yellow>欠片<c>」と呼ばれるアイテムを<br>ドロップする場合があります。<br><br>原石・欠片には種類があり、入手できる種類は<br>エクストリームクエストごとに異なります。<br><br>また、エネミーのドロップ以外にも<br>クエストの最終エリアをクリアすることで<br>大量に入手することができます。<br><br>原石と欠片はアークス・ロビーの魔石交換ショップで<br>強力な武器や防具と交換することができます。"""
