name01#0,"""Frosty"""
text00#0,"""依頼品、確認しました。<br>ご協力、感謝します。"""
text01#0,"""依頼品、確認。<br>ご尽力、感謝します。"""
text02#0,"""納品を確認。<br>依頼完了です。"""
text03#0,"""成果、確認しました。<br>感謝致します。"""
text04#0,"""納品、確認しました。<br>ご助力、誠に感謝します。"""
text05#0,"""依頼品、確認。<br>お礼、申し上げます。"""
text06#0,"""依頼品、確認いたしました。<br>ご助力、感謝申し上げます。"""
text07#0,"""納品、感謝申し上げます。<br>次回、宜しくお願いします。"""
text08#0,"""依頼達成と認識。<br>ご協力、感謝します。"""
text09#0,"""納品を確認。<br>依頼達成と、認識します。"""
text00#1,"""依頼品、想定以上と認識。<br>感謝いたします。"""
text01#1,"""依頼品、確認。<br>想定以上と判断します。<br>ご協力、感謝します。"""
text02#1,"""納品を確認。<br>傑作と判定。<br>ご尽力、感謝します。"""
text03#1,"""成果、確認しました。<br>想定外の逸品と認識。<br>ご尽力、感謝申し上げます。"""
text04#1,"""納品、確認しました。<br>至高の品と認識します。<br>ご助力、誠に感謝します。"""
text05#1,"""依頼品、確認。<br>一級品と認識。<br>お礼、申し上げます。"""
text06#1,"""依頼品、一級品と認識。<br>恐悦至極に存じます。"""
text07#1,"""良作と認識。<br>感謝申し上げます。<br>次回、宜しくお願いします。"""
text08#1,"""依頼品、回収。<br>想定以上の良作と認識。<br>ご助力、至極感謝致します。"""
text09#1,"""納品、回収。<br>期待値以上の出来と判断。<br>ご尽力、至極感謝致します。"""
