name01#0,"""Xiera"""
text01#0,"""ダークブラストには<br>強力な必殺技もあるんですよ！"""
text02#0,"""１回の変身中に１度のみ使える<br>必殺技と呼ぶにふさわしい威力を持つ<br><red>「アルティメットインパクト」<c>です！"""
text101#0,"""課題５：<yellow>サブパレットから<br>アルティメットインパクトを使用する"""
train_title#0,"""課題５：<yellow>サブパレットから<br>アルティメットインパクトを使用する"""
tut_title#0,"""アルティメットインパクトの使用について"""
text100#0,"""・<%SubPalette2>でアルティメットインパクトを発動"""
text101#1,"""・<%SubPaletteLeft><%SubPaletteRight>でサブパレット選択変更<br>・<%SubPalette>でアルティメットインパクトを発動"""
text100_v#0,"""・サブパレットから<br>\u3000アルティメットインパクトを選択"""
tut_win_title#0,"""Ultimate Impact"""
tut_win_text100#0,"""This explains the Dark Blast skill, <c ffff00>Ultimate Impact<c>.<br><br>Ultimate Impact is a skill that gathers Photons in both hands and fires them forward, covering the entire area ahead of you.<br><br>The skill has a very wide range and high attack power, but can only be used once per transformation."""
