name01#0,"""Xiera"""
11_voice_train_04001#0,"""こんにちは！<br>ここでは「ダークブラストの基礎」に<br>ついて訓練しましょう！"""
text02#0,"""ダークブラストを使うと、なんと！<br><red>一時的に変身して、すごい力が使える<c><br>ようになりますよ！"""
text03#0,"""まずはエネミーを攻撃して<br>ゲージをためましょう。"""
text04#0,"""ゲージがたまったら、サブパレットから<br>スキル「ダークブラスト」を使うと<br>変身できますよ。"""
text101#0,"""課題１：<yellow>攻撃を当ててゲージがたまったら、<br>サブパレットからダークブラストを使用"""
train_title#0,"""課題１：<yellow>攻撃を当ててゲージがたまったら、<br>サブパレットからダークブラストを使用"""
tut_title#0,"""ダークブラストの使用について"""
text100#0,"""・<%NormalAttack>でエネミーを攻撃してゲージをためる<br>・<%SubPalette1>でダークブラストを発動"""
text101#1,"""・<%NormalAttack>でエネミーを攻撃してゲージをためる<br>・<%SubPaletteLeft><%SubPaletteRight>でサブパレット選択変更<br>・<%SubPalette>でダークブラストを発動"""
text100_v#0,"""・サブパレットから<br>\u3000ダークブラストを選択"""
tut_win_title#0,"""Dark Blast Transformation"""
tut_win_text100#0,"""Before you can use a Dark Blast, the \""Dark Blast\"" skill must be <c ffff00>set to the Subpalette<c>.<br><br>By attacking enemies, you fill the gauge that surrounds the Dark Blast skill icon. When the gauge is full, you can use your Dark Blast.<br><br>There is a limit on the number of times you can transform with Dark Blast. You can transform <c ffff00>only once per Quest<c>."""
