text00#0,"""What do you want to know?"""
text01#0,"""「ギャザリング」とは"""
text02#0,"""「料理」とは"""
text03#0,"""「コンボとフィーバー」とは"""
text04#0,"""「実績とレベル」とは"""
text06#0,"""この場を離れる"""
Title#0,"""Gathering"""
text01#1,"""『ギャザリング』とは、<br>「採取」や「釣り」で素材アイテムを<br>集めるコンテンツです。<br><br>集めた素材アイテムを<br>「フランカ’s カフェ」に持ち込むと<br><yellow>スキルリング<c>や<yellow>料理<c>を<br>入手することができます。"""
text02#1,"""<green>■採取<c><br>・「採取スポット」にアクセスすると、<br>\u3000<yellow>鉱石<c>などのアイテムを入手できます。<br>\u3000※<green>採取スタミナ<c>を消費します。<br><br><c 00ffff>■釣り<c><br>・「釣りスポット」にアクセスして、<br>\u3000釣りでタイミング良くボタンを押すと<br>\u3000<yellow>魚<c>などのアイテムを入手できます。<br>\u3000※<c 00ffff>釣りスタミナ<c>を消費します。"""
text04#1,"""■スタミナの回復について<br>・採取と釣りのスタミナは、<yellow>時間経過で<br>\u3000自動的に回復します<c>が、スタミナ不足時は<br>\u3000SGを消費してすぐに回復もできます。<br><br>■【極み】アイテムについて<br>・通常の「採取」「釣り」のほかに、<br>\u3000「よいピッケル（釣り竿）」や<br>\u3000「【極み】ピッケル（釣り竿）」など<br>\u3000消費アイテムを選んで実行すると、<br>\u3000<yellow>レア素材の入手率が上がります。"""
Title#1,"""『ギャザリング料理』について"""
text01#2,"""By using cooked food items, you can gain temporary special effects, such as the following:<br><br>Example<br><green>Forest Tomato Salad<c><br>・Vegetable acquisition and additional harvest<br> rates slightly increased while harvesting<br><br><green>Tokyo Style Burger<c><br>・Immediately recover HP<br><br><yellow>※Cooked items can be set to the subpalette<c>"""
text02#2,"""As you achieve <yellow>Gathering Achievements<c>, you will get recipes for new dishes, and the <green>Culinary Shop's<c> menu will expand.<br><br>While a food effect is active, if you use another dish, it will overwrite the previous effect."""
Title#2,"""Combo Fever"""
text01#3,"""<c 00ffff>『コンボ』<c><br>採取・釣りを連続で実行すると<br>さらにコンボが発生します。<br><br>コンボ数に応じて<br>フィーバーの発生率が上がります。<br><br>また、採取・釣りスポットの<br>残り回数を0にすると<br>さらにコンボが加算されます。"""
text02#3,"""<c 00ffff>『フィーバー』<c><br>採取・釣りを実行すると<br>フィーバーが発生することがあります。<br><br>フィーバー中は、素材の取得数が増え<br>レアチャンスが発生しやすくなります。<br>さらに、採取・釣りスポットの<br>残り回数が無制限になります。"""
text03#1,"""コンボやフィーバーが終了すると<br>コンボ数に応じて経験値を取得します。<br><yellow>※取得経験値には上限があります。<c>"""
text00#1,"""Achievements and Levels"""
text01#4,"""採取・釣りを実行し条件を満たすと<br>ギャザリング実績を達成します。<br><br>達成時には報酬が得られます。<br><br>実績を達成するとより上位の実績が<br>開放される事もあります。"""
text02#4,"""実績の達成数に応じて<br>採取レベル・釣りレベルが上昇します。<br><br>採取レベル・釣りレベルが上がると<br>フィーバーの時間が長くなるなど<br>様々な報酬が得られます。<br><br>また、採取・釣りレベルの上昇時に<br>採取・釣りスタミナが回復します。"""
