name_7245#0,"""Xiemmy"""
ssn_019180_002_0010#0,"""Ah... You're here. Oh, um... Let me introduce myself once more."""
ssn_019180_002_0020#0,"""I am Xiemmy. As a member of the Technological Development team, I'm in charge of the development of the equipment you'll be using out on the field."""
ssn_019180_002_0030#0,"""...So, uhm... Moving along..."""
ssn_019180_002_0011#0,"""Ah... You're here. Thank you very much."""
ssn_019180_002_0021#0,"""Um... Well, I'm... really glad you agreed to help me."""
ssn_019180_002_0031#0,"""A-Anyways... Um, moving on..."""
ssn_019180_002_0040#0,"""Are you familiar with Limit Breaking your equipment?"""
ssn_019180_002_0050#0,"""Bringing out the full potential of your gear is... Well, it's very important, you see..."""
ssn_019180_002_0060#0,"""But lately... I see a lot of people are neglecting to Limit Break their gear."""
ssn_019180_002_0070#0,"""And well, in hopes that others follow by your example, I would like to have others witness you performing a Limit Break on some gear."""
ssn_019180_002_0080#0,"""Would you be willing to let us record you... as you gather the materials you need?"""
ssn_019180_002_0090#0,"""I will transfer some of the required materials over to you now. Can you please collect the remainder?"""
ssn_019180_002_0100#0,"""Um... I really appreciate you going through all this trouble for us."""
ssn_019180_002_0101#0,"""Received Stragment A x7, Stragment B x7, Stragment C x7, N-Excube x1."""
ssn_019180_002_0102#0,"""Received Stragment A x1, Stragment B x1, Stragment C x1."""
ssn_019180_002_0120#0,"""Ah, welcome... back."""
ssn_019180_002_0130#0,"""Thank... you, um... for collecting the materials."""
ssn_019180_002_0140#0,"""I was able to capture some good footage, so... I hope to be able to show it to other ARKS members."""
ssn_019180_002_0150#0,"""Now, up next is the... actual Limit Breaking, of course."""
ssn_019180_002_0160#0,"""Oh, don't worry... I won't be recording this part... Everyone has their own gear preferences, after all..."""
ssn_019180_002_0170#0,"""...This time, please just use the materials you acquired on... any piece of equipment you would like to strengthen..."""
ssn_019180_002_0180#0,"""Equipment can be quite customizable, so I would be... glad to see what you come up with..."""
ssn_019180_002_0190#0,"""Thank you for... um, all your cooperation."""
ssn_019180_002_0200#0,"""I l-look forward to our... continued endeavors..."""
ssn_019180_002_0300#0,"""As I thought, I'm really... not cut out for this... publicity work..."""
ssn_019180_002_0310#0,"""I-Is there something... I can help you with?"""
ssn_019180_002_0400#0,"""I'm going to, um... keep working hard to teach everyone... more about the equipment they use."""
ssn_019180_002_0410#0,"""I-Is there something... I can help you with?"""
npc_menu_0010#0,"""Seasonal Point Exchange (Until $(0))"""
npc_menu_0030#0,"""Item Recycle (Until $(0))"""
npc_menu_0040#0,"""Ask about the Seasonal Event"""
npc_menu_0050#0,"""Close Menu"""
npc_menu_0060#0,"""Item Recycle (Until $(0))"""
npc_menu_1010#0,"""About Seasonal Events"""
npc_menu_1020#0,"""About Seasonal Enemies"""
npc_menu_1040#0,"""About Seasonal Regional Mags"""
npc_menu_1050#0,"""About Stragments"""
npc_menu_2000#0,"""Never mind"""
