text00#0,"""무엇이 궁금하니?"""
text10#0,"""서머너의 전투 방식이 궁금해!"""
text20#0,"""서머너의 육성 방식이 궁금해!"""
text30#0,"""펫의 특징이 궁금해!"""
text50#0,"""그만 이야기한다"""
text11#0,"""펫을 불러내고 싶어!"""
text12#0,"""펫이 피해를 입었어!"""
text13#0,"""펫이 기절했어!"""
text14#0,"""돌아간다"""
text21#0,"""펫의 레벨을 올리고 싶어!"""
text22#0,"""펫의 레어리티 진화란?"""
text23#0,"""펫의 레벨이 100이 되면?"""
text24#0,"""캔디 박스란?"""
text25#0,"""펫별 추천 세팅은?"""
text26#0,"""캔디 박스에 놓을 수 없는 칸이 있어!"""
text27#0,"""캔디 박스 전용 아이템이 궁금해!"""
text28#0,"""캔디를 작게 만들고 싶어!"""
text29#0,"""펫의 속성값 상한은?"""
text31#0,"""펫의 성격이란?"""
text32#0,"""마론과 메론의 특징"""
text33#0,"""비올라의 특징"""
text34#0,"""싱크로우의 특징"""
text35#0,"""레어리티 진화로 펫의 형태를 바꾼다!"""
text36#0,"""레드란의 특징"""
Title#0,"""펫을 불러내고 싶어!"""
text01#0,"""・펫 등록<br>「에그」 아이템을 <yellow>「사용」<c>하면<br>새 펫을 등록할 수 있습니다.<br><br>・무기 팔레트에 세팅<br>전투에서 펫을 불러내려면,<br>장비 메뉴에서 무기 「택트」를 장비하고,<br>「일반 공격/PA/테크닉」 칸 왼쪽부터<br>\u3000<yellow>・원하는 펫(펫 목록에서 선택 가능)<c><br>\u3000・해당 펫의 PA(기술)<br><br>를 세팅해 둡니다.<br>펫을 장비하면 마그는 모습을 감추지만,<br>효과는 모두 평소와 동일하게 적용됩니다."""
Title#1,"""펫의 레벨을 올리고 싶어!"""
text01#1,"""펫은 남는 에그를<br>「에그 합성」하여 경험치를 얻고<br>성장(레벨 업)합니다.<br><br>에그에 「플러스 값」이 붙어 있으면,<br>합성할 때 경험치와 별도로<br>펫의 능력치에 해당 「플러스 값」만큼<br>능력이 추가됩니다.<br>「플러스 값」의 상한은 펫마다 다릅니다.<br><br>플레이어와 달리 에너미를 쓰러뜨려도<br>경험치를 얻지 못하므로 주의해 주십시오."""
text02#0,"""<yellow>「에그 합성」은 연속 5회까지 가능합니다.<c><br>이 「합성 가능 횟수」를 모두 사용하면,<br>한동안 합성할 수 없습니다.<br><br>합성 가능 횟수는 시간이 지나면 하나씩<br>회복되지만, SG를 소비해 한 번에<br>회복할 수도 있습니다.<br><br>SG로 회복한 경우 에그 합성 시<br>획득하는 경험치에 보너스가 붙습니다."""
Title#2,"""캔디 박스란?"""
text01#2,"""「캔디 박스」는<br>여러 효과를 가진 「캔디」를 세팅해<br><yellow>펫을 강하게 만드는 기능입니다.<c><br><br>각 펫은 저마다<br>전용 캔디 박스를<br>가지고 있습니다.<br><br>에너미를 쓰러뜨려 다양한 캔디를<br>얻고, 펫을 커스터마이즈해 보십시오!"""
text02#1,"""「캔디」는 펫을 강화하는<br>아이템의 총칭입니다. 종류마다<br>세팅 가능한 최대 개수가 정해져 있습니다.<br>■상한 1개<br>・라무네\u3000・크레이프<br><br>■상한 2개<br>・파르페\u3000・롤\u3000・팬케이크<br><br>■상한 3개\u3000\u3000■상한 4개<br>・쿠키\u3000\u3000\u3000\u3000\u3000・사탕<br><br>■상한 5개\u3000\u3000■상한 20개<br>・샌드\u3000\u3000\u3000\u3000\u3000\u3000\u3000・구미"""
text03#0,"""한 번 세팅한 캔디는<br>그대로는 아이템 팩으로 되돌릴 수 없습니다.<br><br>「캔디 리무버」로<br>분리하거나<br>「캔디 이레이저」로<br>삭제할 수 있습니다.<br><br>분리한 캔디는<br>아이템 팩으로 돌아가지만,<br><yellow>삭제한 캔디는 사라집니다.<c><br>주의해 주십시오."""
text00#1,"""펫별 추천 세팅은?"""
text01#3,"""<yellow>●「완다」의 특징<c><br><br>\u3000완다는 다루기 쉬운 균형형<br>\u3000펫입니다.<br><br>＜완다용 캔디 예시＞<br>・「버티기 롤」<br>\u3000(HP가 절반 이하일 때 받는 피해 감소)<br>\u3000<br>・「변환 롤」<br>\u3000(방어 능력치를 공격 능력치로 변환)<br><br>・「보디 샌드」<br>\u3000(방어 능력치 상승)"""
text02#2,"""<yellow>●「트림」의 특징<c><br><br>\u3000트림은 강력한 공격력을 지닌<br>\u3000공격형 펫입니다.<br><br>＜트림용 캔디 예시＞<br>・「메가톤 파르페」<br>\u3000(보스에게 주는 피해 증가)<br>\u3000<br>・「저돌적 파르페」<br>\u3000(PA의 소비 PP와 위력 증가)<br><br>・「1단 팬케이크」<br>\u3000(펫의 속성값 상승)"""
text03#1,"""<yellow>●「사리」의 특징<c><br><br>\u3000사리는 원거리 범위 공격과<br>\u3000지원에 능한 지원형 펫입니다.<br><br>＜사리용 캔디 예시＞<br>・「힘찬 파르페」<br>\u3000(일반 공격 피해 증가)<br>\u3000<br>・「대역 롤」<br>\u3000(알터 에고 발동 중 PA 소비 PP 감소)<br><br>・「스피리타 쿠키」<br>\u3000(최대 PP 상승)"""
Title#3,"""펫의 레벨이 100이 되면?"""
text01#4,"""피에트로에게 「한계 돌파」를 의뢰하면,<br>레벨 100까지 키운 펫도<br>레벨을 더 올릴 수 있습니다.<br><br><yellow>한계 돌파한 펫을 키우려면<br>레어리티가 높은 에그를<br>합성해야 합니다.<br><c>"""
Title#4,"""펫이 피해를 입었어!"""
text01#5,"""펫에도 HP가 있으며,<br>피해를 입으면 HP가 감소합니다.<br><br>HP가 0이 된 펫은<br>한동안 전투 불능 상태가 됩니다.<br><br>펫의 HP가 줄었다면,<br>다른 펫으로 교체해 쉬게 하거나<br>서브 팔레트에서 회복 테크닉<br>「레스타」를 사용해 주십시오."""
Title#5,"""캔디 박스 전용 아이템이 궁금해!"""
