un_046060_0010#0,"""으으으~…… 으으으으음……"""
un_046060_0020#0,"""어디 아파?"""
un_046060_0030#0,"""뭐 하고 있어?"""
un_046060_0040#0,"""아, <%me> 씨.<br>아뇨, 어디 아픈 건 아니고<br>뭘 하고 있던 것도 아닌데요……"""
un_046060_0050#0,"""왜 제 가슴은 우르크 총사령관에 비해<br>이렇게 빈약하게 만들어져 버린 걸까 해서."""
un_046060_0060#0,"""아앗, 잠깐 잠깐! 기다려주세요!<br>이건 말이에요, 절실하다고요!<br>절실한 고민이라고요!"""
un_046060_0070#0,"""저희, 시에라 타입이라 불리는 하이 캐스트는<br>각 아크스 쉽에 1명씩 배치되어있습니다.<br>그 쉽의 관제를 관리하기 위해서 말이죠."""
un_046060_0080#0,"""가동은 2년 전부터.<br>마침 <%me> 씨의<br>휴식과 비슷한 타이밍이죠."""
un_046060_0090#0,"""능력을 관리관제에만 특화시키고<br>전투능력은 거의 0.<br>말그대로 함선을 관리할 뿐인 존재."""
un_046060_0100#0,"""아, 참고로 말하자면<br>불만 같은 건 전혀 없어요.<br>저 관리관제 좋아하거든요."""
un_046060_0110#0,"""어쩌면 그렇게 되도록<br>사고 조절이 되어있을지도 모르지만<br>제가 행복하니까 됐죠!"""
un_046060_0120#0,"""그래서 말이죠, 여기부터가 중요한 건데……<br>저희 인격형성에 참고한 인격은<br>다름 아닌 우르크 총사령관이에요."""
un_046060_0130#0,"""무에서 인격을 형성하는 건 시간이 걸려서<br>어쩔 수 없이 본인 승낙을 받아 기초가 되는<br>참고 인격으로 우르크 총사령관이 뽑혔죠."""
un_046060_0140#0,"""……그런데!<br>그런데 말이에요!<br>이 차이라고요! 이 차이!"""
un_046060_0150#0,"""참고로 할 거면 인격뿐만 아니라<br>체격이나 그런 것도 전~부 참고했으면<br>했다는 말이에요! 정말~!"""
un_046060_0160#0,"""그야 이해는 해요, 이유는 알겠어요.<br>가슴이 크면 그만큼 생산 코스트가 들고<br>애초에 사무 일에 방해될 것 같고……"""
un_046060_0170#0,"""관리자로서 납득은 할 수 있습니다.<br>하지만! 여자로서 납득할 수 없어요!<br>존엄성을 짓밟힌듯한 느낌이에요!"""
un_046060_0180#0,"""우르크 총사령관과 통신 회의할 때마다<br>조금 가슴이 뒤틀리는 이 기분……<br>……정신건강상 매우 좋지 않아요!"""
un_046060_0190#0,"""각 쉽에 있는 시에라 타입들도 모두<br>제 의견에 동조하고 있어요!<br>좋아~, 이번에야말로 샤오에게 불만을 표할 때!"""
un_046060_0200#0,"""샤오! 할 말이……"""
un_046060_0210#0,"""듣는 척도 안해줬어!?<br>들어주긴 커녕 꾸짖는 연락까지!"""
un_046060_0220#0,"""으으으…… 미안해요 미안해요.<br>알고 있었어요, 이렇게 될 것쯤은<br>이미 연산 완료했었다고요."""
un_046060_0230#0,"""그치만 그래도 말하지 않을 수 없었던 것은<br>제가 인간과 같다는 증거라고요."""
un_046060_0240#0,"""그쵸, 이해하시죠!<br>제 기분, 이해해주시는 거죠!<br><%me> 씨!"""
