name_7442#0,"""Chitose"""
ssn_015306_0001#0,"""ใครน่ะ?!"""
ssn_015306_0002#0,"""อา มาช่วยฉันงั้นเหรอ? เยี่ยมไปเลย! ขอบจายยยน้า!"""
ssn_015306_0003#0,"""หืม? Kirishima เป็นคนขอให้มางั้นเหรอ?"""
ssn_015306_0004#0,"""ว่าไงนะ? ใช่แล้วล่ะ หมอนั่นเป็นคนดีจริงๆ!"""
ssn_015306_0005#0,"""ศัตรูเยอะขนาดนี้ เลยติดแหง็กอยู่ที่นี่น่ะสิ ดันโดนทิ้งไว้ข้างหลังหลังจากเล่นเป็นนกต่อซะได้... แหะๆ"""
ssn_015306_0006#0,"""Mag ของฉันก็พังยับเยินไปหมด เลยติดต่อใครไม่ได้เลย ใช่... ไม่ใช่วันที่ดีเท่าไหร่เลยแฮะ"""
ssn_015306_0007#0,"""เอ่อ ขอเปลี่ยนเรื่องหน่อยนะ... ดูแข็งแกร่งดีนี่ คิดว่าจะช่วยจัดการ DOLLS แถวนี้ให้หน่อยได้ไหม?"""
ssn_015306_0101#0,"""ดูแข็งแกร่งดีนี่"""
ssn_015306_0102#0,"""คิดว่าจะช่วยจัดการ DOLLS แถวนี้ให้หน่อยได้ไหม?"""
ssn_015306_0201#0,"""ข้อมูลของโรงไฟฟ้าเหรอ? อ่า ใช่ สิ่งใหญ่ๆ ที่อยู่ตรงกลางโรงงานนั่นแหละ"""
ssn_015306_0202#0,"""ฝีมืออย่างนายคงไม่มีปัญหาใช่ม้า? ขอบจายยน้า!"""
