Title#0,"""El espectro de la destrucción"""
Explanation#0,"""Lecturas similares a [Persona] se confirmarón<br>en el espacio. Creando una grieta en el universo.<br>Se especula que residuos de un gran resentimiento<br>se transformaron en una figura anormal.<br>Todos los ARKS deben detener a [Persona]<br>o el destruira el universo.<br>――――――――――――――――――――<br>Se puede completar solo 1 vez/<br>limite de daño max/999999<br>fallas si el tiempo se agota"""
SimpleExplanation#0,"""Derrota a Dark Falz Persona!"""
NpcComMsg1#0,"""Comenzaremos la estrategia para destruir a Dark Falz Persona desde el interior del espacio alterado."""
NpcComMsg2#0,"""Desea destruir todo el universo...<br>¡Así que combinemos los poderes de ARKS y detengámoslo aquí mismo,<br>ahora mismo!"""
Area0S#0,"""Ubicación de la señal de [persona]"""
Area0L#0,"""Universo Oracle: Ubicación de la Señal de [Persona]"""
a1#0,"""Completar una determinada Orden de Cliente"""
a2#0,"""Completar una determinada Orden de Cliente"""
a3#0,"""Poseer una licencia Super Hard"""
a4#0,"""Poseer una licencia Super Hard"""
a5#0,"""スーパーハード受注許可証の所持"""
