ssc_501020_0010#0,"""อ๊ะ มาทำอะไรที่นี่เหรอ?"""
ssc_501020_0020#0,"""มาดูว่าเป็นยังไงบ้างน่ะ"""
ssc_501020_0030#0,"""มาเยี่ยมกาโรอา (Garoa) น่ะ"""
ssc_501020_0040#0,"""อ้อ เข้าใจล่ะ"""
ssc_501020_0050#0,"""แวะมาที่นี่เป็นบางครั้งบางคราวน่ะ"""
ssc_501020_0060#0,"""ขอบใจนะ ซึ้งใจมากเลยล่ะ"""
ssc_501020_0070#0,"""แวะมาที่นี่เป็นบางครั้งบางคราวเหมือนกัน"""
ssc_501020_0080#0,"""จะมาเล่าให้เขาฟังว่าเกิดอะไรขึ้นบ้างอะไรทำนองนี้น่ะ"""
ssc_501020_0090#0,"""จะมาเล่าให้เขาฟังถึงเรื่องที่เกิดขึ้นทั้งหมดจนถึงตอนนี้<br>หรือเรื่องที่วางแผนจะทำในแต่ละวันน่ะ"""
ssc_501020_0100#0,"""การได้คุยกับเขาแบบนั้นระหว่างที่ช่วย<br>ทำความสะอาดบริเวณนี้ไปด้วย มันทำให้รู้สึกผ่อนคลายขึ้นเยอะเลยล่ะ"""
ssc_501020_0110#0,"""แล้วจากนั้น ก็จะเริ่มคิดถึงเรื่องในอดีต..."""
ssc_501020_0120#0,"""อย่างวันแรกที่ฝึกใช้ Photon Glide<br>ตอนที่ไปติดอยู่บนต้นไม้แล้วก็ลงมาไม่ได้น่ะ"""
ssc_501020_0130#0,"""หรือวันที่พยายามวิ่งไล่ตามพวก Tames<br>แล้วก่อนจะรู้ตัว ก็ไม่รู้ว่าตัวเองอยู่ที่ไหนแล้วน่ะ"""
ssc_501020_0140#0,"""คุณพ่อโกรธเป็นฟืนเป็นไฟเลยล่ะ ตอนที่เขา<br>รีบวิ่งมาแล้วก็เจอฉันในวันนั้นน่ะ"""
ssc_501020_0150#0,"""เขาแบบว่า 'รู้ไหมว่ามันอันตรายแค่ไหน<br>ที่ออกไปเดินเตร็ดเตร่ในที่ที่ไม่มีใครเห็นน่ะ?!'"""
ssc_501020_0160#0,"""บางทีชาวเมืองคนอื่นๆ ก็แทบจะต้องมาดึงตัวเขาออกไปเลยล่ะ"""
ssc_501020_0170#0,"""พวกเขาจะคอยเป็นห่วง คอยให้กำลังใจ<br>หรือไม่ก็ไปบ่นเรื่องคุณพ่อให้ฟังบ้าง..."""
ssc_501020_0180#0,"""ตอนนั้น เกลียดการ<br>'ปฏิบัติแบบพิเศษ' แบบนั้นสุดๆ ไปเลยล่ะ"""
ssc_501020_0190#0,"""...แต่ตอนนี้รู้แล้วล่ะว่ามันเป็นเพราะพวกเขาเป็นห่วงกันมากนั่นเอง"""
ssc_501020_0200#0,"""..."""
ssc_501020_0210#0,"""ตอนนี้ที่พวกเขาจากไปแล้ว... ตอนนี้ที่คุณพ่อจากไปแล้ว..."""
ssc_501020_0220#0,"""...คิดถึงเรื่องพวกนั้นจังเลย"""
ssc_501020_0230#0,"""ไอน่า..."""
ssc_501020_0240#0,"""...โอเคไหม?"""
ssc_501020_0250#0,"""...ไม่เป็นไรหรอกน่า"""
ssc_501020_0260#0,"""จะต้องใช้ชีวิต<br>ที่พวกเขามอบให้มาอย่างคุ้มค่าที่สุดล่ะนะ"""
ssc_501020_0270#0,"""...อื้ม ไม่เป็นไรหรอกน่า"""
ssc_501020_0280#0,"""ชีวิตยังอีกยาวไกลนี่นา<br>ต้องก้าวเดินต่อไปให้ได้"""
ssc_501020_0290#0,"""เอาล่ะ คงต้องไปจัดการรายงานของวันนี้แล้วล่ะ"""
ssc_501020_0300#0,"""จะไปด้วยกันไหม?"""
