ssc_501100_0010#0,"""หืม? อ๊ะ <%me>!"""
ssc_501100_0020#0,"""มาทำอะไรตั้งไกลถึงที่นี่เนี่ย?"""
ssc_501100_0030#0,"""มาพักผ่อนเหรอ?"""
ssc_501100_0040#0,"""แค่มานั่งพักแป๊บนึงน่ะ"""
ssc_501100_0050#0,"""อื้ม ที่นี่เป็นจุดพักผ่อน<br>ที่บรรยากาศดีมากเลยเนอะ"""
ssc_501100_0060#0,"""...สเตีย (Stia) นี่เป็นที่ที่บ้าบอมากเลยเนอะ?"""
ssc_501100_0070#0,"""มีแต่หินขรุขระไปหมด<br>แทบจะไม่มีต้นหญ้าหรือต้นไม้ขึ้นเลย"""
ssc_501100_0080#0,"""ไม่ต้องพูดถึงพวก DOLLS เลยด้วยซ้ำ"""
ssc_501100_0090#0,"""คิดว่าถ้าเป็นเมื่อก่อน<br>คงอยู่รอดที่นี่ไม่ได้ถึงวันแน่ๆ"""
ssc_501100_0100#0,"""แต่ไม่รู้ทำไม ถึงสามารถต่อสู้ฟันฝ่า<br>มาได้ไกลขนาดนี้พร้อมกับเธอและมาน่อนล่ะนะ"""
ssc_501100_0110#0,"""คิดว่านี่หมายความว่า<br>แข็งแกร่งขึ้นบ้างแล้วหรือเปล่านะ?"""
ssc_501100_0120#0,"""แข็งแกร่งขึ้นแน่นอนล่ะ"""
ssc_501100_0130#0,"""ยังต้องพยายามให้มากกว่านี้อีกนะ"""
ssc_501100_0140#0,"""จริงเหรอ? ดีใจจังเลย<br>ที่ได้ยินแบบนั้นน่ะ"""
ssc_501100_0150#0,"""ฮึ่ม ก็คงเถียงไม่ออกหรอกนะ<br>ถ้าได้ยินจากเธอน่ะ..."""
ssc_501100_0160#0,"""รู้ไหม ช่วงนี้ได้อ่าน<br>บันทึกประจำวันของมาน่อนมากขึ้นด้วยล่ะ"""
ssc_501100_0170#0,"""โดยเฉพาะส่วนที่<br>เธอเขียนเกี่ยวกับพวกศัตรูทั้งหมดน่ะ"""
ssc_501100_0180#0,"""เกี่ยวกับวิธีที่ศัตรูทั้งหมดเคลื่อนไหว และ<br>การเคลื่อนไหวแบบไหนที่ทำให้พวกมันเปิดช่องโหว่ให้โจมตี..."""
ssc_501100_0190#0,"""เมื่อก่อนก็แค่อ่านบันทึกของเธอเพราะความ<br>อยากรู้เฉยๆ แล้วก็เข้าใจแค่คร่าวๆ เท่านั้นเอง..."""
ssc_501100_0200#0,"""แต่ตอนนี้ พยายามจำให้ได้หมดเลยล่ะ<br>จะได้เอาข้อมูลพวกนั้นไปใช้ในการต่อสู้จริงๆ ได้"""
ssc_501100_0210#0,"""มันช่วยให้ค่อยๆ จับทาง<br>อะไรต่างๆ ได้มากขึ้นเมื่อเวลาผ่านไปล่ะ แบบว่า..."""
ssc_501100_0220#0,"""ตอนกำลังต่อสู้ ก็จะคิดไปด้วยว่า<br>'อ้อ ตอนนี้มาน่อนคงจะใช้ท่านี้แน่ๆ'..."""
ssc_501100_0230#0,"""หรือไม่ก็ 'มาน่อนจะทำยังไง<br>เพื่อพลิกสถานการณ์ตรงนี้นะ?' อะไรประมาณเนี้ย"""
ssc_501100_0240#0,"""และในที่สุด ก็เริ่มคิดว่า<br>'แล้วเราจะทำยังไงเพื่อพลิกสถานการณ์ตรงนี้ดีล่ะ?'"""
ssc_501100_0250#0,"""ทีละนิดๆ คิดว่าตอนนี้<br>เริ่มจะพัฒนาสไตล์การต่อสู้ของตัวเองขึ้นมาได้แล้วล่ะ"""
ssc_501100_0260#0,"""เรียนรู้พื้นฐานให้แน่น แล้วค่อยต่อยอดไปจากตรงนั้นล่ะนะ"""
ssc_501100_0270#0,"""นวัตกรรมเริ่มต้นจากการเลียนแบบนั่นแหละ"""
ssc_501100_0280#0,"""อื้ม พยายามลอง<br>วิธีต่อสู้แบบต่างๆ มาหลายแบบเลยล่ะ"""
ssc_501100_0290#0,"""ก็ได้เรียนรู้ว่ามันไม่ได้มี<br>วิธีที่ถูกต้องแค่วิธีเดียวหรอกนะ"""
ssc_501100_0300#0,"""อ๊ะ จริงด้วย! คุณพ่อ<br>ก็เคยพูดแบบนั้นเหมือนกัน!"""
ssc_501100_0310#0,"""อ้อ เข้าใจแล้วล่ะ... สิ่งที่<br>เขาเคยพูดถึงมันหมายความว่าแบบนี้นี่เอง"""
ssc_501100_0320#0,"""ในที่สุดก็เข้าใจสักที"""
ssc_501100_0330#0,"""...มาน่อนช่วยเหลือมาเยอะมากเลย<br>ก็เลยอยากจะตอบแทนเธอในสักวันนึงล่ะ"""
ssc_501100_0340#0,"""แล้วก็รวมถึงเธอด้วยล่ะนะ แน่นอนสิ"""
ssc_501100_0350#0,"""เพราะงั้นเลยต้องพยายามให้หนักขึ้นไงล่ะ<br>จะได้ตามพวกเธอสองคนทัน..."""
ssc_501100_0360#0,"""เอาล่ะ! หมดเวลาพักแล้ว!"""
ssc_501100_0370#0,"""เพิ่งจะคิดวิธีต่อสู้แบบใหม่ๆ<br>ออกพอดีเลย งั้นจะไปลองดูหน่อยนะ"""
ssc_501100_0380#0,"""ไว้เจอกันนะ!"""
