ssc_501040_0010#0,"""อ๊ะ <%me> ก็อยู่ที่นี่ด้วยเหรอ"""
ssc_501040_0020#0,"""ทำอะไรอยู่เหรอ?"""
ssc_501040_0030#0,"""มาพักผ่อนเหมือนกันเหรอ?"""
ssc_501040_0040#0,"""มาพักสายตานิดหน่อยน่ะ เธอเองก็เหมือนกันสินะ?"""
ssc_501040_0050#0,"""อื้ม คิดว่าจะมา<br>พักสูดอากาศสักหน่อยหลังจากเพิ่งกลับมาน่ะ"""
ssc_501040_0060#0,"""ชอบมองลงไปดู<br>เมืองจากบนนี้จัง"""
ssc_501040_0070#0,"""ได้เห็นผู้คนใช้ชีวิตไปตามปกติ<br>พวกเด็กๆ ก็วิ่งเล่นกันอย่างสนุกสนานไร้ความกังวล"""
ssc_501040_0080#0,"""มันช่วยให้ผ่อนคลายได้ดีเลยล่ะ แค่ปล่อยใจ<br>ล่องลอยไปกับทิวทัศน์แบบนี้น่ะ"""
ssc_501040_0090#0,"""เซ็นทรัลซิตี้ (Central City) นี่เป็น<br>ที่ที่ดีมากเลยเนอะ?"""
ssc_501040_0100#0,"""...ตอนที่อาศัยอยู่เอลิโอทาวน์ (Aelio Town) ไม่ค่อย<br>มีโอกาสได้มาที่นี่เท่าไหร่น่ะ"""
ssc_501040_0110#0,"""แถมตอนนั้นยังเด็กมากด้วย<br>เมืองที่กว้างใหญ่ขนาดนี้ก็เลยดูน่ากลัวนิดๆ น่ะ"""
ssc_501040_0120#0,"""แต่ตอนนี้ ชอบที่นี่มากเลยล่ะ"""
ssc_501040_0130#0,"""ทั้งพวกโอเปอเรเตอร์ (Operator) และทุกคนที่คอยช่วยเหลืออยู่เสมอ<br>พวกเจ้าของร้านที่เป็นมิตร..."""
ssc_501040_0140#0,"""กองเสบียง (Supply Corps) พนักงานซ่อมบำรุง<br>และเหล่านักวิจัย..."""
ssc_501040_0150#0,"""พวกเด็กๆ<br>และพวกผู้ใหญ่ที่คอยเลี้ยงดูพวกเขา..."""
ssc_501040_0160#0,"""ถึงจะไม่เคยไปก็เถอะ แต่ก็ยังมีสิ่งอำนวยความสะดวกใต้ดินอีกนะ<br>ที่มีผู้คนคอยจัดการเรื่องการเกษตรและช่างทำอาวุธ..."""
ssc_501040_0170#0,"""ทุกคนคอยสนับสนุนซึ่งกันและกัน<br>คอยค้ำจุนเมืองแห่งนี้เอาไว้"""
ssc_501040_0180#0,"""เพราะงั้นก็เลยอยากจะทำในส่วนของตัวเอง<br>เพื่อคอยสนับสนุนทุกคนในเมืองนี้เหมือนกันล่ะนะ"""
ssc_501040_0190#0,"""ในฐานะสมาชิกของ ARKS ยังไงล่ะ"""
ssc_501040_0200#0,"""จนถึงตอนนี้ เอาแต่เป็นฝ่ายถูกปกป้องมาตลอด<br>แต่ตอนนี้เป็นฝ่ายปกป้องได้แล้วล่ะ"""
ssc_501040_0210#0,"""พยายามอย่างหนักมาตลอดเลยสินะ"""
ssc_501040_0220#0,"""ฉันก็จะพยายามให้เต็มที่ไปพร้อมกับเธอเหมือนกันนะ"""
ssc_501040_0230#0,"""อ๊ะ? คิดแบบนั้นเหรอ?<br>ดีใจจังเลยที่ได้ยินแบบนั้นน่ะ"""
ssc_501040_0240#0,"""อื้ม จริงด้วย<br>พยายามให้เต็มที่กันเถอะ!"""
ssc_501040_0250#0,"""...เอาล่ะ คิดว่าตอนนี้มีแรงฮึดขึ้นมาแล้วล่ะ<br>งั้นไปก่อนนะ"""
ssc_501040_0260#0,"""ยังมีเรื่องอีก<br>ตั้งหลายอย่างที่ยังต้องไปทำน่ะ"""
ssc_501040_0270#0,"""ไว้เจอกันนะ!"""
