ssc_501050_0010#0,"""ว้าย!"""
ssc_501050_0020#0,"""โธ่ <%me> นี่เอง<br>ค่อยยังชั่วหน่อย..."""
ssc_501050_0030#0,"""เคยมาที่ป่าเรซอล (Resol Forest) แล้วก็เถอะ แต่พอ<br>ต้องมาอยู่ข้างนอกนี่คนเดียวมันน่ากลัวสุดๆ ไปเลยล่ะ"""
ssc_501050_0040#0,"""พวกศัตรูก็แข็งแกร่งมาก แถมยังไม่รู้ด้วยว่า<br>พวกมันจะกระโจนออกมาจากตรงไหนเมื่อไหร่น่ะสิ"""
ssc_501050_0050#0,"""ยิ่งไปกว่านั้น บรรยากาศของที่นี่ยังน่ากลั--...<br>เอ่อ ยากที่จะทำตัวให้ชินสุดๆ ไปเลย"""
ssc_501050_0060#0,"""แต่ว่านะ ตอนนี้ต่อสู้เก่งขึ้นเยอะเลยล่ะ<br>ถ้าเทียบกับตอนที่พวกเรามาที่ป่าเรซอล (Resol Forest) ครั้งแรกน่ะ"""
ssc_501050_0070#0,"""ตอนนั้นกังวลไปหมดซะทุกอย่างเลย<br>แถมยังแทบจะตามเธอและมาน่อนไม่ทันด้วยซ้ำ"""
ssc_501050_0080#0,"""จำไม่ได้ด้วยซ้ำว่าพวกเรา<br>เดินผ่านมาทางไหนบ้างแล้ว..."""
ssc_501050_0090#0,"""แต่ก็รู้สึกว่าการที่สามารถผ่านการต่อสู้ครั้งนั้นมาได้<br>มันเป็นเหมือนก้าวสำคัญที่ยิ่งใหญ่มากเลยล่ะ"""
ssc_501050_0100#0,"""ทั้งหมดนี้ต้องขอบคุณ <%me> กับมาน่อนจริงๆ นะ"""
ssc_501050_0110#0,"""ก็พวกเราสัญญาเอาไว้แล้วนี่นาว่าจะต่อสู้ไปด้วยกันน่ะ"""
ssc_501050_0120#0,"""ยังไงก็ต้องคอยดูแลเธออยู่แล้วนี่นา"""
ssc_501050_0130#0,"""อื้ม นั่นสินะ ขอบใจนะ"""
ssc_501050_0140#0,"""นี่อย่ามาพูดจา<br>เหมือนคุณพ่อได้ไหมเนี่ย!"""
ssc_501050_0150#0,"""แต่พูดจริงๆ นะ รู้สึกซาบซึ้งใจมากเลย ขอบใจนะ"""
ssc_501050_0160#0,"""ตอนที่ได้ยินว่าบรูเดอร์ (Bruder) หายตัวไป<br>พร้อมๆ กับตอนที่ Nex Aelio ปรากฏตัวขึ้น..."""
ssc_501050_0170#0,"""ในหัวคิดได้แค่วิธีที่จะช่วยเขา<br>ก็เลยรีบยกมืออาสาไปแบบนั้นน่ะ"""
ssc_501050_0180#0,"""ทั้งๆ ที่ไม่รู้ด้วยซ้ำว่าจะต้องเจอกับอะไร<br>หรือแม้แต่ป่าเรซอล (Resol Forest) เป็นสถานที่แบบไหน"""
ssc_501050_0190#0,"""แต่ตอนที่เธอและมาน่อนยกมืออาสาอยู่ข้างๆ<br>พวกเธอทั้งสองคนก็ทำให้มีความกล้าที่จะลุยต่อไปได้ล่ะ"""
ssc_501050_0200#0,"""รู้สึกว่าตราบใดที่ได้อยู่กับเธอและมาน่อนล่ะก็<br>พวกเราจะสามารถต่อกรกับศัตรูแบบไหนก็ได้ทั้งนั้น"""
ssc_501050_0210#0,"""...คุณพ่อมักจะชอบดุอยู่เสมอเลยว่า<br>'ต้องคิดก่อนทำสิ!' อะไรประมาณเนี้ย"""
ssc_501050_0220#0,"""แต่เขาก็จะคอยปลอบใจแล้วก็บอกว่า<br>'แต่ก็นะ มันก็ยังดีกว่าคิดมากเกินไปจนไม่ได้ลงมือทำล่ะนะ'"""
ssc_501050_0230#0,"""คิดว่านั่นน่าจะเป็นส่วนหนึ่งของนิสัยไปแล้วล่ะมั้ง"""
ssc_501050_0240#0,"""นี่ <%me> สมมตินะ สมมติ ถ้าดูเหมือนว่า<br>กำลังจะทำอะไรบ้าบิ่นเกินไป ช่วยหยุดไว้หน่อยได้ไหม?"""
ssc_501050_0250#0,"""เธอและมาน่อนรู้ดีว่าต้องทำยังไงเพื่อ<br>ทำให้ใจเย็นลงแล้วก็ช่วยดึงสติกลับมาได้น่ะ"""
ssc_501050_0260#0,"""เข้าใจแล้วล่ะ"""
ssc_501050_0270#0,"""แต่ทางที่ดีก็อย่าทำอะไรบ้าบิ่นจะดีกว่านะ"""
ssc_501050_0280#0,"""ดีล่ะ ขอบใจนะ"""
ssc_501050_0290#0,"""สมมตินะ! แค่พูดสมมติเฉยๆ นะ"""
ssc_501050_0300#0,"""เผื่อว่าเกิดลืมตัวไม่สนสิ่งรอบข้าง<br>ขึ้นมาอีกน่ะ เข้าใจไหม?"""
ssc_501050_0310#0,"""ยังไงพวกเราก็ต้องคอยดูแล<br>ซึ่งกันและกันอยู่แล้วนี่นา จริงไหมล่ะ?"""
ssc_501050_0320#0,"""ไว้เจอกันนะ"""
