ssc_501150_0010#0,"""Oh, <%me>."""
ssc_501150_0020#0,"""今ね、ブルーダーから、<br>リクールやルカたちのことを聞いてたんだ。"""
ssc_501150_0030#0,"""訓練生だった？"""
ssc_501150_0040#0,"""アイナが教えていた？"""
ssc_501150_0050#0,"""うん。ブルーダーからみて、<br>みんなはどうかって話をね。"""
ssc_501150_0060#0,"""続きを聞かせて？"""
ssc_501150_0070#0,"""アイナの指導を受けた訓練生たちは、<br>各地の部隊に配置され、経験を積んでいる。"""
ssc_501150_0080#0,"""いずれも、優秀な成績で、<br>隊の戦力アップに貢献している。"""
ssc_501150_0090#0,"""リクールとルカは、今はリテムに派遣されて、<br>ハーディのもとで活動中だ。"""
ssc_501150_0100#0,"""リクールは分隊長を、<br>ルカはその補佐役を担っている。"""
ssc_501150_0110#0,"""環境が違うなかでも、<br>うまく順応してやっているようだ。"""
ssc_501150_0120#0,"""柔軟な対応力というのを、<br>アイナから学んだようだな。"""
ssc_501150_0130#0,"""あのときは、<br>いろいろとあったからなぁ……。"""
ssc_501150_0140#0,"""アイナの訓練隊は、<br>とくに厳しかったと言われているようだ。"""
ssc_501150_0150#0,"""厳しくしたつもりじゃ、<br>なかったんだけど……。"""
ssc_501150_0160#0,"""最初は、加減がわからなかったから……。"""
ssc_501150_0170#0,"""でも、みんなからアドバイスをもらったりして、<br>少しずつ良くなっていったと思う。"""
ssc_501150_0180#0,"""うむ。あえて私は、直接サポートしなかったが、<br>うまく立ち回れていた。"""
ssc_501150_0190#0,"""アイナのおかげで、みんな強くなれた。"""
ssc_501150_0200#0,"""自分のアドバイスも役に立った？"""
ssc_501150_0210#0,"""うん。<br>そうだといいんだけど。"""
ssc_501150_0220#0,"""もちろんだよ。"""
ssc_501150_0230#0,"""結果としては、訓練生たちからも、<br>アイナの指導は適切だったと評されている。"""
ssc_501150_0240#0,"""そっかぁ、よかった。"""
ssc_501150_0250#0,"""……と、アイナの話になってしまったな。"""
ssc_501150_0260#0,"""フフフ、そうだね。"""
ssc_501150_0270#0,"""まあ、つまるところ、<br>彼らの活動にはなんの心配もない。"""
ssc_501150_0280#0,"""その点は、安心してくれ。"""
ssc_501150_0290#0,"""うん、わかった。"""
ssc_501150_0300#0,"""それで、<br>これからあたしはどうすればいい？"""
ssc_501150_0310#0,"""以前に伝えたとおり、<br>次の新兵の訓練が予定されている。"""
ssc_501150_0320#0,"""そちらの一部を、<br>受け持ってほしい。"""
ssc_501150_0330#0,"""次は、もっとうまくやれると思う。"""
ssc_501150_0340#0,"""いいぞ、その意気だ。"""
ssc_501150_0350#0,"""では、以前よりも、<br>多くの人数を見てもらうとするか。"""
ssc_501150_0360#0,"""え？\u3000それは……。"""
ssc_501150_0370#0,"""ハハハ、冗談だ。"""
ssc_501150_0380#0,"""……とはいえ、今の状況からすると、<br>その案も悪くないかもしれないな。"""
ssc_501150_0390#0,"""……えぇ。"""
ssc_501150_0400#0,"""まあ、そのあたりの調整は、<br>これからしていくとしよう。"""
ssc_501150_0410#0,"""了解。"""
