ssc_501140_0010#0,"""อ๊ะ เธอก็มาอยู่ที่นี่ด้วยเหรอ"""
ssc_501140_0020#0,"""มารายงานเรื่องต่างๆ ให้กาโรอา (Garoa) ฟังเหรอ?"""
ssc_501140_0030#0,"""มีเรื่องอะไรกังวลใจอยู่หรือเปล่า?"""
ssc_501140_0040#0,"""อืม...มีเรื่องที่อยากจะเล่าให้เขาฟังเยอะแยะไปหมดเลยล่ะ"""
ssc_501140_0050#0,"""เปล่า ไม่ใช่แบบนั้นหรอก แค่...กำลังนึกย้อนไปถึงสิ่งต่างๆ ที่พวกเราผ่านมาน่ะ"""
ssc_501140_0060#0,"""...มีเรื่องเกิดขึ้นมากมายเลยเนอะ?"""
ssc_501140_0070#0,"""ทุกอย่างเริ่มต้นขึ้นจากการต่อสู้ที่นี่..."""
ssc_501140_0080#0,"""ภูมิภาคเอลิโอ (Aelio), เรเทม (Retem), ควาริส (Kvaris), สเตีย (Stia)..."""
ssc_501140_0090#0,"""พวกเราต่อสู้กับ DOLLS ไปทั่วทั้งฮาลฟา (Halpha)"""
ssc_501140_0100#0,"""แล้วก็ Dark Falz ที่เซเฟตโต้ (Zephetto) สร้างขึ้น"""
ssc_501140_0110#0,"""รวมไปถึงการต่อสู้กับตัวของเซเฟตโต้ (Zephetto) เองด้วย"""
ssc_501140_0120#0,"""และหลังจากนั้น ก็ยังมีวาเอล (Vael) ที่เป็น Starless อีก..."""
ssc_501140_0130#0,"""พวกเราชนะมาได้ แต่...ฉันรู้ดีว่าส่วนใหญ่เป็นเพราะเธอ"""
ssc_501140_0140#0,"""ฉันไม่ได้ทำมันคนเดียวซะหน่อย"""
ssc_501140_0150#0,"""ฉันว่าฉันควรได้รับคำชมมากกว่านี้หน่อยนะ"""
ssc_501140_0160#0,"""นั่นสินะ พวกเราต่างก็พยายามมาด้วยกันทั้งนั้น"""
ssc_501140_0170#0,"""นั่นสินะ ฉันจะชมเธอให้เยอะๆ เลยล่ะ!"""
ssc_501140_0180#0,"""ขอบคุณ...จากใจจริงเลยนะ"""
ssc_501140_0190#0,"""...แต่การต่อสู้ยังไม่จบลงหรอก"""
ssc_501140_0200#0,"""พวกเราต้องเตรียมพร้อมรับมือกับทุกสิ่ง"""
ssc_501140_0210#0,"""...อ๊ะ จริงสิ!"""
ssc_501140_0220#0,"""ริคูล (Ricoeur) กับลูก้า (Luka) เริ่มปฏิบัติหน้าที่ในฐานะ ARKS อย่างเป็นทางการแล้วนะ"""
ssc_501140_0230#0,"""ทั้งสองคนไฟแรงกันสุดๆ ไปเลยล่ะ"""
ssc_501140_0240#0,"""พวกเขาบอกว่า 'เราจะนำความสงบสุขมาสู่ฮาลฟาด้วยมือของพวกเราเอง!'"""
ssc_501140_0250#0,"""ฉันหวังว่าพวกเขาจะพยายามอย่างเต็มที่นะ"""
ssc_501140_0260#0,"""ฝากความหวังไว้กับพวกเขาเลยล่ะ"""
ssc_501140_0270#0,"""อื้อ ฉันจะเอาสิ่งที่เธอพูดไปบอกพวกเขานะ"""
ssc_501140_0280#0,"""ฉันเองก็คงต้องพยายามให้มากขึ้นเหมือนกัน"""
ssc_501140_0290#0,"""ตอนนี้ ฉันกำลังปรึกษากับบรูเดอร์ (Bruder) และคนอื่นๆ เรื่องวิธีเพิ่มความแข็งแกร่งในการต่อสู้โดยรวมของ ARKS อยู่น่ะ"""
ssc_501140_0300#0,"""ส่วนเรื่องหน่วยฝึกใหม่ ก็มีการพูดถึงว่าอยากให้ฉันไปช่วยดูแลพวกเขาน่ะ..."""
ssc_501140_0310#0,"""มีเรื่องที่...ต้องทำเยอะแยะไปหมดเลยล่ะ"""
ssc_501140_0320#0,"""แต่ทั้งหมดนั่น ก็เพื่อให้ฉันกลายเป็นคนที่สามารถยืนเคียงข้างเธอได้อย่างแท้จริงยังไงล่ะ!"""
ssc_501140_0330#0,"""คอยดูหนูด้วยนะคะ คุณพ่อ"""
ssc_501140_0340#0,"""ไม่ว่าจะเกิดอะไรขึ้นต่อจากนี้...หนูจะปกป้องฮาลฟา (Halpha) ให้ได้ หนูสัญญา!"""
