ssc_501160_0010#0,"""เธอก็มาที่นี่ด้วยเหรอ"""
ssc_501160_0020#0,"""ไอน่าก็ด้วย"""
ssc_501160_0030#0,"""ทำอะไรกันอยู่สองคนเหรอ?"""
ssc_501160_0040#0,"""ฉันกำลังถามคานุย (Kanui)<br>เรื่องวิธีการต่อสู้หลายๆ อย่างอยู่น่ะ"""
ssc_501160_0050#0,"""กำลังถามคานุย (Kanui)<br>เรื่องวิธีการต่อสู้หลายๆ อย่างอยู่น่ะ"""
ssc_501160_0060#0,"""ที่ผ่านมา เพราะอยากจะตามเธอและมาน่อนให้ทัน<br>ก็เลยเอาแต่คิดเรื่องการต่อสู้ด้วยตัวคนเดียวมาตลอดเลย"""
ssc_501160_0070#0,"""แต่พอได้มาเป็นครูฝึก<br>ก็เริ่มรู้สึกตัวแล้วล่ะว่าขืนเป็นแบบนั้นมันใช้ไม่ได้"""
ssc_501160_0080#0,"""การที่แต่ละคน<br>ขัดเกลาฝีมือของตัวเอง แน่นอนว่ามันก็เป็นเรื่องสำคัญ"""
ssc_501160_0090#0,"""แต่สิ่งที่สำคัญไปกว่านั้น<br>คือการประสานงานร่วมกันของ ARKS จำนวนมากต่างหากล่ะ"""
ssc_501160_0100#0,"""โดยพื้นฐานแล้ว การต่อสู้ของ ARKS<br>คือการต่อสู้แบบกลุ่มค่ะ"""
ssc_501160_0110#0,"""คนที่สามารถใช้งานอาวุธได้ทุกรูปแบบ<br>อย่างคุณเนี่ย……"""
ssc_501160_0120#0,"""คนที่สามารถยืนหยัดต่อสู้เพียงลำพังได้น่ะ<br>ถือเป็นสิ่งที่หายากมากเลยล่ะค่ะ"""
ssc_501160_0130#0,"""อย่างนั้นหรอกเหรอ……"""
ssc_501160_0140#0,"""ชมกันเกินไปแล้ว"""
ssc_501160_0150#0,"""ARKS ส่วนใหญ่ แค่ฝึกฝนอาวุธชนิดหรือสองชนิด<br>ให้เชี่ยวชาญก็เต็มกลืนแล้วล่ะค่ะ"""
ssc_501160_0160#0,"""สไตล์การต่อสู้เอง<br>ก็ใช่ว่าจะสามารถปรับเปลี่ยนได้อย่างยืดหยุ่น"""
ssc_501160_0170#0,"""ARKS แต่ละคนไม่ได้เก่งกาจไปซะทุกด้าน"""
ssc_501160_0180#0,"""ด้วยเหตุนี้ การทำความเข้าใจจุดเด่นของแต่ละคน<br>และคอยสั่งการอย่างเหมาะสมจึงเป็นสิ่งที่จำเป็นค่ะ"""
ssc_501160_0190#0,"""นั่นคือหัวหน้าหน่วยสินะ……"""
ssc_501160_0200#0,"""ถูกต้องแล้วล่ะค่ะ"""
ssc_501160_0210#0,"""หากการจัดการในส่วนนี้ไม่ราบรื่น<br>ก็จะไม่สามารถสั่งการหน่วยให้ประสานงานกันได้อย่างมีประสิทธิภาพค่ะ"""
ssc_501160_0220#0,"""อื้อ เรื่องนั้นพอจะเข้าใจอยู่"""
ssc_501160_0230#0,"""แต่กว่าฉันจะเข้าใจจุดเด่นของทุกคน<br>ก็ใช้เวลาไปตั้งเยอะเลยล่ะ……"""
ssc_501160_0240#0,"""การทำความเข้าใจความถนัดของแต่ละบุคคล<br>ไม่ใช่เรื่องง่ายเลยนะคะ"""
ssc_501160_0250#0,"""จำเป็นต้องร่วมกันลงมือทำ<br>และมองทะลุไปถึงตัวตนที่แท้จริงของอีกฝ่ายค่ะ"""
ssc_501160_0260#0,"""ซึ่งเรื่องแบบนั้น มันก็ต้องใช้เวลามากอยู่แล้วค่ะ"""
ssc_501160_0270#0,"""……นั่นสินะ ฉันเองก็ได้ใช้เวลาร่วมกับทุกคนในหน่วยฝึก<br>และได้พูดคุยกันเยอะมากเลยล่ะ"""
ssc_501160_0280#0,"""ในระหว่างนั้น ฉันถึงเริ่มมองเห็น<br>ว่าทุกคนถนัดหรือว่าไม่ถนัดเรื่องอะไรบ้าง"""
ssc_501160_0290#0,"""หากคุณสามารถวิเคราะห์และตัดสินใจเรื่องพวกนั้นได้แล้ว<br>ฉันก็คงไม่มีอะไรต้องสอนอีกมากมายแล้วล่ะค่ะ"""
ssc_501160_0300#0,"""ง-งั้นเหรอ……?"""
ssc_501160_0310#0,"""หืม? เป็นอะไรไปน่ะ?"""
ssc_501160_0320#0,"""ไอน่าดูเหมือนคนละคนไปเลยนะ"""
ssc_501160_0330#0,"""ไอน่า เติบโตขึ้นแล้วสินะ……"""
ssc_501160_0340#0,"""ฉ-ฉันเอง<br>ก็ต้องเติบโตขึ้นบ้างแหละน่า"""
ssc_501160_0350#0,"""มาพูดทำซึ้งแบบนั้นมันก็……"""
ssc_501160_0360#0,"""แต่ก็นะ<br>ฉันเองก็กำลังเปลี่ยนไปในทางที่ดีขึ้นสินะ"""
ssc_501160_0370#0,"""ไอน่า ถ้าไม่รังเกียจ<br>มาเข้าร่วมการซ้อมรบของหน่วยในสเตีย (Stia) ด้วยกันไหมคะ?"""
ssc_501160_0380#0,"""เอ๊ะ? จะดีเหรอ?"""
ssc_501160_0390#0,"""ฉันตัดสินใจเรื่องนี้ด้วยตัวเองไม่ได้หรอกค่ะ<br>แต่คิดว่าทั้งหัวหน้าเกลน (Glen) และครอว์ฟอร์ดคุง (Crawford) น่าจะอนุญาตนะคะ"""
ssc_501160_0400#0,"""ถ้าได้แบบนั้นก็รบกวนด้วยนะ"""
ssc_501160_0410#0,"""ทางเราเอง<br>ก็ตั้งใจว่าจะเรียนรู้จากคุณเหมือนกันค่ะ"""
ssc_501160_0420#0,"""โอเค เข้าใจแล้วล่ะ ขอบคุณนะ"""
ssc_501160_0430#0,"""ทางนี้ก็เช่นกันค่ะ"""
