ssc_501110_0010#0,"""ฟู่... ข้างนอกนี่ร้อนจังเลยแฮะ!"""
ssc_501110_0020#0,"""มันไม่แห้งเหมือนอากาศของรีเทม (Retem) เลย...<br>เหมือนมีความร้อนแผ่ตั้งแต่หัวจรดเท้าเลยล่ะ"""
ssc_501110_0030#0,"""<%me> ไม่รู้สึกร้อนที่นี่บ้างเลยเหรอ?"""
ssc_501110_0040#0,"""ไม่อ่ะ"""
ssc_501110_0050#0,"""เอาจริงๆ ก็ร้อนอยู่นะ"""
ssc_501110_0060#0,"""งั้นเหรอ..."""
ssc_501110_0070#0,"""สงสัยจะเป็นเพราะ<br>ความเป็น Meteorn หรืออะไรสักอย่างแน่ๆ เลย..."""
ssc_501110_0080#0,"""เอ๊ะ? ร้อนเหมือนกันเหรอ?"""
ssc_501110_0090#0,"""แต่ตอนอยู่รีเทม (Retem) กับควาริส (Kvaris)<br>ก็ดูปกติดีแท้ๆ เนอะ"""
ssc_501110_0100#0,"""ก็นะ คงจะเป็นเรื่องดีล่ะมั้ง ในเมื่อ<br>พวกเราต้องถูกส่งไปตั้งหลายที่นี่นา..."""
ssc_501110_0110#0,"""เกลน (Glen) กับทีมของเขา<br>แทบจะอาศัยอยู่ที่นี่มานานมากแล้วด้วยสิ"""
ssc_501110_0120#0,"""ถึงการรับมือกับพวก DOLLS จะยากอยู่แล้วก็เถอะ<br>แต่ศัตรูที่ร้ายกาจที่สุดในสเตีย (Stia) คงจะเป็นความร้อนนี่แหละ"""
ssc_501110_0130#0,"""ถ้าเป็นแบบนี้ตลอด<br>คงหายเหนื่อยจากการต่อสู้ได้ยากแน่ๆ เลยล่ะ"""
ssc_501110_0140#0,"""ทุกคนต่อสู้กันอยู่ตลอดเวลา<br>ไม่ว่าจะเป็นกลางวันหรือกลางคืน..."""
ssc_501110_0150#0,"""ถ้าอย่างน้อยที่ค่ายพักมันสบายกว่านี้ก็คงดีเนอะ..."""
ssc_501110_0160#0,"""แต่ก็เดาว่ามันคง...<br>ไม่ใช่กงการอะไรของฉันอยู่ดีล่ะนะ"""
ssc_501110_0170#0,"""จะมีอะไรที่เราพอช่วยพวกเขาได้บ้างไหมนะ...?"""
ssc_501110_0180#0,"""อาจจะเป็นของขวัญอะไรสักอย่างไหม?"""
ssc_501110_0190#0,"""อะไรที่จะช่วยให้พวกเขาผ่อนคลายขึ้นได้น่ะ?"""
ssc_501110_0200#0,"""ของขวัญงั้นเหรอ...? อืมมม...<br>ขอคิดดูก่อนนะ"""
ssc_501110_0210#0,"""อ๊ะ จริงด้วยสิ!"""
ssc_501110_0220#0,"""ทำอาหารให้ทุกคนกินดีกว่า เหมือน<br>ตอนที่พวกเราอยู่ใกล้ๆ บริเวณใจกลางสเตีย (Stia) น่ะ"""
ssc_501110_0230#0,"""ช่วยให้ผ่อนคลายขึ้นงั้นเหรอ...<br>อืมมม... ขอคิดดูก่อนนะ"""
ssc_501110_0240#0,"""อ๊ะ! คิดว่าพวกเขาจะชอบไหม<br>ถ้าฉันทำอาหารให้ทุกคนกินอีกน่ะ?"""
ssc_501110_0250#0,"""เห็นทุกคนเอาแต่กินพวกขนมปังแข็งๆ อะไรแบบนั้น<br>เลยมั่นใจว่าพวกเขาต้องอยากกินของอร่อยๆ บ้างแน่ๆ"""
ssc_501110_0260#0,"""อื้ม เอาแบบนี้แหละ!"""
ssc_501110_0270#0,"""ขอบใจสำหรับคำแนะนำนะ!"""
ssc_501110_0280#0,"""อย่างแรก ต้องไปเตรียมวัตถุดิบก่อนล่ะนะ"""
ssc_501110_0290#0,"""ไหนดูซิ..."""
ssc_501110_0300#0,"""ตอนนั้น ทุกคนเหนื่อยล้าทั้งร่างกาย<br>และจิตใจ ก็เลยทำอาหารอุ่นๆ ให้กิน..."""
ssc_501110_0310#0,"""งั้นคราวนี้ คิดว่าจะ<br>ทำอะไรเย็นๆ ให้ชื่นใจดีกว่า"""
ssc_501110_0320#0,"""น่าจะทำของอร่อยๆ จากผลไม้และผักของควาริส (Kvaris) ได้อยู่นะ"""
ssc_501110_0330#0,"""อื้ม เอาล่ะ คิดออกแล้ว!"""
ssc_501110_0340#0,"""จะรีบไปหาวัตถุดิบเดี๋ยวนี้เลย"""
