ssc_501120_0010#0,"""อ๊ะ ไง!"""
ssc_501120_0020#0,"""ไง"""
ssc_501120_0030#0,"""นานๆ ทีจะได้เจอพร้อมหน้ากันนะเนี่ย"""
ssc_501120_0040#0,"""อิลม่า (Ilma) มาทำอะไรที่นี่เหรอ?"""
ssc_501120_0050#0,"""ถูกเรียกตัวมาเข้าร่วม<br>การไต่สวนของมาน่อนกับคนอื่นๆ น่ะ"""
ssc_501120_0060#0,"""ถูกเรียกตัวมาเข้าร่วม<br>การไต่สวนของมาน่อนกับคนอื่นๆ น่ะ"""
ssc_501120_0070#0,"""แล้วก็เลยอยากจะถามเขาว่าผลเป็นยังไงบ้างน่ะ"""
ssc_501120_0080#0,"""สบายใจได้นะ<br>ทั้งมาน่อนแล้วก็ฟาเรีย (Pharia) สบายดีล่ะ"""
ssc_501120_0090#0,"""พอเดาได้ว่าคงจะกังวลกันมาก<br>แต่พวกเขาก็ไม่ได้ดูไม่พอใจกับการปฏิบัติที่ได้รับหรอกนะ"""
ssc_501120_0100#0,"""รวมไปถึงพวก Resurgent ARKS คนอื่นๆ ด้วยล่ะ"""
ssc_501120_0110#0,"""จะมีก็แค่ปัญหาเดียวนี่แหละ..."""
ssc_501120_0120#0,"""การไต่สวนไปได้ไม่สวยเหรอ?"""
ssc_501120_0130#0,"""หาข้อสรุปไม่ได้งั้นเหรอ?"""
ssc_501120_0140#0,"""อาาา พวกเขาไม่ค่อยให้ความร่วมมือเท่าไหร่น่ะ"""
ssc_501120_0150#0,"""ก็นะ มีเรื่องนั้นด้วยแหละ"""
ssc_501120_0160#0,"""พวกเขาทุกคนต่างก็มีบทบาทหน้าที่ของตัวเองบนเลเซียล (Leciel)<br>แต่ละคนก็มีความรับผิดชอบที่แตกต่างกันไปน่ะ"""
ssc_501120_0170#0,"""ผลก็คือ คำให้การบางส่วนไม่สามารถหาหลักฐานมายืนยันได้<br>เราก็เลยเจอปัญหาในการหาข้อสรุปที่ชัดเจนน่ะ"""
ssc_501120_0180#0,"""แต่สิ่งที่น่าปวดหัวกว่านั้นก็คือ..."""
ssc_501120_0190#0,"""...ปัญหาเรื่องการทำความเข้าใจให้ตรงกันน่ะสิ"""
ssc_501120_0200#0,"""อย่างเช่น 'ช่วยเล่าเรื่องเลเซียล (Leciel) ให้ฟังหน่อยได้ไหม?'<br>...นั่นคือคำถามใช่ไหมล่ะ?"""
ssc_501120_0210#0,"""แต่ถ้าไปถามพวกเขา พวกเขาก็จะเริ่มอธิบายโครงสร้างของ<br>เลเซียล (Leciel) และฟังก์ชันต่างๆ ของมันอย่างละเอียดยิบเลยล่ะ"""
ssc_501120_0220#0,"""ราวกับว่าพวกเขาเป็นเครื่องจักรไร้อารมณ์ที่คอยตอบคำถามข้อมูลเลยน่ะ"""
ssc_501120_0230#0,"""...มาน่อนเองก็เป็นแบบนั้นเหมือนกันตอนที่มาถึงใหม่ๆ"""
ssc_501120_0240#0,"""เวลาคุยด้วย เธอก็จะ<br>ตอบกลับมาแค่สั้นๆ เท่าที่จำเป็นเท่านั้นแหละ"""
ssc_501120_0250#0,"""หลายคนก็เลยไม่ค่อยแน่ใจว่าจะรับมือกับเธอยังไงดีน่ะ"""
ssc_501120_0260#0,"""บางทีนั่นอาจจะเป็นเรื่องปกติสำหรับพวกเขาก็ได้นะ"""
ssc_501120_0270#0,"""แต่ตอนนี้มาน่อนเปลี่ยนไปแล้วนี่นา"""
ssc_501120_0280#0,"""อื้ม"""
ssc_501120_0290#0,"""ความจริงพวกเราก็สามารถทำความเข้าใจ<br>กับมาน่อนได้ในระดับนึงแล้วล่ะ"""
ssc_501120_0300#0,"""บางที ถ้าให้เวลามากพอ คนอื่นๆ<br>ก็อาจจะค่อยๆ เปลี่ยนไปเหมือนเธอก็ได้นะ..."""
ssc_501120_0310#0,"""...อยากจะคิดแบบนั้นล่ะนะ"""
ssc_501120_0320#0,"""อ้อ แล้วก็มีอีกเรื่องนึงเกี่ยวกับพวกเขา..."""
ssc_501120_0330#0,"""ตั้งแต่นี้ไป พวกเราจะเรียกผู้คนของพวกเขาว่า 'ชาวเลเซียล (Lecielan)' น่ะ"""
ssc_501120_0340#0,"""ชาวเลเซียล (Lecielan) งั้นเหรอ?"""
ssc_501120_0350#0,"""พวกเขาไม่ใช่ศัตรูของเราอีกต่อไปแล้วล่ะ"""
ssc_501120_0360#0,"""ถ้าขืนยังเรียกพวกเขาว่า 'Resurgent ARKS' ต่อไป<br>มันอาจจะทำลายความสัมพันธ์อันดีระหว่างเรากับพวกเขาได้น่ะ"""
ssc_501120_0370#0,"""อ้า..."""
ssc_501120_0380#0,"""...ชาวเลเซียล (Lecielan)"""
ssc_501120_0390#0,"""อื้ม ฟังดูดีเหมือนกันนะ"""
