ssc_501130_0010#0,"""...งั้น แสดงว่าเซเฟตโต้ (Zephetto)..."""
ssc_501130_0020#0,"""ทำอะไรอยู่เหรอ?"""
ssc_501130_0030#0,"""คุยเรื่องอะไรกันอยู่เหรอ?"""
ssc_501130_0040#0,"""อ้อ แค่กำลังถามครอว์ฟอร์ด (Crawford) เรื่องเซเฟตโต้ (Zephetto) อยู่น่ะ"""
ssc_501130_0050#0,"""แค่คุยเรื่องเซเฟตโต้ (Zephetto) กันนิดหน่อยน่ะ"""
ssc_501130_0060#0,"""อย่างเรื่องที่ว่าจริงๆ แล้ว<br>เซเฟตโต้ (Zephetto) มาทำอะไรที่ฮาลฟา (Halpha) นี้น่ะ"""
ssc_501130_0070#0,"""คิดว่าถ้าพวกเรารู้เรื่องนั้น มันอาจจะนำไปสู่<br>เบาะแสในการต่อสู้กับพวก Starless ก็ได้ล่ะนะ"""
ssc_501130_0080#0,"""เราค้นพบข้อมูลของเขามากมายเลยล่ะ<br>ต้องขอบคุณการพูดคุยกับพวกชาวเลเซียล (Lecielan) น่ะ"""
ssc_501130_0090#0,"""เพียงแต่ว่ามันมีข้อมูลเยอะมาก<br>ก็เลยต้องใช้เวลาสักพักในการวิเคราะห์ทั้งหมดน่ะ"""
ssc_501130_0100#0,"""ก็เป็นข้อมูลตลอด 500 ปีเลยนี่นะ"""
ssc_501130_0110#0,"""ยิ่งไปกว่านั้น เอกสารพวกนั้นก็ไม่ได้เหลืออยู่บนฮาลฟา (Halpha) มากนักด้วย"""
ssc_501130_0120#0,"""งั้นเขาทำแบบนี้มานานขนาดนั้นเลยเหรอ?"""
ssc_501130_0130#0,"""ฟังดูหนักหนาเอาเรื่องเลยนะนั่น"""
ssc_501130_0140#0,"""ตัดสินจากข้อมูลแล้วล่ะก็<br>แทบจะไม่ต้องสงสัยเลยล่ะ"""
ssc_501130_0150#0,"""นั่นสิหนักหนาเอาเรื่องเลยล่ะ"""
ssc_501130_0160#0,"""อย่างแรก สิ่งที่เรารู้ก็คือ<br>เขาไม่ได้เป็นแคส (Cast) มาตั้งแต่แรกล่ะนะ"""
ssc_501130_0170#0,"""เมื่อการเคลื่อนไหวของเขากินเวลายาวนานขึ้น ดูเหมือนว่าเขา<br>จะดัดแปลงร่างกายให้เป็นเครื่องจักรเพื่อยืดอายุขัยน่ะ"""
ssc_501130_0180#0,"""...เขาทำถึงขนาดนั้นเลยเหรอ..."""
ssc_501130_0190#0,"""ใช่แล้วล่ะ เขาอุทิศทุกสิ่งทุกอย่างเพื่อการทดลองของเขา"""
ssc_501130_0200#0,"""...ดูเหมือนว่าในตอนแรก การทดลองบนฮาลฟา (Halpha)<br>จะคำนึงถึงความปลอดภัยและความมั่นคงอยู่นะ"""
ssc_501130_0210#0,"""แต่มันกลับให้ผลลัพธ์ที่ไม่เพียงพอสำหรับเขาน่ะ"""
ssc_501130_0220#0,"""ไม่นาน พวก DOLLS ก็ถูกสร้างขึ้น และ<br>การทดลองก็เปลี่ยนไปเน้นที่การต่อสู้จริงมากขึ้นน่ะ"""
ssc_501130_0230#0,"""แล้วผลลัพธ์ที่สำคัญที่สุดก็มาถึง เมื่อ<br>มีการนำ Dark Falz เข้ามาในการทดลองล่ะ"""
ssc_501130_0240#0,"""ด้วยการเอาชีวิตรอดจากการต่อสู้อันตราย<br>กับศัตรูที่มีพลังเหนือกว่าอย่างเทียบไม่ติด..."""
ssc_501130_0250#0,"""เหล่า ARKS ที่รอดชีวิตจะเกิดความเปลี่ยนแปลง<br>ของพลัง Photon อย่างมากและรวดเร็วน่ะ"""
ssc_501130_0260#0,"""แล้วพวกเราก็เลยถูกบังคับให้<br>ต่อสู้กับ Dark Falz ด้วยสินะ..."""
ssc_501130_0270#0,"""ส่วนตัวแล้ว ความรู้สึกของฉันไม่อาจยอม<br>ให้อภัยสิ่งที่เซเฟตโต้ (Zephetto) ทำลงไปได้หรอกนะ"""
ssc_501130_0280#0,"""แต่ก็พอจะ<br>เข้าใจความรู้สึกของเขาอยู่บ้างเหมือนกัน"""
ssc_501130_0290#0,"""เพราะฉันเองก็พยายามทำ<br>ทุกวิถีทางในฐานะผู้นำของเอลิโอ (Aelio) ด้วยน่ะ"""
ssc_501130_0300#0,"""ฉันยอมทำทุกอย่างเพื่อ<br>ประโยชน์ของผู้คนในเอลิโอ (Aelio) ล่ะ"""
ssc_501130_0310#0,"""...แน่นอนว่า จะไม่ใช้<br>วิธีแบบเขาหรอกนะ"""
ssc_501130_0320#0,"""...'ฉันทำเป้าหมายที่ตั้งไว้สำเร็จแล้ว'<br>นั่นคือหนึ่งในประโยคสุดท้ายที่เขาพูดทิ้งไว้น่ะ"""
ssc_501130_0330#0,"""ถ้าเรื่องนั้นเป็นความจริง พวกเราก็น่าจะมี<br>วิธีต่อสู้กับพวก Starless อยู่บ้างแหละนะ"""
ssc_501130_0340#0,"""...หวังว่ามันจะเป็นแบบนั้นจริงๆ นะ"""
