ssc_501060_0010#0,"""อ๊ะ <%me>"""
ssc_501060_0020#0,"""กำลังคิดถึงอยู่พอดีเลย<br>พอจะมีเวลาคุยกันหน่อยไหม?"""
ssc_501060_0030#0,"""สงสัยจังเลย <%me> คิดยังไง<br>กับผู้คนในรีเทม (Retem) เหรอ?"""
ssc_501060_0040#0,"""พวกเขาก็เป็นคนดีนะ"""
ssc_501060_0050#0,"""หมายความว่ายังไงน่ะ?"""
ssc_501060_0060#0,"""อื้ม คิดแบบนั้นเหมือนกันแหละ"""
ssc_501060_0070#0,"""ก็แบบ... พอได้คุยกับพวกเขา<br>ก็รู้สึกได้เลยว่า 'อื้ม พวกเขาก็เป็นคนดีนี่นา' น่ะ"""
ssc_501060_0080#0,"""รู้ไหม เมื่อก่อนเคยคิดว่าผู้คนในรีเทม (Retem)<br>น่าจะดูน่ากลัวหรืออะไรแบบนั้นซะอีก"""
ssc_501060_0090#0,"""ไม่เหมือนกับเอลิโอ (Aelio) ในรีเทม (Retem) ไม่มีอะไรคอยปกป้องผู้คน<br>จากการต่อสู้ภายนอกเลย ทุกคนเลยต้องต่อสู้ให้เป็นยังไงล่ะ"""
ssc_501060_0100#0,"""ก็เลยคิดว่ารีเทม (Retem) คงจะเต็มไปด้วย<br>พวกคนโหดๆ ที่ผ่านการต่อสู้มาอย่างโชกโชนซะอีก"""
ssc_501060_0110#0,"""จำได้ไหมว่าทุกคนตึงเครียดแค่ไหนในตอนที่<br>เรนัส รีเทม (Lenus Retem) สามารถเข้าโจมตีเมืองได้ทุกเมื่อน่ะ?"""
ssc_501060_0120#0,"""รู้สึกเหมือนว่าพวกเขาไม่มีเวลามา<br>สนใจคนนอกหน้าใหม่อย่างพวกเราเลย"""
ssc_501060_0130#0,"""แต่ว่า พอมีโอกาสได้คุยกับพวกเขาจริงๆ<br>ถึงได้รู้ว่ามันไม่ได้เป็นแบบนั้นเลยสักนิด"""
ssc_501060_0140#0,"""ตอนที่รวบรวมความกล้าเข้าไป<br>คุยกับพวกเขา พวกเขาก็เป็นมิตรมากๆ เลยล่ะ"""
ssc_501060_0150#0,"""ไม่ว่าจะเป็นวิธีเดินฝ่าทะเลทราย<br>แล้วก็สถานที่ที่จะหาผลไม้กับผัก..."""
ssc_501060_0160#0,"""หรือแม้แต่ศัตรูตัวไหนที่ควรระวัง พวกเขาสอนพวกเรา<br>มากมายเกี่ยวกับการเอาชีวิตรอดในแต่ละวันในรีเทม (Retem) เลยล่ะ"""
ssc_501060_0170#0,"""แล้วก็ยังมีหลายคน<br>มาถามด้วยนะว่าเอลิโอ (Aelio) เป็นยังไงบ้าง"""
ssc_501060_0180#0,"""เอลิโอ (Aelio) กับรีเทม (Retem) ไม่ค่อยได้มีปฏิสัมพันธ์กันเท่าไหร่<br>ก็เลยตกใจเหมือนกันที่เห็นพวกเขาสนใจขนาดนี้น่ะ"""
ssc_501060_0190#0,"""พวกเขาคงจะยุ่งอยู่กับการต่อสู้ที่นี่มาก<br>ก็เลยไม่เคยได้มีโอกาสใช้ชีวิตสบายๆ แบบนั้นล่ะมั้ง"""
ssc_501060_0200#0,"""คนที่แข็งแกร่งที่สุดในรีเทม (Retem) ไม่เห็นจะคุยโวหรืออะไรทำนองนั้นเลย"""
ssc_501060_0210#0,"""พวกเขามักจะนึกถึงเพื่อนฝูงอยู่เสมอ<br>ปกป้องคนที่อ่อนแอกว่า และคอยช่วยเหลือผู้ที่เดือดร้อนล่ะ"""
ssc_501060_0220#0,"""แล้วทุกคนก็มักจะพูดถึงเรื่องของนาเดเรห์ (Nadereh) อยู่ตลอดเลยด้วย"""
ssc_501060_0230#0,"""สัมผัสได้เลยนะว่าทุกคนใส่ใจเธอมากแค่ไหนน่ะ<br>ทุกคนพยายามที่จะสนับสนุนเธอไม่ทางใดก็ทางหนึ่งกันทั้งนั้น"""
ssc_501060_0240#0,"""เธอเป็นผู้นำที่น่ายกย่อง<br>และพึ่งพาได้จริงๆ นั่นแหละ"""
ssc_501060_0250#0,"""มีความรู้สึกถึงความเป็นน้ำหนึ่งใจเดียวกัน<br>อย่างเหนียวแน่นไปทั่วทั้งเมืองรีเทม (Retem City) เลยล่ะ"""
ssc_501060_0260#0,"""...พอลองคิดดูดีๆ แล้ว มันก็คล้ายๆ กับ<br>ตอนที่พวกเราอยู่ในเอลิโอทาวน์ (Aelio Town) เลยนะ รู้ไหม?"""
ssc_501060_0270#0,"""ฮี่ๆ สงสัยที่นี่คงจะเป็นเหมือน<br>บ้านหลังที่สองหรืออะไรประมาณนั้นล่ะมั้ง"""
ssc_501060_0280#0,"""ถ้างั้นก็แปลว่าคงจะต้องพยายามให้หนักขึ้นแล้วล่ะ<br>เพื่อที่จะได้รับการยอมรับในฐานะสมาชิกของ Retem ARKS น่ะ"""
ssc_501060_0290#0,"""เอาล่ะ! จะพยายามให้เต็มที่เลย!"""
