ssc_501080_0010#0,"""นี่ <%me>! มานี่แป๊บนึงสิ"""
ssc_501080_0020#0,"""ดูนี่สิ<br>วิวสวยมากเลยเนอะ!"""
ssc_501080_0030#0,"""ทุกที่ในควาริส (Kvaris) สวยไปหมดเลยล่ะ!"""
ssc_501080_0040#0,"""...ถึงจะรู้สึกสับสนนิดหน่อยก็เถอะ พอรู้ว่าทิวทัศน์แบบนี้<br>เป็นผลมาจากการต่อสู้กับ Dark Falz ในอดีตน่ะ..."""
ssc_501080_0050#0,"""บรื๋อ! แต่ก็หนาวจังเลยนะ!<br>คงเป็นเพราะเราอยู่สูงมากแน่ๆ เลย"""
ssc_501080_0060#0,"""ถ้าไม่มีเสื้อผ้าพวกนี้ ก็คงจะ<br>ปีนขึ้นมาถึงบนนี้ไม่ไหวแน่ๆ"""
ssc_501080_0070#0,"""มาน่อนบอกว่าถ้ากระตุ้น Photon ในร่างกาย<br>มันก็จะไม่ค่อยหนาวเท่าไหร่... หรืออะไรประมาณนั้นแหละ"""
ssc_501080_0080#0,"""ก็นะ หนาวก็คือหนาวนั่นแหละ"""
ssc_501080_0090#0,"""ไปเอาเสื้อผ้าพวกนั้นมาจากไหนน่ะ?"""
ssc_501080_0100#0,"""ไม่เหมือนกับชุดที่ใส่ปกติเลยนะ"""
ssc_501080_0110#0,"""อ้อ ครอว์ฟอร์ด (Crawford) ให้มาน่ะ"""
ssc_501080_0120#0,"""...ความจริง เขาบอกว่าคุณพ่อสั่งตัดไว้ให้ล่ะ"""
ssc_501080_0130#0,"""อื้ม ดูเหมือนว่าจะเป็นสิ่งที่คุณพ่อทิ้งเอาไว้ให้น่ะ"""
ssc_501080_0140#0,"""ครอว์ฟอร์ด (Crawford) บอกว่ามัน<br>ถูกเก็บรักษาไว้อย่างดีที่เซ็นทรัลซิตี้ (Central City) ล่ะ"""
ssc_501080_0150#0,"""ดูเหมือนว่าคุณพ่อจะเตรียมของไว้ให้หลายอย่างเลยที่เซ็นทรัลซิตี้ (Central City)<br>เผื่อว่าเกิดอะไรขึ้นกับเขาขึ้นมาน่ะ"""
ssc_501080_0160#0,"""คิดมาตลอดว่าเขาใช้ชีวิตไปวันๆ<br>แต่จริงๆ แล้วเขาคงจะคิดวางแผนไปไกลเลยล่ะมั้ง"""
ssc_501080_0170#0,"""เพิ่งจะมารู้สึกตัวเอาตอนนี้นี่แหละ"""
ssc_501080_0180#0,"""ถ้าเขาสั่งตัดชุดพวกนี้ไว้ให้ ก็หมายความว่า<br>เขาคงจะคาดเดาไว้แล้วล่ะว่าสักวันจะต้องมาที่นี่"""
ssc_501080_0190#0,"""เขาไม่เคยสอนวิธีต่อสู้หรืออะไรให้เลย<br>แต่บางทีสักวันนึง เขาอาจจะตั้งใจจะสอนให้ก็ได้นะ..."""
ssc_501080_0200#0,"""ว่าแต่ ยังใส่ชุดเดิมเหมือนทุกทีเลยนะ<br>ไม่หนาวบ้างเลยเหรอ <%me>?"""
ssc_501080_0210#0,"""ไม่อ่ะ ไม่เท่าไหร่หรอก"""
ssc_501080_0220#0,"""ก็เป็นคนอึดแบบนี้แหละ"""
ssc_501080_0230#0,"""จริงเหรอ?! นั่นก็เป็นความสามารถของ Meteorn เหมือนกันเหรอ?"""
ssc_501080_0240#0,"""เหลือเชื่อไปเลยแฮะ"""
ssc_501080_0250#0,"""ง-งั้นเหรอ...<br>ยังไงก็อย่าฝืนตัวเองมากล่ะ เข้าใจไหม?"""
ssc_501080_0260#0,"""...เอาเป็นว่า คิดว่าจะไป<br>เดินดูรอบๆ แถวนี้อีกสักหน่อยล่ะ"""
ssc_501080_0270#0,"""ไว้เจอกันนะ!"""
