ssc_501070_0010#0,"""(เสียงฮัมเพลงเบาๆ) หึม ฮืม~♪"""
ssc_501070_0020#0,"""อ๊ะ <%me>?!"""
ssc_501070_0030#0,"""เมื่อกี้ไม่ได้ยินใช่ไหมเนี่ย?"""
ssc_501070_0040#0,"""ได้ยินไม่ชัดหรอกว่าร้องอะไรอยู่"""
ssc_501070_0050#0,"""แค่คิดว่าได้ยินเสียงมาจากบนนี้ก็แค่นั้นเอง"""
ssc_501070_0060#0,"""อ้อ เปล่าหรอก แค่กำลังฝึกร้องเพลงอยู่น่ะ"""
ssc_501070_0070#0,"""มันน่าอายนะที่จะมาร้องตอนมีคนอื่นอยู่ด้วย<br>ก็เลยแอบมาร้องบนนี้น่ะ"""
ssc_501070_0080#0,"""กำลังฝึกร้องเพลงอยู่น่ะ"""
ssc_501070_0090#0,"""อุตส่าห์แอบมาร้องตอนที่ไม่มีใครอยู่แถวนี้แล้วเชียว<br>แต่ดันถูกเจอเข้าซะได้"""
ssc_501070_0100#0,"""อ้าาา... เสียงร้องของนาเดเรห์ (Nadereh)<br>เพราะมากเลยเนอะ?"""
ssc_501070_0110#0,"""ทั้งแข็งแกร่งขนาดนั้น แล้วยัง<br>ร้องเพลงเพราะขนาดนี้อีก? ขี้โกงจังเลย"""
ssc_501070_0120#0,"""ฮาดิ (Hadi) กับนักดนตรีคนอื่นๆ<br>ก็เล่นกันได้ยอดเยี่ยมมากเลยด้วย"""
ssc_501070_0130#0,"""เธอก็เลยเป็นแรงบันดาลใจให้เริ่มร้องเพลงงั้นเหรอ?"""
ssc_501070_0140#0,"""แล้วร้องเก่งขึ้นบ้างหรือยังล่ะ?"""
ssc_501070_0150#0,"""อื้ม ตอนที่ทุกคนร้องตามไปพร้อมกัน<br>มันดูน่าสนุกมากๆ เลยล่ะ"""
ssc_501070_0160#0,"""อืม... ก็นะ<br>ยังต้องฝึกอีกเยอะเลยล่ะ"""
ssc_501070_0170#0,"""ตอนที่ทุกคนร้องตามไปพร้อมกัน<br>มันดูน่าสนุกมากๆ เลยล่ะ"""
ssc_501070_0180#0,"""ช่วงนี้เริ่มคุยกับนาเดเรห์ (Nadereh)<br>บ่อยขึ้นด้วยล่ะ"""
ssc_501070_0190#0,"""พวกเราคุยกันเรื่องร้องเพลงซะเยอะเลย"""
ssc_501070_0200#0,"""บอกได้เลยว่าเธอจริงจังกับ<br>การร้องเพลงพอๆ กับศิลปะการต่อสู้เลยล่ะ"""
ssc_501070_0210#0,"""เธอศึกษามาเยอะมากเลยนะ อย่างเช่นสไตล์การร้องที่แตกต่างกัน<br>แล้วก็แต่ละสไตล์ถ่ายทอดความรู้สึกให้คนฟังต่างกันยังไงด้วย"""
ssc_501070_0220#0,"""แม้แต่ตอนที่เธอหยุดร้องเพลงต่อหน้าผู้คนเพราะพลังแห่งเสียงเพลง (Power of Song) ของเธอไม่ปรากฏออกมา<br>เธอก็บอกว่าเธอไม่เคยหยุดฝึกซ้อมด้วยตัวเองเลยนะ"""
ssc_501070_0230#0,"""เธอเป็นคนที่<br>ขยันพยายามมากๆ เลยล่ะ"""
ssc_501070_0240#0,"""คิดว่านั่นน่าจะเป็นเหตุผลที่ทุกคนคอยสนับสนุนเธอล่ะนะ"""
ssc_501070_0250#0,"""ถึงแม้มาน่อนจะเคยพูดเอาไว้ประมาณว่า<br>'เพลงของนาเดเรห์ (Nadereh) ไม่มีผลกระทบกับผู้คน' ก็เถอะ"""
ssc_501070_0260#0,"""รู้แค่ว่าเวลาที่ได้ยินเสียงร้องนั่น<br>มันรู้สึกเหมือนมีแรงผลักดันมหาศาลพลุ่งพล่านขึ้นมาเลยล่ะ"""
