ssc_501090_0010#0,"""อ๊ะ <%me> ก็อยู่ที่นี่ด้วยเหรอ"""
ssc_501090_0020#0,"""กำลังจะไปที่กระท่อม (Lodge) พอดีเลย<br>นัดกับเมรี่ (Meri) เอาไว้น่ะ"""
ssc_501090_0030#0,"""พวกเธอสองคนเข้ากันได้ดีเลยนะเนี่ย"""
ssc_501090_0040#0,"""เธอมีธุระอะไรหรือเปล่า?"""
ssc_501090_0050#0,"""อื้ม สนิทกันแล้วล่ะ!"""
ssc_501090_0060#0,"""หลังจากที่พวกเราช่วยอิลม่า (Ilma) ออกมา ก็เลยเริ่มไปเที่ยวเล่น<br>ที่กระท่อม (Lodge) อยู่บ่อยๆ น่ะ"""
ssc_501090_0070#0,"""เปล่าหรอก วันนี้แค่จะมา<br>คุยเล่นด้วยเฉยๆ น่ะ"""
ssc_501090_0080#0,"""ตั้งแต่ที่ได้เจอกันครั้งแรก ก็รู้สึกเหมือนกับว่า<br>รู้จักกับเมรี่ (Meri) มานานมากเลยล่ะ"""
ssc_501090_0090#0,"""ทั้งๆ ที่ก่อนหน้านี้ไม่เคยรู้จักใคร<br>ที่อายุรุ่นราวคราวเดียวกันเลยจนกระทั่งได้เจอมาน่อนน่ะ"""
ssc_501090_0100#0,"""เมรี่ (Meri) กับฉันใช้ชีวิตมาต่างกันมาก<br>ก็เลยสงสัยมาตลอดเลยว่าทำไมถึงรู้สึกแบบนั้น..."""
ssc_501090_0110#0,"""เมื่อไม่นานมานี้ ตอนที่เห็นเมรี่ (Meri)<br>คอยห้ามพวกพี่ๆ ที่กำลังเถียงกัน ก็เลยเพิ่งจะเข้าใจล่ะ"""
ssc_501090_0120#0,"""ตอนที่อยู่เอลิโอทาวน์ (Aelio Town) ปกติทุกคนก็เข้ากันได้ดีนะ<br>แต่บางครั้งก็มีความคิดเห็นไม่ตรงกันบ้าง"""
ssc_501090_0130#0,"""อย่างเช่น บางคนก็เถียงกันเพราะความทิฐิหรือความดื้อรั้น<br>แล้วสถานการณ์ก็เริ่มดุเดือดขึ้นมาเลยล่ะ"""
ssc_501090_0140#0,"""แล้วก็จะเข้าไปห้ามทัพตรงนั้นทันทีเลย"""
ssc_501090_0150#0,"""ก็เลยคิดขึ้นมาได้ว่า<br>'อ้อ เมรี่ (Meri) ก็คงมีบทบาทประมาณนี้ในกลุ่มสินะ'"""
ssc_501090_0160#0,"""นอกจากเรื่องนั้น ก็มักจะทำอาหาร<br>ให้ทุกคนกินหลังจากเหน็ดเหนื่อยจากการต่อสู้ด้วยนะ"""
ssc_501090_0170#0,"""มันก็ดีใจนะที่ทุกคนกินกันเยอะขนาดนั้น<br>แต่มันก็แทบจะไม่เคยมีของเหลือเลยสิ"""
ssc_501090_0180#0,"""แล้วทุกคนก็จะมาบอกว่า<br>'นี่ ช่วยทำไอ้นั่นไอ้นี่ให้กินหน่อยสิ'..."""
ssc_501090_0190#0,"""พอเล่าเรื่องนี้ให้เมรี่ (Meri) ฟัง เธอก็บอกว่า<br>'เข้าใจความรู้สึกนั้นเลยล่ะ'"""
ssc_501090_0200#0,"""ก็เลยสนิทกันมากขึ้น<br>เพราะมีเรื่องอะไรคล้ายๆ กันแบบนี้แหละ"""
ssc_501090_0210#0,"""ว่าแต่ จะไปด้วยกันไหมล่ะ?"""
ssc_501090_0220#0,"""ไม่อยากจะไปรบกวนน่ะสิ"""
ssc_501090_0230#0,"""โทษทีนะ ต้องไปแล้วล่ะ..."""
ssc_501090_0240#0,"""ไม่รบกวนหรอกน่า..."""
ssc_501090_0250#0,"""แต่ก็ไม่ได้บอกว่าจะพาใครไปด้วย<br>เธออาจจะไม่ได้เตรียมตัวเอาไว้ก็ได้ล่ะนะ"""
ssc_501090_0260#0,"""อื้ม ก็น่าจะจริงอย่างที่ว่า<br>งั้นไว้คราวหน้าก็แล้วกัน!"""
ssc_501090_0270#0,"""อ้า เข้าใจล่ะ งั้นไว้คราวหน้านะ"""
ssc_501090_0280#0,"""อ๊ะ ต้องรีบไปแล้วล่ะ เดี๋ยวจะสายเอา"""
ssc_501090_0290#0,"""ไว้เจอกันนะ!"""
